# lat,lng,id,name,building_type,type,url,page_type
# Pieve del Grappa -- Tutti
45.828157,11.838383,ov_ospedale_crespano_del_grappa_45.8282_11.8384,Ospedale Crespano Del Grappa,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/ospedale_crespano_del_grappa_45.8282_11.8384.json,custom
45.844151,11.819772,ov_agriturismo_la_baita_45.8442_11.8198,Agriturismo La Baita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/agriturismo_la_baita_45.8442_11.8198.json,custom
45.936456,11.724227,ov_premiata_birreria_cornale_45.9365_11.7242,Premiata Birreria Cornale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/premiata_birreria_cornale_45.9365_11.7242.json,custom
45.900421,11.829984,ov_malga_cason_del_sol_45.9004_11.8300,Malga Cason Del Sol,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/malga_cason_del_sol_45.9004_11.8300.json,custom
45.854740,11.843623,ov_pizzeria_sant_andrea_45.8547_11.8436,Pizzeria Sant'Andrea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/pizzeria_santandrea_45.8547_11.8436.json,custom
45.867066,11.834424,ov_ristorante_s__liberale_45.8671_11.8344,Ristorante S. Liberale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/ristorante_s_liberale_45.8671_11.8344.json,custom
45.844875,11.827948,ov_trattoria_pizzeria_ae_piere_rosse_45.8449_11.8279,Trattoria Pizzeria Ae Piere Rosse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/trattoria_pizzeria_ae_piere_rosse_45.8449_11.8279.json,custom
45.839769,11.827896,ov_agriturismo_pra_dea_casera_45.8398_11.8279,Agriturismo Pra dea Casera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/agriturismo_pra_dea_casera_45.8398_11.8279.json,custom
45.828883,11.832508,ov_pizzeria_crespanese_45.8289_11.8325,Pizzeria Crespanese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/pizzeria_crespanese_45.8289_11.8325.json,custom
45.835738,11.833499,ov_da_vincenzo_ae_piere_rosse_di_prudente_v_45.8357_11.8335,Da Vincenzo Ae Piere Rosse di Prudente Vincenzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/da_vincenzo_ae_piere_rosse_di_prudente_v_45.8357_11.8335.json,custom
45.835970,11.833880,ov_rifugio_bassano___cima_grappa_45.8360_11.8339,Rifugio Bassano - Cima Grappa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/pieve_del_grappa/pages/rifugio_bassano_-_cima_grappa_45.8360_11.8339.json,custom
