# lat,lng,id,name,building_type,type,url,page_type
# Napoli -- Tutti
41.213713,13.558423,ov_gruppo_galenomed_41.2137_13.5584,Gruppo GalenoMed,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/napoli/pages/gruppo_galenomed_41.2137_13.5584.json,custom
41.882190,12.567800,ov_a_figlia_d_alfonso_o__pescatore_41.8822_12.5678,A Figlia D'Alfonso O' Pescatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/napoli/pages/a_figlia_dalfonso_o_pescatore_41.8822_12.5678.json,custom
40.742248,13.946269,ov_chicken_bab_40.7422_13.9463,chicken-bab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/napoli/pages/chicken-bab_40.7422_13.9463.json,custom
41.462620,13.785360,ov_terra_mia_m_s_41.4626_13.7854,Terra Mia M&S,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/napoli/pages/terra_mia_ms_41.4626_13.7854.json,custom
40.742820,13.943020,ov_gym_art_forio_40.7428_13.9430,Gym Art Forio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/napoli/pages/gym_art_forio_40.7428_13.9430.json,custom
