# lat,lng,id,name,building_type,type,url,page_type
# Lodi Vecchio -- Tutti
45.324366,9.455009,ov_medical_sport_center_45.3244_9.4550,Medical Sport Center,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/medical_sport_center_45.3244_9.4550.json,custom
45.304142,9.424877,ov_donna_concetta_45.3041_9.4249,Donna Concetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/donna_concetta_45.3041_9.4249.json,custom
45.300252,9.418789,ov_volcano_pizza_45.3003_9.4188,Volcano pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/volcano_pizza_45.3003_9.4188.json,custom
45.300056,9.419073,ov_buona_pizza_45.3001_9.4191,Buona Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/buona_pizza_45.3001_9.4191.json,custom
45.300630,9.419360,ov_youki_45.3006_9.4194,Youki,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/youki_45.3006_9.4194.json,custom
45.295043,9.398407,ov_osteria_le_gualdanacce_da_angelino_45.2950_9.3984,Osteria Le Gualdanacce da Angelino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/osteria_le_gualdanacce_da_angelino_45.2950_9.3984.json,custom
45.302348,9.415185,ov_turkish_centro_pizza_kebap_45.3023_9.4152,Turkish Centro Pizza Kebap,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/turkish_centro_pizza_kebap_45.3023_9.4152.json,custom
45.302387,9.415487,ov_fronn_d_esta_45.3024_9.4155,Fronn d'Esta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/fronn_desta_45.3024_9.4155.json,custom
45.303922,9.414294,ov_non_solo_pane_lodi_vecchio_45.3039_9.4143,Non Solo Pane Lodi Vecchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/non_solo_pane_lodi_vecchio_45.3039_9.4143.json,custom
45.306285,9.407353,ov_cascina_san_lucio_45.3063_9.4074,Cascina San Lucio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/cascina_san_lucio_45.3063_9.4074.json,custom
45.307391,9.411270,ov_hell_s_pizza_45.3074_9.4113,Hell's Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/hells_pizza_45.3074_9.4113.json,custom
45.307496,9.410996,ov_grace_45.3075_9.4110,GRACE,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/grace_45.3075_9.4110.json,custom
45.303305,9.416325,ov_mystic_pub_45.3033_9.4163,Mystic pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/mystic_pub_45.3033_9.4163.json,custom
45.302719,9.421214,ov_bar_trattoria_del_dosso_45.3027_9.4212,Bar Trattoria Del Dosso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/bar_trattoria_del_dosso_45.3027_9.4212.json,custom
45.299154,9.419682,ov_thug_life_bar_45.2992_9.4197,Thug life bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/thug_life_bar_45.2992_9.4197.json,custom
45.298958,9.421380,ov_cactus_bar_45.2990_9.4214,Cactus Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/cactus_bar_45.2990_9.4214.json,custom
45.300378,9.419244,ov_bar_tabaccheria_da_vinci_di_tizzano_45.3004_9.4192,Bar Tabaccheria da Vinci Di Tizzano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/bar_tabaccheria_da_vinci_di_tizzano_45.3004_9.4192.json,custom
45.300201,9.418958,ov_mistercialda_45.3002_9.4190,Mistercialda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/mistercialda_45.3002_9.4190.json,custom
45.300792,9.416840,ov_bar_note_al_caffe_45.3008_9.4168,Bar Note Al Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/bar_note_al_caffe_45.3008_9.4168.json,custom
45.300804,9.417207,ov_olimpo_caffe_45.3008_9.4172,Olimpo Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/olimpo_caffe_45.3008_9.4172.json,custom
45.300923,9.417073,ov_benvenuti_al_sud_lodivecchio_45.3009_9.4171,Benvenuti al Sud Lodivecchio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/benvenuti_al_sud_lodivecchio_45.3009_9.4171.json,custom
45.301303,9.416723,ov_bar_new_melody_45.3013_9.4167,Bar New Melody,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/bar_new_melody_45.3013_9.4167.json,custom
45.310668,9.415133,ov_black_crystal_45.3107_9.4151,Black Crystal,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/black_crystal_45.3107_9.4151.json,custom
45.308577,9.424461,ov_tommy_ranch_45.3086_9.4245,Tommy Ranch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/tommy_ranch_45.3086_9.4245.json,custom
45.307086,9.422365,ov_imagen_latina_dance_school_45.3071_9.4224,Imagen Latina Dance School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/imagen_latina_dance_school_45.3071_9.4224.json,custom
45.304746,9.429662,ov_scuderie_san_marco_45.3047_9.4297,Scuderie San Marco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/scuderie_san_marco_45.3047_9.4297.json,custom
45.302296,9.418904,ov_fipl_45.3023_9.4189,FIPL,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/fipl_45.3023_9.4189.json,custom
45.299717,9.419657,ov_sport_club_laus_fitness_45.2997_9.4197,Sport Club Laus Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/sport_club_laus_fitness_45.2997_9.4197.json,custom
45.303181,9.412330,ov_viva_pilates_45.3032_9.4123,Viva Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/viva_pilates_45.3032_9.4123.json,custom
45.303264,9.412057,ov_wiva_fitness_45.3033_9.4121,Wiva Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/wiva_fitness_45.3033_9.4121.json,custom
45.298506,9.422131,ov_museo_laus_pompeia_45.2985_9.4221,Museo Laus Pompeia,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/museo_laus_pompeia_45.2985_9.4221.json,custom
45.298544,9.421775,ov_biblioteca_di_lodi_vecchio___laus_civica_45.2985_9.4218,Biblioteca di Lodi Vecchio - LAUS Civica Biblioteca,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lodi_vecchio/pages/biblioteca_di_lodi_vecchio_-_laus_civica_45.2985_9.4218.json,custom
