# lat,lng,id,name,building_type,type,url,page_type
# Adrano -- Tutti
37.659456,14.835798,ov_cps_centro_polimedico_santomauro_37.6595_14.8358,CPS Centro Polimedico Santomauro,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/cps_centro_polimedico_santomauro_37.6595_14.8358.json,custom
37.657757,14.841109,ov_ristori_fast_food_37.6578_14.8411,Ristori Fast Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/ristori_fast_food_37.6578_14.8411.json,custom
37.662426,14.832153,ov_ananda_castle_food___drink_37.6624_14.8322,Ananda Castle Food & Drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/ananda_castle_food_drink_37.6624_14.8322.json,custom
37.664216,14.828984,ov_europizza_37.6642_14.8290,Europizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/europizza_37.6642_14.8290.json,custom
37.664161,14.829528,ov_narcisi_giovanni_37.6642_14.8295,Narcisi Giovanni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/narcisi_giovanni_37.6642_14.8295.json,custom
37.664044,14.836121,ov_le_delizie_del_mare_37.6640_14.8361,Le Delizie Del Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/le_delizie_del_mare_37.6640_14.8361.json,custom
37.663662,14.830604,ov_big_burger_37.6637_14.8306,Big Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/big_burger_37.6637_14.8306.json,custom
37.663744,14.826393,ov_l_angolo_della_carne_37.6637_14.8264,L'Angolo della Carne,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/langolo_della_carne_37.6637_14.8264.json,custom
37.663300,14.835870,ov_sisio_37.6633_14.8359,Sisio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/sisio_37.6633_14.8359.json,custom
37.663272,14.842257,ov_red_caffe_37.6633_14.8423,Red Caffe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/red_caffe_37.6633_14.8423.json,custom
37.663140,14.842478,ov_pizzeria_il_triangolo_adrano_37.6631_14.8425,Pizzeria IL Triangolo Adrano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/pizzeria_il_triangolo_adrano_37.6631_14.8425.json,custom
37.661750,14.841990,ov_acquashop_adrano_37.6617_14.8420,AcquaShop Adrano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/acquashop_adrano_37.6617_14.8420.json,custom
37.661067,14.833594,ov_che_bonta_37.6611_14.8336,Che Bonta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/che_bonta_37.6611_14.8336.json,custom
37.661085,14.835493,ov_friggio_adrano_37.6611_14.8355,Friggio Adrano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/friggio_adrano_37.6611_14.8355.json,custom
37.660854,14.836348,ov_la_caciottela_37.6609_14.8363,La caciottela,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/la_caciottela_37.6609_14.8363.json,custom
37.660674,14.836808,ov_rusticone_37.6607_14.8368,Rusticone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/rusticone_37.6607_14.8368.json,custom
37.660090,14.844590,ov_al_piccantino_37.6601_14.8446,Al Piccantino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/al_piccantino_37.6601_14.8446.json,custom
37.659733,14.834746,ov_normanni_sicily_37.6597_14.8347,Normanni Sicily,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/adrano/pages/normanni_sicily_37.6597_14.8347.json,custom
