# lat,lng,id,name,building_type,type,url,page_type
# Tropea -- Tutti
38.676120,15.896728,ov_ecografia_vallone_38.6761_15.8967,Ecografia Vallone,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tropea/pages/ecografia_vallone_38.6761_15.8967.json,custom
38.671690,15.887714,ov_picanha_tropea_38.6717_15.8877,Picanha Tropea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tropea/pages/picanha_tropea_38.6717_15.8877.json,custom
38.672838,15.891236,ov_la_pergola_38.6728_15.8912,La Pergola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tropea/pages/la_pergola_38.6728_15.8912.json,custom
38.672750,15.891039,ov_aru_sushi_restaurant_38.6728_15.8910,Aru sushi Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tropea/pages/aru_sushi_restaurant_38.6728_15.8910.json,custom
38.673026,15.891122,ov_arte___gusto_38.6730_15.8911,Arte & Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tropea/pages/arte_gusto_38.6730_15.8911.json,custom
38.672590,15.887816,ov_lido_charly_38.6726_15.8878,Lido Charly,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tropea/pages/lido_charly_38.6726_15.8878.json,custom
38.674320,15.890570,ov_ristorante_nico_e_lilly_38.6743_15.8906,Ristorante Nico e Lilly,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tropea/pages/ristorante_nico_e_lilly_38.6743_15.8906.json,custom
38.676179,15.890269,ov_osteria_della_cipolla_rossa_38.6762_15.8903,Osteria della Cipolla Rossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tropea/pages/osteria_della_cipolla_rossa_38.6762_15.8903.json,custom
38.675390,15.889468,ov_lido_ristorante_pizzeria_alex_38.6754_15.8895,Lido Ristorante Pizzeria Alex,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tropea/pages/lido_ristorante_pizzeria_alex_38.6754_15.8895.json,custom
38.675880,15.889599,ov_lido_albatros_tropea_38.6759_15.8896,Lido albatros tropea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tropea/pages/lido_albatros_tropea_38.6759_15.8896.json,custom
38.675437,15.893038,ov_madison_38.6754_15.8930,Madison,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tropea/pages/madison_38.6754_15.8930.json,custom
38.675274,15.893035,ov_sapore_38.6753_15.8930,Sapore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tropea/pages/sapore_38.6753_15.8930.json,custom
38.675808,15.894568,ov_da_ribaudo_38.6758_15.8946,Da Ribaudo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tropea/pages/da_ribaudo_38.6758_15.8946.json,custom
38.675623,15.894650,ov_panetteria_rosticceria_mille_molliche_38.6756_15.8946,Panetteria rosticceria Mille Molliche,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tropea/pages/panetteria_rosticceria_mille_molliche_38.6756_15.8946.json,custom
38.676813,15.895646,ov_ristorante___pizzeria_diamante_rosso_tro_38.6768_15.8956,Ristorante & Pizzeria Diamante Rosso Tropea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tropea/pages/ristorante_pizzeria_diamante_rosso_trope_38.6768_15.8956.json,custom
38.677583,15.891835,ov_ristorante_pizzeria_bar_lido_calypso_38.6776_15.8918,Ristorante Pizzeria Bar Lido Calypso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tropea/pages/ristorante_pizzeria_bar_lido_calypso_38.6776_15.8918.json,custom
38.677810,15.895796,ov_ristorante_la_pergola_38.6778_15.8958,Ristorante La Pergola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tropea/pages/ristorante_la_pergola_38.6778_15.8958.json,custom
38.677883,15.895455,ov_terrazza_degli_dei_38.6779_15.8955,Terrazza degli Dei,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tropea/pages/terrazza_degli_dei_38.6779_15.8955.json,custom
38.677885,15.895439,ov_il_corallone_tropea_restaurant_38.6779_15.8954,Il Corallone Tropea Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tropea/pages/il_corallone_tropea_restaurant_38.6779_15.8954.json,custom
38.677729,15.895456,ov_bont__di_calabria_38.6777_15.8955,Bontà di Calabria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/tropea/pages/bont_di_calabria_38.6777_15.8955.json,custom
