# lat,lng,id,name,building_type,type,url,page_type
# Quinto di Treviso -- Tutti
45.638211,12.166118,ov_poliambulatorio_minerva_medica_45.6382_12.1661,Poliambulatorio Minerva Medica,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/quinto_di_treviso/pages/poliambulatorio_minerva_medica_45.6382_12.1661.json,custom
45.622183,12.174895,ov_ristorante_bacchus_45.6222_12.1749,Ristorante Bacchus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/quinto_di_treviso/pages/ristorante_bacchus_45.6222_12.1749.json,custom
45.623705,12.173220,ov_bacchus_club_45.6237_12.1732,Bacchus Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/quinto_di_treviso/pages/bacchus_club_45.6237_12.1732.json,custom
45.668522,12.181199,ov_pasta_madre_45.6685_12.1812,Pasta Madre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/quinto_di_treviso/pages/pasta_madre_45.6685_12.1812.json,custom
45.668599,12.181087,ov_ristorante_dinzu_treviso_45.6686_12.1811,Ristorante Dinzu Treviso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/quinto_di_treviso/pages/ristorante_dinzu_treviso_45.6686_12.1811.json,custom
45.668411,12.179992,ov_divino_osteria_trevigiana_45.6684_12.1800,DiVino Osteria Trevigiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/quinto_di_treviso/pages/divino_osteria_trevigiana_45.6684_12.1800.json,custom
45.669421,12.177599,ov_al_doc_prosciutteria_con_cucina_45.6694_12.1776,Al Doc Prosciutteria con cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/quinto_di_treviso/pages/al_doc_prosciutteria_con_cucina_45.6694_12.1776.json,custom
45.669491,12.177977,ov_burger_king_45.6695_12.1780,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/quinto_di_treviso/pages/burger_king_45.6695_12.1780.json,custom
45.632191,12.164488,ov_dal_professore___pizzeria_con_cucina_45.6322_12.1645,Dal Professore - Pizzeria con Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/quinto_di_treviso/pages/dal_professore_-_pizzeria_con_cucina_45.6322_12.1645.json,custom
45.636595,12.163572,ov_al_gallo_45.6366_12.1636,Al Gallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/quinto_di_treviso/pages/al_gallo_45.6366_12.1636.json,custom
45.637907,12.164922,ov_neapolis_pizzeria_napoletana_griglieria_45.6379_12.1649,Neapolis Pizzeria Napoletana Griglieria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/quinto_di_treviso/pages/neapolis_pizzeria_napoletana_griglieria_45.6379_12.1649.json,custom
