# lat,lng,id,name,building_type,type,url,page_type
# Baiso -- Tutti
44.495228,10.598945,ov_baiso_croce_rossa_44.4952_10.5989,Baiso Croce Rossa,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baiso/pages/baiso_croce_rossa_44.4952_10.5989.json,custom
44.430406,10.620390,ov_ristorante_pizzeria_al_caminetto_44.4304_10.6204,Ristorante Pizzeria al Caminetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baiso/pages/ristorante_pizzeria_al_caminetto_44.4304_10.6204.json,custom
44.448025,10.546900,ov_ostello_san_vitale___pernottamento_44.4480_10.5469,Ostello San Vitale - Pernottamento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baiso/pages/ostello_san_vitale_-_pernottamento_44.4480_10.5469.json,custom
44.528108,10.603398,ov_ristorante_montelusino_44.5281_10.6034,Ristorante Montelusino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baiso/pages/ristorante_montelusino_44.5281_10.6034.json,custom
44.494100,10.612010,ov_osteriaguidettibaiso_44.4941_10.6120,Osteriaguidettibaiso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baiso/pages/osteriaguidettibaiso_44.4941_10.6120.json,custom
44.484191,10.620433,ov_agriturismo_la_borgaccia_44.4842_10.6204,Agriturismo La Borgaccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baiso/pages/agriturismo_la_borgaccia_44.4842_10.6204.json,custom
44.462922,10.656545,ov_il_divino_44.4629_10.6565,Il Divino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baiso/pages/il_divino_44.4629_10.6565.json,custom
44.466185,10.659656,ov_vecchio_stile___trattoria___muraglione_44.4662_10.6597,Vecchio Stile • Trattoria - Muraglione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baiso/pages/vecchio_stile_trattoria_-_muraglione_44.4662_10.6597.json,custom
44.470154,10.666507,ov_trattoria_dal_loli_44.4702_10.6665,Trattoria dal Loli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baiso/pages/trattoria_dal_loli_44.4702_10.6665.json,custom
44.492926,10.629313,ov_dietrolequinte__pizzeria_trattoria_44.4929_10.6293,Dietrolequinte  pizzeria trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baiso/pages/dietrolequinte_pizzeria_trattoria_44.4929_10.6293.json,custom
44.521364,10.654619,ov_castello_borgo_san_romano_44.5214_10.6546,Castello Borgo San Romano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baiso/pages/castello_borgo_san_romano_44.5214_10.6546.json,custom
44.448307,10.649012,ov_gastronomia_piccinini_44.4483_10.6490,Gastronomia Piccinini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baiso/pages/gastronomia_piccinini_44.4483_10.6490.json,custom
44.498230,10.604175,osm_ristorante_pizzeria_parcogiochi_al_parco_44.4982_10.6042,Ristorante Pizzeria Parcogiochi Al Parco,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baiso/pages/ristorante_pizzeria_parcogiochi_al_parco_44.4982_10.6042.json,custom
44.454725,10.612597,ov_circolo_la_piola_44.4547_10.6126,Circolo La Piola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baiso/pages/circolo_la_piola_44.4547_10.6126.json,custom
44.496413,10.600881,ov_bar_gelateria_la_piazzetta_44.4964_10.6009,Bar Gelateria La Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baiso/pages/bar_gelateria_la_piazzetta_44.4964_10.6009.json,custom
44.466038,10.659999,ov_bar_osteria_prati___muraglione_44.4660_10.6600,Bar Osteria Prati - Muraglione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baiso/pages/bar_osteria_prati_-_muraglione_44.4660_10.6600.json,custom
44.510911,10.610685,ov_big_bench_baiso_44.5109_10.6107,Big Bench Baiso,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baiso/pages/big_bench_baiso_44.5109_10.6107.json,custom
44.485014,10.587471,ov_maneggio_gm_44.4850_10.5875,Maneggio GM,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baiso/pages/maneggio_gm_44.4850_10.5875.json,custom
44.496400,10.601360,ov_biblioteca_comunale_g_b_toschi_baiso_44.4964_10.6014,Biblioteca Comunale G.B.Toschi Baiso,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/baiso/pages/biblioteca_comunale_gbtoschi_baiso_44.4964_10.6014.json,custom
