# lat,lng,id,name,building_type,type,url,page_type
# Montefiascone -- Tutti
42.536447,12.031422,ov_ospedale_civile_di_montefiascone_42.5364_12.0314,Ospedale Civile di Montefiascone,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/ospedale_civile_di_montefiascone_42.5364_12.0314.json,custom
42.577580,12.048273,ov_restaurant_l_incanto_42.5776_12.0483,Restaurant l'Incanto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/restaurant_lincanto_42.5776_12.0483.json,custom
42.577628,12.047890,ov_anima_ciccia_ristobraceria_montefiascone_42.5776_12.0479,ANIMA Ciccia Ristobraceria Montefiascone - VT,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/anima_ciccia_ristobraceria_montefiascone_42.5776_12.0479.json,custom
42.577434,12.048022,ov_trattoria_dar_principe_42.5774_12.0480,Trattoria Dar Principe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/trattoria_dar_principe_42.5774_12.0480.json,custom
42.550801,12.028108,ov_rondinella_risto_disco_42.5508_12.0281,Rondinella Risto-Disco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/rondinella_risto-disco_42.5508_12.0281.json,custom
42.536248,12.027708,ov_ristorante_le_due_terre_42.5362_12.0277,Ristorante Le Due Terre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/ristorante_le_due_terre_42.5362_12.0277.json,custom
42.537570,12.030270,ov_mamma_pappa_42.5376_12.0303,Mamma Pappa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/mamma_pappa_42.5376_12.0303.json,custom
42.537128,12.037667,ov_ristorante_da_roland_42.5371_12.0377,Ristorante Da Roland,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/ristorante_da_roland_42.5371_12.0377.json,custom
42.538005,12.030895,ov_la_petite_patisserie_42.5380_12.0309,La Petite Patisserie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/la_petite_patisserie_42.5380_12.0309.json,custom
42.537955,12.030223,ov_pizzeria_casti_42.5380_12.0302,Pizzeria Casti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/pizzeria_casti_42.5380_12.0302.json,custom
42.538373,12.030822,ov_ristorante_dante__dal_taro__42.5384_12.0308,Ristorante Dante ~dal Taro~,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/montefiascone/pages/ristorante_dante_dal_taro_42.5384_12.0308.json,custom
