# lat,lng,id,name,building_type,type,url,page_type
# Castenaso -- Tutti
44.507476,11.459959,ov_ortopedia_sanitaria_stellina_44.5075_11.4600,Ortopedia Sanitaria Stellina,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/ortopedia_sanitaria_stellina_44.5075_11.4600.json,custom
44.492038,11.421093,ov_mcdonald_s_44.4920_11.4211,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/mcdonalds_44.4920_11.4211.json,custom
44.491027,11.423112,ov_burger_king_44.4910_11.4231,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/burger_king_44.4910_11.4231.json,custom
44.490753,11.421604,ov_la_piadineria_44.4908_11.4216,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/la_piadineria_44.4908_11.4216.json,custom
44.490627,11.421442,ov_mcdonald_s_44.4906_11.4214,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/mcdonalds_44.4906_11.4214.json,custom
44.490371,11.421185,ov_america_graffiti_44.4904_11.4212,America Graffiti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/america_graffiti_44.4904_11.4212.json,custom
44.490163,11.421916,ov_old_wild_west___castenaso_44.4902_11.4219,Old Wild West - Castenaso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/old_wild_west_-_castenaso_44.4902_11.4219.json,custom
44.490708,11.424116,ov_sushiko_castenaso_44.4907_11.4241,Sushiko Castenaso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/sushiko_castenaso_44.4907_11.4241.json,custom
44.496756,11.431724,ov_il_chiosco_44.4968_11.4317,Il Chiosco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/il_chiosco_44.4968_11.4317.json,custom
44.495156,11.427469,ov_giustospirito_villanova_44.4952_11.4275,Giustospirito Villanova,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/giustospirito_villanova_44.4952_11.4275.json,custom
44.498260,11.423880,ov_oriental_sky_pizzeria_44.4983_11.4239,Oriental Sky pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/oriental_sky_pizzeria_44.4983_11.4239.json,custom
44.498494,11.425607,ov_ristorante_pizzeria_due_cavalli_44.4985_11.4256,Ristorante Pizzeria Due Cavalli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/ristorante_pizzeria_due_cavalli_44.4985_11.4256.json,custom
44.500008,11.432734,ov_a_pranzo_con_te_44.5000_11.4327,A Pranzo Con Te,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/a_pranzo_con_te_44.5000_11.4327.json,custom
44.500419,11.434055,ov_tavolamica_44.5004_11.4341,Tavolamica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/tavolamica_44.5004_11.4341.json,custom
44.526054,11.453963,ov_trattoria_di_marano_44.5261_11.4540,Trattoria di Marano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castenaso/pages/trattoria_di_marano_44.5261_11.4540.json,custom
