# lat,lng,id,name,building_type,type,url,page_type
# Campagnano di Roma -- Tutti
42.139086,12.382617,ov_asl_campagnano_42.1391_12.3826,Asl Campagnano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/asl_campagnano_42.1391_12.3826.json,custom
42.168185,12.363316,ov_agriturismo_ristorante_la_mola_42.1682_12.3633,Agriturismo Ristorante La Mola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/agriturismo_ristorante_la_mola_42.1682_12.3633.json,custom
42.154889,12.346529,ov_il_gusto_dei_frati_42.1549_12.3465,Il Gusto dei Frati,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/il_gusto_dei_frati_42.1549_12.3465.json,custom
42.141877,12.378736,ov_la_cucina_di_maria_42.1419_12.3787,La Cucina di Maria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/la_cucina_di_maria_42.1419_12.3787.json,custom
42.140770,12.383327,ov_doppiozero00_42.1408_12.3833,DoppioZero00,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/doppiozero00_42.1408_12.3833.json,custom
42.139854,12.382191,ov_hotel_ristorante_da_righetto_42.1399_12.3822,Hotel Ristorante da Righetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/hotel_ristorante_da_righetto_42.1399_12.3822.json,custom
42.139689,12.380538,ov_da_ina_42.1397_12.3805,DA INA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/da_ina_42.1397_12.3805.json,custom
42.139470,12.381596,ov_la_fabbrica_della_pizza_42.1395_12.3816,La fabbrica della pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/la_fabbrica_della_pizza_42.1395_12.3816.json,custom
42.140228,12.382592,ov_osteria_iotto_42.1402_12.3826,Osteria Iotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/osteria_iotto_42.1402_12.3826.json,custom
42.140240,12.382490,ov_il_mastro_ricevimenti_42.1402_12.3825,Il Mastro Ricevimenti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/il_mastro_ricevimenti_42.1402_12.3825.json,custom
42.140379,12.383117,ov_los_locos_42.1404_12.3831,Los Locos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/los_locos_42.1404_12.3831.json,custom
42.140610,12.379410,ov_ristorante_mammi_42.1406_12.3794,Ristorante Mammi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/ristorante_mammi_42.1406_12.3794.json,custom
42.138316,12.380909,ov_osteria_pizzeria_dal_micione_42.1383_12.3809,Osteria pizzeria dal Micione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/osteria_pizzeria_dal_micione_42.1383_12.3809.json,custom
42.138325,12.381008,ov_sapori_e_piaceri_42.1383_12.3810,Sapori e Piaceri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/sapori_e_piaceri_42.1383_12.3810.json,custom
42.138270,12.381157,ov_la_diavoletta_42.1383_12.3812,La Diavoletta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/campagnano_di_roma/pages/la_diavoletta_42.1383_12.3812.json,custom
