# lat,lng,id,name,building_type,type,url,page_type
# Tortolì -- Tutti
39.925365,9.663796,ov_radiolab_srl_39.9254_9.6638,Radiolab Srl,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/radiolab_srl_39.9254_9.6638.json,custom
39.936761,9.703594,ov_kontes_gemma_39.9368_9.7036,Kontes Gemma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/kontes_gemma_39.9368_9.7036.json,custom
39.937881,9.704710,ov_marina_di_arbatax_39.9379_9.7047,Marina Di Arbatax,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/marina_di_arbatax_39.9379_9.7047.json,custom
39.936564,9.706785,ov_la_comida_ristorante_pizzeria_39.9366_9.7068,La Comida Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/la_comida_ristorante_pizzeria_39.9366_9.7068.json,custom
39.937419,9.707911,ov_star_2_ristorante_pizzeria_39.9374_9.7079,Star 2 Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/star_2_ristorante_pizzeria_39.9374_9.7079.json,custom
39.924327,9.704065,ov_ristorante_il_faro_39.9243_9.7041,Ristorante Il Faro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/ristorante_il_faro_39.9243_9.7041.json,custom
39.924910,9.705880,ov_porto_frailis_39.9249_9.7059,Porto Frailis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/porto_frailis_39.9249_9.7059.json,custom
39.934688,9.706919,ov_osteria_bepi_da_guia_39.9347_9.7069,Osteria Bepi Da Guia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/osteria_bepi_da_guia_39.9347_9.7069.json,custom
39.934362,9.706722,ov_arbatasar_ristorante_39.9344_9.7067,Arbatasar Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/arbatasar_ristorante_39.9344_9.7067.json,custom
39.934963,9.705643,ov_sapore_di_mare_39.9350_9.7056,Sapore di Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/sapore_di_mare_39.9350_9.7056.json,custom
39.926925,9.704358,ov_ristorante_pizzeria_la_baia_39.9269_9.7044,Ristorante Pizzeria La Baia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/ristorante_pizzeria_la_baia_39.9269_9.7044.json,custom
39.925820,9.703349,ov_ristorante_pizzeria_acquolina_39.9258_9.7033,Ristorante Pizzeria Acquolina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/ristorante_pizzeria_acquolina_39.9258_9.7033.json,custom
39.930692,9.697877,ov_bonobo__39.9307_9.6979,bonobo.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/tortol/pages/bonobo_39.9307_9.6979.json,custom
