# lat,lng,id,name,building_type,type,url,page_type
# Salsomaggiore Terme -- Tutti
44.815820,9.984684,ov_airone_poliambulatorio_44.8158_9.9847,Airone Poliambulatorio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/airone_poliambulatorio_44.8158_9.9847.json,custom
44.813527,9.983263,ov_il_vecchio_forno_da_amos_44.8135_9.9833,Il Vecchio Forno da Amos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/il_vecchio_forno_da_amos_44.8135_9.9833.json,custom
44.814660,9.983125,ov_ristorante_pizzeria_l_incontro_44.8147_9.9831,Ristorante Pizzeria L'Incontro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/ristorante_pizzeria_lincontro_44.8147_9.9831.json,custom
44.814716,9.983146,ov_l_isola_della_piada_44.8147_9.9831,L'Isola della Piada,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/lisola_della_piada_44.8147_9.9831.json,custom
44.814905,9.984560,ov_tcs_salsomaggiore_terme_44.8149_9.9846,TCS Salsomaggiore Terme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/tcs_salsomaggiore_terme_44.8149_9.9846.json,custom
44.813152,9.988090,ov_timocenko_44.8132_9.9881,Timocenko,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/timocenko_44.8132_9.9881.json,custom
44.817335,9.993940,ov_mcdonald_s_44.8173_9.9939,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/mcdonalds_44.8173_9.9939.json,custom
44.817345,9.988959,ov_pizzeria_al_solito_posto_di_murataj_edli_44.8173_9.9890,Pizzeria Al Solito Posto di Murataj Edlira,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/pizzeria_al_solito_posto_di_murataj_edli_44.8173_9.9890.json,custom
44.817350,9.989880,ov_pizzeria_da_willy_44.8173_9.9899,Pizzeria Da Willy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/pizzeria_da_willy_44.8173_9.9899.json,custom
44.815962,9.987741,ov_asa_taiyoo_44.8160_9.9877,Asa Taiyoo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/asa_taiyoo_44.8160_9.9877.json,custom
44.815889,9.981042,ov_stuzzicheria_parmigiana_44.8159_9.9810,Stuzzicheria Parmigiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/stuzzicheria_parmigiana_44.8159_9.9810.json,custom
44.816095,9.981807,ov_vincanto_ristorante_pizzeria_wine_bar_44.8161_9.9818,Vincanto Ristorante Pizzeria Wine bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/vincanto_ristorante_pizzeria_wine_bar_44.8161_9.9818.json,custom
44.817491,9.981385,ov_trattoria_4_stagioni_44.8175_9.9814,Trattoria 4 Stagioni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/trattoria_4_stagioni_44.8175_9.9814.json,custom
44.818592,9.985842,ov_griglieria_le_4_lanterne_ristopub_tex_me_44.8186_9.9858,Griglieria Le 4 lanterne ristopub tex mex,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/griglieria_le_4_lanterne_ristopub_tex_me_44.8186_9.9858.json,custom
44.818833,9.986690,ov_ristorante_pizzeria_la_primula_44.8188_9.9867,Ristorante Pizzeria La Primula,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/ristorante_pizzeria_la_primula_44.8188_9.9867.json,custom
44.818312,9.982512,ov_trattoria_cavallo_snc_44.8183_9.9825,Trattoria Cavallo SNC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/trattoria_cavallo_snc_44.8183_9.9825.json,custom
44.818056,9.981704,ov_speedy_pizza_44.8181_9.9817,Speedy Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/speedy_pizza_44.8181_9.9817.json,custom
44.818003,9.981522,ov_rendez_vous_des_artistes_44.8180_9.9815,Rendez Vous Des Artistes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/rendez_vous_des_artistes_44.8180_9.9815.json,custom
44.819183,9.985630,ov_ristorante_giapponese_sushi_salsomaggior_44.8192_9.9856,Ristorante Giapponese Sushi Salsomaggiore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/ristorante_giapponese_sushi_salsomaggior_44.8192_9.9856.json,custom
44.821590,9.990681,ov_pizzeria_la_gustosa_44.8216_9.9907,Pizzeria La gustosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/pizzeria_la_gustosa_44.8216_9.9907.json,custom
44.823246,9.999908,ov_master_di_rodolfi_stefano___c__44.8232_9.9999,Master di Rodolfi Stefano & C.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/master_di_rodolfi_stefano_c_44.8232_9.9999.json,custom
44.823580,10.001640,ov_oishi_ristorante_cinese_giapponese_salso_44.8236_10.0016,Oishi ristorante Cinese-Giapponese Salsomaggiore terme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/oishi_ristorante_cinese-giapponese_salso_44.8236_10.0016.json,custom
44.828384,9.963840,ov_osteria_del_castello_44.8284_9.9638,Osteria Del Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/osteria_del_castello_44.8284_9.9638.json,custom
44.833140,9.957690,ov_trattoria_4_stagioni_44.8331_9.9577,Trattoria 4 Stagioni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/trattoria_4_stagioni_44.8331_9.9577.json,custom
44.827312,10.004265,ov_ristorante_pechino_44.8273_10.0043,Ristorante Pechino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/ristorante_pechino_44.8273_10.0043.json,custom
44.836359,10.050922,ov_trattoria_la_cioppa_44.8364_10.0509,Trattoria La Cioppa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/trattoria_la_cioppa_44.8364_10.0509.json,custom
44.839482,10.049898,ov_sports_club_cabriolo_44.8395_10.0499,Sports Club Cabriolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/sports_club_cabriolo_44.8395_10.0499.json,custom
44.838976,10.011349,ov_vecchio_parco_44.8390_10.0113,Vecchio Parco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/vecchio_parco_44.8390_10.0113.json,custom
44.831379,9.956069,ov_bar_trattoria_cavallo_44.8314_9.9561,Bar Trattoria Cavallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/bar_trattoria_cavallo_44.8314_9.9561.json,custom
44.821999,9.923565,ov_trattoria_oca_bianca_44.8220_9.9236,Trattoria Oca Bianca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/trattoria_oca_bianca_44.8220_9.9236.json,custom
44.812995,9.939699,ov_trattoria_ceriati_44.8130_9.9397,Trattoria Ceriati,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/trattoria_ceriati_44.8130_9.9397.json,custom
44.762589,9.979821,ov_trattoria_madonna_del_monte_44.7626_9.9798,Trattoria Madonna Del Monte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/trattoria_madonna_del_monte_44.7626_9.9798.json,custom
44.764170,9.979260,ov_ilcoloredelgrano_agriturismo_44.7642_9.9793,Ilcoloredelgrano Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/ilcoloredelgrano_agriturismo_44.7642_9.9793.json,custom
44.823284,9.999987,osm_genki_sushi_boutique_44.8233_10.0000,Genki Sushi Boutique,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/genki_sushi_boutique_44.8233_10.0000.json,custom
44.814845,9.984668,osm_demi_vol_e_44.8148_9.9847,DEMI-VOLÉE,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/demi-vole_44.8148_9.9847.json,custom
44.831307,9.956049,osm_trattoria_cavallo_44.8313_9.9560,Trattoria Cavallo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/trattoria_cavallo_44.8313_9.9560.json,custom
44.810698,9.981114,ov_bar_venezia_44.8107_9.9811,Bar Venezia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/bar_venezia_44.8107_9.9811.json,custom
44.808225,9.981187,ov_bar_fiorino_44.8082_9.9812,Bar Fiorino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/bar_fiorino_44.8082_9.9812.json,custom
44.806342,9.989463,ov_villa_paradiso_44.8063_9.9895,Villa Paradiso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/villa_paradiso_44.8063_9.9895.json,custom
44.818376,9.968361,ov_dragoon_pub_44.8184_9.9684,Dragoon Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/dragoon_pub_44.8184_9.9684.json,custom
44.815370,9.966216,ov_terzo_tempo_44.8154_9.9662,Terzo Tempo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/terzo_tempo_44.8154_9.9662.json,custom
44.816215,9.974018,ov_latteria_bar_olivia_44.8162_9.9740,Latteria Bar Olivia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/latteria_bar_olivia_44.8162_9.9740.json,custom
44.816199,9.974251,ov_bar_italia_44.8162_9.9743,Bar Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/bar_italia_44.8162_9.9743.json,custom
44.817018,9.980776,ov_terminus_food_and_drink_44.8170_9.9808,Terminus Food and Drink,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/terminus_food_and_drink_44.8170_9.9808.json,custom
44.815673,9.977098,ov_luna_rossa_wine_bar_and_caffetteria_44.8157_9.9771,Luna Rossa Wine Bar and Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/luna_rossa_wine_bar_and_caffetteria_44.8157_9.9771.json,custom
44.815818,9.978898,ov_caff__orientale_44.8158_9.9789,Caffè Orientale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/caff_orientale_44.8158_9.9789.json,custom
44.815639,9.979335,ov_caffe_rigoletto_44.8156_9.9793,Caffe Rigoletto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/caffe_rigoletto_44.8156_9.9793.json,custom
44.814692,9.980326,ov_caff__romagnosi_44.8147_9.9803,Caffè Romagnosi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/caff_romagnosi_44.8147_9.9803.json,custom
44.814829,9.980035,ov_piccolo_bar_44.8148_9.9800,Piccolo Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/piccolo_bar_44.8148_9.9800.json,custom
44.812645,9.981024,ov_bacio_di_latte_salsomaggiore_44.8126_9.9810,Bacio di Latte Salsomaggiore,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/bacio_di_latte_salsomaggiore_44.8126_9.9810.json,custom
44.813565,9.982824,ov_lechat_quirit_bar_salsomaggioreterme_44.8136_9.9828,LeChat QuiRit Bar SalsomaggioreTerme,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/lechat_quirit_bar_salsomaggioreterme_44.8136_9.9828.json,custom
44.813603,9.983310,ov_i_signori_del_caff__44.8136_9.9833,I Signori del Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/i_signori_del_caff_44.8136_9.9833.json,custom
44.813600,9.983302,ov_101_caff__44.8136_9.9833,101 Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/101_caff_44.8136_9.9833.json,custom
44.817608,9.988527,ov_bar_jolly_44.8176_9.9885,Bar Jolly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/bar_jolly_44.8176_9.9885.json,custom
44.817771,9.987170,ov_club_88_44.8178_9.9872,Club 88,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/club_88_44.8178_9.9872.json,custom
44.815625,9.987665,ov_bar_cocorico_salsomaggiore_terme_44.8156_9.9877,Bar Cocorico Salsomaggiore Terme,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/bar_cocorico_salsomaggiore_terme_44.8156_9.9877.json,custom
44.817994,9.985453,ov_bar_queen_44.8180_9.9855,bar queen,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/bar_queen_44.8180_9.9855.json,custom
44.818620,9.983337,ov_bar_gelateria_i_portici_44.8186_9.9833,Bar Gelateria I Portici,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/bar_gelateria_i_portici_44.8186_9.9833.json,custom
44.818924,9.983674,ov_twin_cafe_44.8189_9.9837,Twin Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/twin_cafe_44.8189_9.9837.json,custom
44.818996,9.983929,ov_bar_zoni_44.8190_9.9839,Bar Zoni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/bar_zoni_44.8190_9.9839.json,custom
44.818979,9.984362,ov_bar_paninoteca_levante_44.8190_9.9844,Bar Paninoteca Levante,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/bar_paninoteca_levante_44.8190_9.9844.json,custom
44.819030,9.985990,ov_sorsiemorsi_bar_44.8190_9.9860,sorsiemorsi_bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/sorsiemorsibar_44.8190_9.9860.json,custom
44.820977,9.987005,ov_dabeppe_44.8210_9.9870,DaBeppe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/dabeppe_44.8210_9.9870.json,custom
44.821882,9.991199,ov_red_fox_pub_44.8219_9.9912,Red Fox Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/red_fox_pub_44.8219_9.9912.json,custom
44.822323,9.995768,ov_a_casa_di_emilia_44.8223_9.9958,A Casa di Emilia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/a_casa_di_emilia_44.8223_9.9958.json,custom
44.823414,10.000095,ov_bleu_cafe_44.8234_10.0001,Bleu Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/bleu_cafe_44.8234_10.0001.json,custom
44.823580,10.000588,ov_bar_fortuna_44.8236_10.0006,Bar Fortuna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/bar_fortuna_44.8236_10.0006.json,custom
44.774708,9.960472,ov_contignaco_city_44.7747_9.9605,Contignaco City,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/contignaco_city_44.7747_9.9605.json,custom
44.822586,9.996035,osm_a_casa_di_emilia_44.8226_9.9960,A casa di Emilia,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/a_casa_di_emilia_44.8226_9.9960.json,custom
44.823430,10.000053,osm_american_bar_44.8234_10.0001,American Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/american_bar_44.8234_10.0001.json,custom
44.816165,9.979954,osm_qc_spa_salsomaggiore_44.8162_9.9800,QC Spa Salsomaggiore,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/qc_spa_salsomaggiore_44.8162_9.9800.json,custom
44.833160,10.058010,ov_centro_estivo_fulgor_fidenza_44.8332_10.0580,Centro Estivo Fulgor Fidenza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/centro_estivo_fulgor_fidenza_44.8332_10.0580.json,custom
44.810415,9.980958,ov_juventus_club_doc_salsomaggiore_terme____44.8104_9.9810,Juventus club doc Salsomaggiore Terme & Fidenza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/juventus_club_doc_salsomaggiore_terme_fi_44.8104_9.9810.json,custom
44.810010,9.982959,ov_telavevodetto_snc_44.8100_9.9830,Telavevodetto SNC,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/telavevodetto_snc_44.8100_9.9830.json,custom
44.816300,9.966058,ov_salsomaggiore_calcio_44.8163_9.9661,Salsomaggiore Calcio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/salsomaggiore_calcio_44.8163_9.9661.json,custom
44.815393,9.965642,ov_palestra_giovanni_gerini_44.8154_9.9656,Palestra Giovanni Gerini,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/palestra_giovanni_gerini_44.8154_9.9656.json,custom
44.814172,9.981321,ov_scuola_estiva_di_danza_e_musical_44.8142_9.9813,Scuola Estiva Di Danza E Musical,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/scuola_estiva_di_danza_e_musical_44.8142_9.9813.json,custom
44.818749,9.990866,ov_palestra_e__toti_44.8187_9.9909,Palestra E. Toti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/palestra_e_toti_44.8187_9.9909.json,custom
44.816265,9.986278,ov_minigolf_salsomaggiore_terme_44.8163_9.9863,Minigolf Salsomaggiore Terme,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/minigolf_salsomaggiore_terme_44.8163_9.9863.json,custom
44.816322,9.983842,ov_gymsalso_palestra_della_salute_44.8163_9.9838,Gymsalso Palestra della Salute,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/gymsalso_palestra_della_salute_44.8163_9.9838.json,custom
44.821329,9.986247,ov_yogamandosi_44.8213_9.9862,Yogamandosi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/yogamandosi_44.8213_9.9862.json,custom
44.824234,9.997297,ov_palaliabel_salsomaggiore_terme_44.8242_9.9973,PalaLiabel Salsomaggiore Terme,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/palaliabel_salsomaggiore_terme_44.8242_9.9973.json,custom
44.823360,10.001100,ov_palestra_shin___body_salsomaggiore_terme_44.8234_10.0011,Palestra SHIN & BODY Salsomaggiore Terme,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/palestra_shin_body_salsomaggiore_terme_44.8234_10.0011.json,custom
44.823278,10.000924,ov_sport_university_center_44.8233_10.0009,Sport University Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/salsomaggiore_terme/pages/sport_university_center_44.8233_10.0009.json,custom
