# lat,lng,id,name,building_type,type,url,page_type
# Farindola -- Tutti
42.441740,13.821650,ov_studio_dermatologico_dott__antonio_grazi_42.4417_13.8216,Studio Dermatologico Dott. Antonio Graziosi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/farindola/pages/studio_dermatologico_dott_antonio_grazio_42.4417_13.8216.json,custom
42.431257,13.780756,ov_la_tana_del_lupo_42.4313_13.7808,La Tana del Lupo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/farindola/pages/la_tana_del_lupo_42.4313_13.7808.json,custom
42.446721,13.820603,ov_lu_strego_42.4467_13.8206,Lu Strego,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/farindola/pages/lu_strego_42.4467_13.8206.json,custom
42.445050,13.821224,ov_la_locanda_del_brigante_42.4450_13.8212,La Locanda Del Brigante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/farindola/pages/la_locanda_del_brigante_42.4450_13.8212.json,custom
42.442484,13.821419,ov_la_cantina_di_trabband_42.4425_13.8214,La Cantina Di Trabband,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/farindola/pages/la_cantina_di_trabband_42.4425_13.8214.json,custom
42.439528,13.827560,ov_la_spiaggetta_42.4395_13.8276,La Spiaggetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/farindola/pages/la_spiaggetta_42.4395_13.8276.json,custom
42.440100,13.835440,ov_la_spiaggetta_di_sabina_fontebasso_42.4401_13.8354,La Spiaggetta di Sabina Fontebasso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/farindola/pages/la_spiaggetta_di_sabina_fontebasso_42.4401_13.8354.json,custom
42.445036,13.845177,ov_circolo_ristorante_valtavo_42.4450_13.8452,Circolo Ristorante Valtavo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/farindola/pages/circolo_ristorante_valtavo_42.4450_13.8452.json,custom
42.463884,13.839170,ov_osteria_villa_cupoli_42.4639_13.8392,Osteria Villa Cupoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/farindola/pages/osteria_villa_cupoli_42.4639_13.8392.json,custom
42.463692,13.839329,ov_osteria_da_modestino_42.4637_13.8393,Osteria da Modestino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/farindola/pages/osteria_da_modestino_42.4637_13.8393.json,custom
42.430150,13.783050,ov_green_bar___bazar_42.4301_13.7830,Green Bar - Bazar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/farindola/pages/green_bar_-_bazar_42.4301_13.7830.json,custom
42.441891,13.822551,ov_bar_monte_camicia_42.4419_13.8226,Bar Monte Camicia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/farindola/pages/bar_monte_camicia_42.4419_13.8226.json,custom
42.441646,13.822625,osm_bar_orsetto_42.4416_13.8226,Bar Orsetto,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/farindola/pages/bar_orsetto_42.4416_13.8226.json,custom
42.441507,13.822978,osm_poste_italiane_42.4415_13.8230,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/farindola/pages/poste_italiane_42.4415_13.8230.json,custom
