# lat,lng,id,name,building_type,type,url,page_type
# Paruzzaro -- Tutti
45.745194,8.520914,ov_de_ruvo_center_srl_45.7452_8.5209,De Ruvo Center Srl,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paruzzaro/pages/de_ruvo_center_srl_45.7452_8.5209.json,custom
45.739484,8.510982,ov_ma_restaurant_45.7395_8.5110,MA Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paruzzaro/pages/ma_restaurant_45.7395_8.5110.json,custom
45.749325,8.512253,ov_la_piola___circolo_acli_45.7493_8.5123,La Piola - Circolo ACLI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paruzzaro/pages/la_piola_-_circolo_acli_45.7493_8.5123.json,custom
45.750701,8.520322,ov_voglio_la_pizza_45.7507_8.5203,Voglio La Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paruzzaro/pages/voglio_la_pizza_45.7507_8.5203.json,custom
45.749520,8.514820,ov_doppiozero_paruzzaro_45.7495_8.5148,DoppioZero Paruzzaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paruzzaro/pages/doppiozero_paruzzaro_45.7495_8.5148.json,custom
45.749333,8.516584,osm_circolo_acli_45.7493_8.5166,Circolo ACLI,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paruzzaro/pages/circolo_acli_45.7493_8.5166.json,custom
45.749628,8.512199,osm_circolo_arci_45.7496_8.5122,Circolo ARCI,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paruzzaro/pages/circolo_arci_45.7496_8.5122.json,custom
45.757416,8.515659,osm_agriturismo_molino_del_sabbione_45.7574_8.5157,Agriturismo Molino del Sabbione,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paruzzaro/pages/agriturismo_molino_del_sabbione_45.7574_8.5157.json,custom
45.734090,8.502122,ov_sbs_cafe_45.7341_8.5021,SBS Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paruzzaro/pages/sbs_cafe_45.7341_8.5021.json,custom
45.750379,8.520483,ov_il_caff__del_borgo_antico_45.7504_8.5205,Il Caffè del Borgo Antico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paruzzaro/pages/il_caff_del_borgo_antico_45.7504_8.5205.json,custom
45.749262,8.517943,ov_caf__l_antico_broletto_45.7493_8.5179,cafè l'antico broletto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paruzzaro/pages/caf_lantico_broletto_45.7493_8.5179.json,custom
45.741900,8.513230,ov_ilborgo_1237_45.7419_8.5132,Ilborgo.1237,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paruzzaro/pages/ilborgo1237_45.7419_8.5132.json,custom
45.744668,8.520019,ov_bar_eclisse_45.7447_8.5200,Bar Eclisse,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paruzzaro/pages/bar_eclisse_45.7447_8.5200.json,custom
45.749729,8.518076,osm_l_officina_dei_sapori_45.7497_8.5181,L'officina dei sapori,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paruzzaro/pages/lofficina_dei_sapori_45.7497_8.5181.json,custom
45.732110,8.500290,ov_bowling_city_45.7321_8.5003,Bowling City,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paruzzaro/pages/bowling_city_45.7321_8.5003.json,custom
45.750700,8.520450,ov_alberto_porro_pt_studio_45.7507_8.5205,Alberto Porro Pt Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paruzzaro/pages/alberto_porro_pt_studio_45.7507_8.5205.json,custom
45.750734,8.520182,ov_edl___personal_therapist_45.7507_8.5202,EDL - Personal Therapist,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paruzzaro/pages/edl_-_personal_therapist_45.7507_8.5202.json,custom
45.745804,8.517873,ov_unconventional_training___crossfit_lago__45.7458_8.5179,Unconventional Training - Crossfit Lago Maggiore,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paruzzaro/pages/unconventional_training_-_crossfit_lago__45.7458_8.5179.json,custom
45.748729,8.513160,osm_ufficio_pstale_di_paruzzaro_45.7487_8.5132,Ufficio pstale di Paruzzaro,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/paruzzaro/pages/ufficio_pstale_di_paruzzaro_45.7487_8.5132.json,custom
