# lat,lng,citta,slug,ospedali,ristoranti,bar_cafe,palestre,monumenti
46.141506,11.087427,38015 Lavis (TN),38015_lavis_tn,0,0,1,0,0
46.424652,11.482335,Deutschnofen - Nova Ponente,Birchabruck,0,1,0,0,0
46.576167,11.943395,Abtei,abtei,0,4,0,1,0
46.967003,11.924220,Ahrntal,ahrntal,0,20,16,7,3
45.770383,11.005334,Ala,ala,0,15,13,4,3
46.144593,11.195591,Albiano,albiano,0,2,0,0,0
46.363342,11.367074,Aldein,aldein,0,1,1,0,0
45.976203,11.091638,Aldeno,aldeno,1,3,1,2,0
46.362076,11.391830,Aldino,aldino,0,13,4,1,1
46.684156,11.116773,Algund,algund,0,19,7,0,1
46.216397,11.271453,Altavalle,altavalle,0,3,3,1,0
45.992930,11.214060,Altopiano della Vigolana,altopiano_della_vigolana,0,12,4,0,1
46.392774,11.141486,Amblar-Don,amblar-don,0,0,1,0,1
46.163746,11.002992,Andalo,andalo,1,19,11,11,1
46.517122,11.231306,Andrian - Andriano,andrian_-_andriano,0,6,1,0,1
46.269427,11.314806,Anterivo,anterivo,0,2,1,0,0
46.286944,11.381981,Anterivo - Altrei,anterivo_-_altrei,0,1,0,0,0
46.875735,12.105887,Anterselva,anterselva,0,2,0,0,0
46.462242,11.263852,Appiano sulla Strada del Vino,appiano_sulla_strada_del_vino,0,26,14,9,5
45.915306,10.882202,Arco,arco,4,65,45,28,6
46.789931,12.423991,Außervillgraten,auervillgraten,0,5,1,0,0
45.737887,10.939800,Avio,avio,0,14,6,1,2
46.580940,11.920529,Badia,badia,0,52,11,4,2
46.596677,11.483995,Barbian,barbian,0,2,0,0,0
46.598364,11.506760,Barbiano,barbiano,0,8,3,1,0
46.125899,11.248408,Baselga di Pinè,baselga_di_pin,0,20,10,2,2
46.169015,11.313107,Bedollo,bedollo,0,4,2,0,0
46.321714,11.696709,Bellamonte,bellamonte,0,0,1,0,0
45.948308,11.108878,Besenello,besenello,0,5,5,1,0
45.895238,10.718069,Bezzecca,bezzecca,0,1,1,0,0
45.866783,10.807583,Biacesa di Ledro,biacesa_di_ledro,0,0,1,0,0
46.081340,11.561254,Bieno,bieno,0,3,3,0,0
46.021959,10.814795,Bleggio Superiore,bleggio_superiore,0,5,2,1,0
46.119562,10.758019,Bocenago,bocenago,0,3,2,1,0
46.493137,11.345790,Bolzano,bolzano,19,368,330,93,24
45.806974,10.538221,Bondone,bondone,0,1,2,1,1
45.884824,10.595050,Borgo Chiese,borgo_chiese,0,4,3,0,0
46.447176,11.133999,Borgo d'Anaunia,borgo_danaunia,2,8,5,1,0
46.005657,10.888035,Borgo Lares,borgo_lares,0,4,0,0,0
46.042559,11.440849,Borgo Valsugana,borgo_valsugana,1,29,19,3,3
46.001812,11.223795,Bosentino,bosentino,0,0,0,0,0
46.729349,12.134389,Braies,braies,0,4,0,0,0
46.403942,11.319792,Branzoll,branzoll,0,0,0,0,0
46.027408,10.650998,Breguzzo,breguzzo,0,1,0,0,0
46.963635,11.464384,Brenner - Brennero,brenner_-_brennero,0,1,0,1,0
46.950777,11.407170,Brennero,brennero,0,9,4,1,1
45.803557,10.944287,Brentonico,brentonico,0,24,9,4,1
46.419308,10.981525,Bresimo,bresimo,0,0,0,0,1
46.709902,11.658128,Bressanone,bressanone,1,84,38,18,2
46.434425,11.102627,Brez,brez,0,1,0,0,0
46.402897,11.319208,Bronzolo,bronzolo,0,4,3,1,1
46.791830,11.937924,Brunico,brunico,1,60,52,20,6
46.610219,11.193342,Burgstall,burgstall,0,3,0,1,0
46.136981,10.758146,Caderzone Terme,caderzone_terme,0,3,1,0,1
46.088834,11.065606,Cadine,cadine,0,2,1,0,0
46.044662,10.984481,Calanino,calanino,0,0,0,0,0
46.045271,10.967178,Calavino,calavino,0,1,0,0,0
46.124870,11.597449,Calceranica,calceranica,0,0,0,0,0
46.002758,11.250657,Calceranica al Lago,calceranica_al_lago,0,12,7,1,0
46.415733,11.208789,Caldaro,caldaro,0,1,0,0,0
46.410591,11.245721,Caldaro sulla Strada del Vino,caldaro_sulla_strada_del_vino,0,21,4,4,3
46.389131,10.962547,Caldes,caldes,0,4,0,0,3
45.993204,11.266660,Caldonazzo,caldonazzo,0,17,12,2,0
45.931041,11.094490,Calliano,calliano,0,14,4,0,2
46.479482,11.739482,Campitello di Fassa,campitello_di_fassa,0,11,8,6,0
46.866040,11.480845,Campo di Trens,campo_di_trens,0,3,2,0,0
46.921718,11.964962,Campo Tures,campo_tures,0,14,11,3,4
46.534798,11.490849,Campodazzo,campodazzo,0,1,0,0,0
46.197299,11.110993,Campodenno,campodenno,0,0,4,0,1
46.166763,11.737064,Canal San Bovo,canal_san_bovo,0,10,1,2,1
46.476273,11.784174,Canazei,canazei,0,60,26,8,4
46.447505,11.639208,Canazei di Fassa,canazei_di_fassa,0,1,0,0,0
46.066066,11.076561,Candriai,candriai,0,0,1,0,0
46.274829,11.332103,Capriana,capriana,0,2,0,0,0
46.290275,11.433732,Carano,carano,0,0,1,1,0
45.941486,11.235028,Carbonare Folgaria,carbonare_folgaria,0,1,0,0,0
46.458301,11.424492,Cardano,cardano,0,1,0,0,0
46.173417,10.755519,Carisolo,carisolo,0,8,3,0,0
46.070981,11.493566,Carzano,carzano,0,3,0,0,1
45.920799,10.600443,Castel Condino,castel_condino,0,2,1,0,0
46.061473,11.522752,Castel Ivano,castel_ivano,0,5,6,4,2
46.629549,10.905800,Castelbello-Ciardes,castelbello-ciardes,0,3,1,0,1
46.452799,11.118446,Castelfondo,castelfondo,0,2,1,0,0
