# lat,lng,id,name,building_type,type
# Trebisacce -- Tutti
39.874280,16.536291,ov_apertura_ospedale_chidichimo_di_trebisac_39.8743_16.5363,Apertura Ospedale Chidichimo di Trebisacce o disertare le ur,HOSPITAL,hospital
39.866987,16.534605,ov_la_barca___ristorante_pizzeria_39.8670_16.5346,La Barca - Ristorante/Pizzeria,RESTAURANT,ristorante
39.867853,16.535182,ov_ristorante_pizzeria_da_raffaele_39.8679_16.5352,Ristorante Pizzeria Da Raffaele,RESTAURANT,ristorante
39.868977,16.533389,ov_pizzanimus_39.8690_16.5334,Pizzanimus,RESTAURANT,ristorante
39.869075,16.528742,ov_alice_restaurant_39.8691_16.5287,Alice Restaurant,RESTAURANT,ristorante
39.868955,16.528838,ov_il_capolinea_39.8690_16.5288,Il Capolinea,RESTAURANT,ristorante
39.866640,16.531639,ov_la_favella_da_melina_39.8666_16.5316,La favella da melina,RESTAURANT,ristorante
39.867071,16.531533,ov_da_pettarino_39.8671_16.5315,Da Pettarino,RESTAURANT,ristorante
39.865677,16.531136,ov_l_altro_duemilauno_39.8657_16.5311,L'Altro Duemilauno,RESTAURANT,ristorante
39.864071,16.532463,ov_lido_capri_39.8641_16.5325,Lido Capri,RESTAURANT,ristorante
39.863888,16.531713,ov_lido_carlino_39.8639_16.5317,Lido Carlino,RESTAURANT,ristorante
39.864846,16.529736,ov_trattoria_del_sole_39.8648_16.5297,Trattoria del Sole,RESTAURANT,ristorante
39.865145,16.530389,ov_braceria_steakhouse_39.8651_16.5304,Braceria SteakHouse,RESTAURANT,ristorante
39.863262,16.531496,ov_grillo_restaurant_39.8633_16.5315,Grillo Restaurant,RESTAURANT,ristorante
39.864834,16.532765,ov_la_rotonda_39.8648_16.5328,La Rotonda,RESTAURANT,ristorante
39.860247,16.529671,ov_mistura_seafood_bar_39.8602_16.5297,Mistura SeaFood Bar,RESTAURANT,ristorante
39.859081,16.512274,ov_il_vecchio_mulino_39.8591_16.5123,Il Vecchio Mulino,RESTAURANT,ristorante
39.871738,16.527541,ov_il_ritrovo_39.8717_16.5275,Il Ritrovo,RESTAURANT,ristorante
39.871267,16.535982,ov_bistrot_711_39.8713_16.5360,Bistrot 711,RESTAURANT,ristorante
39.873029,16.533521,ov_da_mamma_lina_39.8730_16.5335,Da Mamma Lina,RESTAURANT,ristorante
39.872115,16.535072,ov_american_fast_food_beerhouse_39.8721_16.5351,American Fast Food BeerHouse,RESTAURANT,ristorante
39.875136,16.539750,ov_la_bottega_degli_antichi_sapori_39.8751_16.5397,La Bottega degli Antichi Sapori,RESTAURANT,ristorante
39.875621,16.540236,ov_one_sushi_39.8756_16.5402,One Sushi,RESTAURANT,ristorante
39.884722,16.548281,ov_il_cantuccio_39.8847_16.5483,Il Cantuccio,RESTAURANT,ristorante
39.884419,16.548380,ov_ristorante_da_pasquale_piatto_d_oro_39.8844_16.5484,Ristorante da Pasquale Piatto d'Oro,RESTAURANT,ristorante
39.881246,16.545806,ov_ristorante_da_lucrezia_39.8812_16.5458,Ristorante Da Lucrezia,RESTAURANT,ristorante
39.880986,16.545056,ov_pizzeria_capraro_39.8810_16.5451,Pizzeria Capraro,RESTAURANT,ristorante
39.880119,16.542989,ov_da_focile_39.8801_16.5430,Da Focile,RESTAURANT,ristorante
39.880674,16.542779,ov_pizzeria_da_tony_39.8807_16.5428,Pizzeria da Tony,RESTAURANT,ristorante
39.882848,16.543917,ov_il_giardino_delle_rose_39.8828_16.5439,Il Giardino delle Rose,RESTAURANT,ristorante
39.866096,16.533758,ov_chiosco_pepell_trebisacce_39.8661_16.5338,Chiosco Pepell Trebisacce,RESTAURANT,bar_cafe
39.865655,16.533273,ov_beat_711_39.8657_16.5333,BeAt 711,RESTAURANT,bar_cafe
39.869444,16.536016,ov_chiosco_della_gasopola_39.8694_16.5360,Chiosco della gasopola,RESTAURANT,bar_cafe
39.869158,16.533589,ov_for_example_cocktail_bar_39.8692_16.5336,For Example cocktail BAR,RESTAURANT,bar_cafe
39.868764,16.533209,ov_bar_pasticceria_gelateria_de_marco_39.8688_16.5332,Bar Pasticceria Gelateria De Marco,RESTAURANT,bar_cafe
39.868790,16.526610,ov_playa_trebisacce_39.8688_16.5266,Playa Trebisacce,RESTAURANT,bar_cafe
39.865699,16.529131,ov_donga_lounge_bar_39.8657_16.5291,Donga Lounge Bar,RESTAURANT,bar_cafe
39.865990,16.531271,ov_la_tana_del_luppolo_39.8660_16.5313,La Tana del Luppolo,RESTAURANT,bar_cafe
39.865613,16.531851,ov_oasi_360_gradi_39.8656_16.5319,Oasi 360 Gradi,RESTAURANT,bar_cafe
39.865092,16.531634,ov_iri_station_cafe_39.8651_16.5316,Iri Station Cafe,RESTAURANT,bar_cafe
39.864539,16.530924,ov_bar_crema_e_cioccolato_39.8645_16.5309,Bar Crema E Cioccolato,RESTAURANT,bar_cafe
39.864949,16.530134,ov_bar_ricevitoria_l_antico_caff__di_carluc_39.8649_16.5301,Bar Ricevitoria L'Antico Caffè di Carlucci Michele Mario,RESTAURANT,bar_cafe
39.864892,16.530180,ov_monn_light_caffetteria_paninoteca_39.8649_16.5302,Monn Light Caffetteria Paninoteca,RESTAURANT,bar_cafe
39.865100,16.529286,ov_officina_del_gusto_39.8651_16.5293,Officina del Gusto,RESTAURANT,bar_cafe
39.863442,16.526201,ov_bar_caff__italiano_39.8634_16.5262,Bar Caffè Italiano,RESTAURANT,bar_cafe
39.863272,16.531784,ov_carlino_39.8633_16.5318,Carlino,RESTAURANT,bar_cafe
39.874194,16.538624,ov_bar_odissea_caffe_39.8742_16.5386,Bar Odissea Caffe,RESTAURANT,bar_cafe
39.870287,16.534865,ov_bar_caffe_impero_39.8703_16.5349,Bar Caffe Impero,RESTAURANT,bar_cafe
39.871298,16.535927,ov_zenzero_bistrot_39.8713_16.5359,Zenzero bistrot,RESTAURANT,bar_cafe
39.871337,16.534804,ov_m_a_g__caffe_39.8713_16.5348,M.A.G. Caffe,RESTAURANT,bar_cafe
39.875538,16.539884,ov_mistura_39.8755_16.5399,Mistura,RESTAURANT,bar_cafe
39.879976,16.543466,ov_rimessaggio_barche_marino_asd_il_pescato_39.8800_16.5435,Rimessaggio Barche Marino asd Il Pescatore,RESTAURANT,bar_cafe
39.864472,16.524572,ov_hulk_gym_39.8645_16.5246,HULK GYM,GYM,palestra
