# lat,lng,id,name,building_type,type,url,page_type
# Caorle -- Tutti
45.601852,12.881437,osm_pronto_soccorso_ospedale_caorle_45.6019_12.8814,Pronto Soccorso Ospedale Caorle,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/pronto_soccorso_ospedale_caorle_45.6019_12.8814.json,custom
45.562024,12.275648,ov_reebs_45.5620_12.2756,Reebs,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/reebs_45.5620_12.2756.json,custom
45.644512,12.548896,ov_da_bacco_45.6445_12.5489,Da Bacco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/da_bacco_45.6445_12.5489.json,custom
45.562491,12.798316,ov_tukan_beach_caorle_45.5625_12.7983,Tukan Beach Caorle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/tukan_beach_caorle_45.5625_12.7983.json,custom
45.566478,12.794674,ov_resto_maxime_45.5665_12.7947,Resto Maxime,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/resto_maxime_45.5665_12.7947.json,custom
45.566645,12.805314,ov_pizzeria_kanyta_45.5666_12.8053,Pizzeria Kanyta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/pizzeria_kanyta_45.5666_12.8053.json,custom
45.566618,12.805099,ov_kanita__duna_verde_45.5666_12.8051,"Kanita, Duna Verde",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/kanita_duna_verde_45.5666_12.8051.json,custom
45.566645,12.803833,ov_cantinota_45.5666_12.8038,Cantinota,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/cantinota_45.5666_12.8038.json,custom
45.566954,12.804455,ov_pizza_al_taglio_localino_45.5670_12.8045,Pizza Al Taglio Localino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/pizza_al_taglio_localino_45.5670_12.8045.json,custom
45.566890,12.794972,ov_bacaro_ai_cocai_45.5669_12.7950,Bacaro ai Cocai,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/bacaro_ai_cocai_45.5669_12.7950.json,custom
45.567412,12.804190,ov_ristorante_bella_duna_45.5674_12.8042,Ristorante Bella Duna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_bella_duna_45.5674_12.8042.json,custom
45.566304,12.795148,ov_maxim_pizzeria_45.5663_12.7951,Maxim Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/maxim_pizzeria_45.5663_12.7951.json,custom
45.568939,12.807581,ov_alla_botte_45.5689_12.8076,Alla Botte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/alla_botte_45.5689_12.8076.json,custom
45.568149,12.813416,ov_chiosco_chiringuito_45.5681_12.8134,Chiosco Chiringuito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/chiosco_chiringuito_45.5681_12.8134.json,custom
45.568463,12.802876,ov_palm_beach_ristorante_pizzeria_45.5685_12.8029,PALM BEACH Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/palm_beach_ristorante_pizzeria_45.5685_12.8029.json,custom
45.568735,12.797580,ov_ristorante_duna_rossa_45.5687_12.7976,Ristorante Duna Rossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_duna_rossa_45.5687_12.7976.json,custom
45.575031,12.822992,ov_ristorante_pizzeria_altamarea_45.5750_12.8230,Ristorante Pizzeria Altamarea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/ristorante_pizzeria_altamarea_45.5750_12.8230.json,custom
45.575419,12.829513,ov_wave_45.5754_12.8295,Wave,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/caorle/pages/wave_45.5754_12.8295.json,custom
