# lat,lng,id,name,building_type,type,url,page_type
# linguaglossa -- Tutti
37.839840,15.140569,ov_ospedale_s_rocco_linguaglossa_37.8398_15.1406,Ospedale S Rocco Linguaglossa,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/ospedale_s_rocco_linguaglossa_37.8398_15.1406.json,custom
37.808206,15.074632,ov_rifugio_ragabo_37.8082_15.0746,Rifugio Ragabo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/rifugio_ragabo_37.8082_15.0746.json,custom
37.793566,15.036607,ov_monte_conca_37.7936_15.0366,Monte Conca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/monte_conca_37.7936_15.0366.json,custom
37.815529,15.144760,ov_il_rustico_la_casa_degli_ulivi_37.8155_15.1448,Il Rustico La Casa degli Ulivi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/il_rustico_la_casa_degli_ulivi_37.8155_15.1448.json,custom
37.832571,15.115659,ov_ristorante_agriturismo_kikajon_37.8326_15.1157,Ristorante agriturismo Kikajon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/ristorante_agriturismo_kikajon_37.8326_15.1157.json,custom
37.832683,15.107598,ov_ristorante_sole_neve_37.8327_15.1076,Ristorante Sole Neve,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/ristorante_sole_neve_37.8327_15.1076.json,custom
37.833796,15.109949,ov_tradizione_siciliana_37.8338_15.1099,Tradizione Siciliana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/tradizione_siciliana_37.8338_15.1099.json,custom
37.837499,15.119723,ov_rifugio_ragabo_37.8375_15.1197,Rifugio Ragabo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/rifugio_ragabo_37.8375_15.1197.json,custom
37.836627,15.142472,ov_il_nido_dell_etna_37.8366_15.1425,Il Nido Dell'Etna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/il_nido_delletna_37.8366_15.1425.json,custom
37.839660,15.144452,ov_semplice_e_buono_37.8397_15.1445,Semplice e Buono,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/semplice_e_buono_37.8397_15.1445.json,custom
37.839508,15.131625,ov_ristorante_gatto_blu_37.8395_15.1316,Ristorante Gatto Blu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/ristorante_gatto_blu_37.8395_15.1316.json,custom
37.839732,15.131475,ov_gatto_blu_osteria_lounge_bar_37.8397_15.1315,Gatto Blu Osteria Lounge Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/gatto_blu_osteria_lounge_bar_37.8397_15.1315.json,custom
37.839410,15.131647,ov_mashalai_37.8394_15.1316,Mashalai,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/mashalai_37.8394_15.1316.json,custom
37.839050,15.146648,ov_ristorante_pizzeria_antonio_37.8391_15.1466,Ristorante Pizzeria Antonio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/ristorante_pizzeria_antonio_37.8391_15.1466.json,custom
37.839805,15.131492,ov_sole_neve_di_confalone_e_c__sas_37.8398_15.1315,Sole-Neve di Confalone e C. SAS,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/sole-neve_di_confalone_e_c_sas_37.8398_15.1315.json,custom
37.840013,15.144102,ov_i_rustici_37.8400_15.1441,I RUSTICI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/i_rustici_37.8400_15.1441.json,custom
37.841150,15.136240,ov_sole_neve_37.8411_15.1362,sole-neve,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/sole-neve_37.8411_15.1362.json,custom
37.841187,15.137567,ov_laboratorio_pasta_fresca_pastificio_di_s_37.8412_15.1376,Laboratorio Pasta Fresca Pastificio di Seminara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/laboratorio_pasta_fresca_pastificio_di_s_37.8412_15.1376.json,custom
37.841512,15.137780,ov_gastronomia_l_aurora_37.8415_15.1378,Gastronomia L'Aurora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/gastronomia_laurora_37.8415_15.1378.json,custom
37.841604,15.137861,ov_ristorante_boccaperta_sc__37.8416_15.1379,ristorante boccaperta SC.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/ristorante_boccaperta_sc_37.8416_15.1379.json,custom
37.843528,15.134797,ov_il_peperoncino_37.8435_15.1348,Il Peperoncino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/il_peperoncino_37.8435_15.1348.json,custom
37.843827,15.141974,ov_trattoria_linguagrossa_37.8438_15.1420,Trattoria LinguaGrossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/trattoria_linguagrossa_37.8438_15.1420.json,custom
37.843143,15.141646,ov_mungibeddu_pizzeria_37.8431_15.1416,Mungibeddu Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/mungibeddu_pizzeria_37.8431_15.1416.json,custom
37.843018,15.142795,ov_osteria_vinetna_37.8430_15.1428,Osteria Vinetna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/osteria_vinetna_37.8430_15.1428.json,custom
37.842135,15.140083,ov_doppio_zero_linguaglossa_37.8421_15.1401,Doppio Zero Linguaglossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/doppio_zero_linguaglossa_37.8421_15.1401.json,custom
37.797098,15.040886,ov_chiosco_bar_etna_nord_37.7971_15.0409,Chiosco bar Etna nord,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/chiosco_bar_etna_nord_37.7971_15.0409.json,custom
37.839179,15.144601,ov_garden_bar_37.8392_15.1446,Garden Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/garden_bar_37.8392_15.1446.json,custom
37.840110,15.140460,ov_il_ciottolo_37.8401_15.1405,Il Ciottolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/il_ciottolo_37.8401_15.1405.json,custom
37.841182,15.136875,ov_chiosco_bar_mareneve_37.8412_15.1369,Chiosco Bar Mareneve,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/chiosco_bar_mareneve_37.8412_15.1369.json,custom
37.843266,15.141721,ov_bar_tur__37.8433_15.1417,Bar Turè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/bar_tur_37.8433_15.1417.json,custom
37.842900,15.138880,ov_120_street_bar_37.8429_15.1389,120 Street Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/120_street_bar_37.8429_15.1389.json,custom
37.842171,15.142508,ov_bar_le_palme_37.8422_15.1425,Bar Le Palme,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/bar_le_palme_37.8422_15.1425.json,custom
37.796221,15.037966,ov_etna_donkey_trekking_37.7962_15.0380,Etna Donkey Trekking,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/etna_donkey_trekking_37.7962_15.0380.json,custom
37.798164,15.036292,ov_star_etna_37.7982_15.0363,STAR Etna,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/star_etna_37.7982_15.0363.json,custom
37.798110,15.036375,ov_scuola_italiana_sci_e_snowboard_linguagl_37.7981_15.0364,Scuola Italiana Sci e Snowboard Linguaglossa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/scuola_italiana_sci_e_snowboard_linguagl_37.7981_15.0364.json,custom
37.831924,15.152462,ov_hidalgo_ranch_37.8319_15.1525,Hidalgo Ranch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/hidalgo_ranch_37.8319_15.1525.json,custom
37.837327,15.142070,ov_danza_e_fitness_mania_37.8373_15.1421,Danza e Fitness Mania,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/danza_e_fitness_mania_37.8373_15.1421.json,custom
37.836760,15.141830,ov_new_dka_palestre_37.8368_15.1418,New DKA Palestre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/new_dka_palestre_37.8368_15.1418.json,custom
37.845219,15.133104,ov_etnafit_a_s_d__37.8452_15.1331,EtnaFit A.S.D.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/etnafit_asd_37.8452_15.1331.json,custom
37.844480,15.135390,ov_dance_movement_asd_linguaglossa_37.8445_15.1354,Dance Movement asd Linguaglossa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/dance_movement_asd_linguaglossa_37.8445_15.1354.json,custom
37.847070,15.137810,ov_poligono_di_tiro__linguaglossa_piano_pon_37.8471_15.1378,Poligono di tiro  Linguaglossa piano Ponzio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/poligono_di_tiro_linguaglossa_piano_ponz_37.8471_15.1378.json,custom
37.840650,15.142825,ov_museo_messina_incorpora_linguaglossa_37.8406_15.1428,Museo Messina-Incorpora Linguaglossa,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/museo_messina-incorpora_linguaglossa_37.8406_15.1428.json,custom
37.840368,15.144351,ov_biblioteca_comunale_a_gullo___linguaglos_37.8404_15.1444,Biblioteca comunale A.Gullo - Linguaglossa,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/linguaglossa/pages/biblioteca_comunale_agullo_-_linguagloss_37.8404_15.1444.json,custom
