# lat,lng,id,name,building_type,type,url,page_type
# falcone -- Tutti
38.115100,15.084603,ov_ospedale_di_patti_38.1151_15.0846,Ospedale Di Patti,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/falcone/pages/ospedale_di_patti_38.1151_15.0846.json,custom
38.115267,15.069003,ov_ristorante_da_vincenzo_38.1153_15.0690,Ristorante da Vincenzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/falcone/pages/ristorante_da_vincenzo_38.1153_15.0690.json,custom
38.124228,15.071320,ov_hotel_maraba_38.1242_15.0713,Hotel Maraba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/falcone/pages/hotel_maraba_38.1242_15.0713.json,custom
38.118378,15.081290,ov_rosti_pollo_di_lorenzo_marino_38.1184_15.0813,Rosti Pollo di Lorenzo Marino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/falcone/pages/rosti_pollo_di_lorenzo_marino_38.1184_15.0813.json,custom
38.116790,15.077328,ov_ristorante_pizzeria_la_bussola_38.1168_15.0773,Ristorante Pizzeria La Bussola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/falcone/pages/ristorante_pizzeria_la_bussola_38.1168_15.0773.json,custom
38.115158,15.068987,ov_bar_zio_santino_gelateria_38.1152_15.0690,Bar Zio Santino Gelateria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/falcone/pages/bar_zio_santino_gelateria_38.1152_15.0690.json,custom
38.117720,15.080743,ov_jolly_bar_38.1177_15.0807,Jolly Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/falcone/pages/jolly_bar_38.1177_15.0807.json,custom
38.117274,15.081524,ov_pub_al_brillo_38.1173_15.0815,Pub Al Brillo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/falcone/pages/pub_al_brillo_38.1173_15.0815.json,custom
38.117174,15.081172,ov_king_s_bar_38.1172_15.0812,King's bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/falcone/pages/kings_bar_38.1172_15.0812.json,custom
38.117112,15.081434,ov_golden_bar_38.1171_15.0814,Golden Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/falcone/pages/golden_bar_38.1171_15.0814.json,custom
38.116346,15.076162,ov_bar__tabacchi__articoli_da_pesca__da_jur_38.1163_15.0762,"BAR, Tabacchi, Articoli Da Pesca  da JURA",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/falcone/pages/bar_tabacchi_articoli_da_pesca_da_jura_38.1163_15.0762.json,custom
38.120240,15.082980,ov_invictus_dance_sport_38.1202_15.0830,Invictus Dance Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/falcone/pages/invictus_dance_sport_38.1202_15.0830.json,custom
