# lat,lng,id,name,building_type,type,url,page_type
# Innichen - San Candido -- Tutti
46.733774,12.284202,osm_krankenhaus_innichen___ospedale_san_cand_46.7338_12.2842,Krankenhaus Innichen - Ospedale San Candido,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/innichen_-_san_candido/pages/krankenhaus_innichen_-_ospedale_san_cand_46.7338_12.2842.json,custom
46.718518,12.278171,ov_rifugio_gigante_baranci_46.7185_12.2782,Rifugio Gigante Baranci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/innichen_-_san_candido/pages/rifugio_gigante_baranci_46.7185_12.2782.json,custom
46.733509,12.279643,osm_centrale_teather_46.7335_12.2796,Centrale Teather,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/innichen_-_san_candido/pages/centrale_teather_46.7335_12.2796.json,custom
46.739924,12.367974,osm_pizzeria_restaurant_tempele_46.7399_12.3680,Pizzeria Restaurant Tempele,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/innichen_-_san_candido/pages/pizzeria_restaurant_tempele_46.7399_12.3680.json,custom
46.730359,12.280542,osm_in_s_kupferdachl_46.7304_12.2805,In`s Kupferdachl,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/innichen_-_san_candido/pages/ins_kupferdachl_46.7304_12.2805.json,custom
46.729106,12.277831,osm_pizzeria_ristorante_sportzentrum_46.7291_12.2778,Pizzeria Ristorante Sportzentrum,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/innichen_-_san_candido/pages/pizzeria_ristorante_sportzentrum_46.7291_12.2778.json,custom
46.733872,12.273585,osm_restaurant_hotel_walter_46.7339_12.2736,Restaurant Hotel Walter,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/innichen_-_san_candido/pages/restaurant_hotel_walter_46.7339_12.2736.json,custom
46.730297,12.279065,osm_bar_minigolf_46.7303_12.2791,Bar Minigolf,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/innichen_-_san_candido/pages/bar_minigolf_46.7303_12.2791.json,custom
46.732798,12.283544,osm_bibliothek_innichen_peter_paul_rainer____46.7328_12.2835,Bibliothek Innichen Peter Paul Rainer - Biblioteca di San Ca,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/innichen_-_san_candido/pages/bibliothek_innichen_peter_paul_rainer_-__46.7328_12.2835.json,custom
46.733136,12.282854,osm_museum_archiv_und_bibliothek_des_stifts__46.7331_12.2829,Museum Archiv und Bibliothek des Stifts Innichen - Museo Arc,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/innichen_-_san_candido/pages/museum_archiv_und_bibliothek_des_stifts__46.7331_12.2829.json,custom
