# lat,lng,id,name,building_type,type,url,page_type
# Casarile -- Tutti
45.318040,9.103530,ov_c_m_c__centro_medico_di_medicina_general_45.3180_9.1035,C.M.C. Centro Medico di Medicina Generale,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casarile/pages/cmc_centro_medico_di_medicina_generale_45.3180_9.1035.json,custom
45.325363,9.102764,ov_ristorante_sole_luna_45.3254_9.1028,Ristorante Sole Luna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casarile/pages/ristorante_sole_luna_45.3254_9.1028.json,custom
45.312672,9.107137,ov_l_airone___ristorante_enoteca_45.3127_9.1071,L’Airone - Ristorante Enoteca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casarile/pages/lairone_-_ristorante_enoteca_45.3127_9.1071.json,custom
45.311651,9.107460,ov_al_solito_posto_45.3117_9.1075,Al Solito Posto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casarile/pages/al_solito_posto_45.3117_9.1075.json,custom
45.311925,9.097781,ov_agriturismo_rosmari_vallino_45.3119_9.0978,Agriturismo Rosmari Vallino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casarile/pages/agriturismo_rosmari_vallino_45.3119_9.0978.json,custom
45.317869,9.090283,ov_agriturismo_il_mulino_45.3179_9.0903,Agriturismo il Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casarile/pages/agriturismo_il_mulino_45.3179_9.0903.json,custom
45.311624,9.107301,osm_ristorante_pizzeria_al_solito_posto_45.3116_9.1073,Ristorante Pizzeria Al Solito Posto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casarile/pages/ristorante_pizzeria_al_solito_posto_45.3116_9.1073.json,custom
45.317943,9.103052,ov_bar_black_sheeps_45.3179_9.1031,Bar Black Sheeps,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casarile/pages/bar_black_sheeps_45.3179_9.1031.json,custom
45.316306,9.102574,ov_bar_tucano_45.3163_9.1026,Bar Tucano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casarile/pages/bar_tucano_45.3163_9.1026.json,custom
45.316903,9.100232,ov_palarile_45.3169_9.1002,Palarile,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casarile/pages/palarile_45.3169_9.1002.json,custom
45.312204,9.107260,ov_melody_of_soul_s_s_d__45.3122_9.1073,Melody of Soul s.s.d.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casarile/pages/melody_of_soul_ssd_45.3122_9.1073.json,custom
45.308640,9.106671,ov_palestra_body_planet_45.3086_9.1067,Palestra Body Planet,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casarile/pages/palestra_body_planet_45.3086_9.1067.json,custom
45.312407,9.080164,ov_scuderia_la_colombera_45.3124_9.0802,Scuderia La Colombera,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casarile/pages/scuderia_la_colombera_45.3124_9.0802.json,custom
45.320136,9.100408,ov_biblioteca_casarile_45.3201_9.1004,Biblioteca Casarile,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/casarile/pages/biblioteca_casarile_45.3201_9.1004.json,custom
