# lat,lng,id,name,building_type,type,url,page_type
# nocera_umbra -- Tutti
43.157434,12.798664,ov_ristorante_dell_agriturismo_la_costa_43.1574_12.7987,Ristorante Dell'Agriturismo la Costa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/ristorante_dellagriturismo_la_costa_43.1574_12.7987.json,custom
43.133974,12.829915,ov_la_taverna_de_cinicchia_43.1340_12.8299,La Taverna de Cinicchia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/la_taverna_de_cinicchia_43.1340_12.8299.json,custom
43.136199,12.830057,ov_pian_delle_stelle_43.1362_12.8301,Pian delle Stelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/pian_delle_stelle_43.1362_12.8301.json,custom
43.129819,12.808986,ov_la_taverna_de_cinicchia_43.1298_12.8090,La taverna de Cinicchia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/la_taverna_de_cinicchia_43.1298_12.8090.json,custom
43.120300,12.839490,ov_cinicchia_43.1203_12.8395,Cinicchia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/cinicchia_43.1203_12.8395.json,custom
43.172925,12.788557,ov_lo_stravizio_43.1729_12.7886,Lo Stravizio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/lo_stravizio_43.1729_12.7886.json,custom
43.178079,12.792393,ov_ristorante_beccofino_43.1781_12.7924,Ristorante Beccofino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/ristorante_beccofino_43.1781_12.7924.json,custom
43.177968,12.793670,ov_ristorante_da_mariella_43.1780_12.7937,Ristorante da Mariella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/ristorante_da_mariella_43.1780_12.7937.json,custom
43.179314,12.799785,ov_pizzeria_lo_chalet_43.1793_12.7998,Pizzeria lo Chalet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/pizzeria_lo_chalet_43.1793_12.7998.json,custom
43.078042,12.824306,ov_birra_nocera_umbra_43.0780_12.8243,Birra Nocera Umbra,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/birra_nocera_umbra_43.0780_12.8243.json,custom
43.114697,12.788833,ov_gran_caff__nocera_umbra_43.1147_12.7888,Gran Caffè Nocera Umbra,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/gran_caff_nocera_umbra_43.1147_12.7888.json,custom
43.113748,12.788677,ov_zero7quattro2_cafe_43.1137_12.7887,Zero7Quattro2 Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/zero7quattro2_cafe_43.1137_12.7887.json,custom
43.113697,12.788680,ov_caffestoreitalia_43.1137_12.7887,Caffestoreitalia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/caffestoreitalia_43.1137_12.7887.json,custom
43.112549,12.789063,ov_bar_pasticceria_pizzeria_porta_vecchia_43.1125_12.7891,Bar Pasticceria Pizzeria Porta Vecchia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/bar_pasticceria_pizzeria_porta_vecchia_43.1125_12.7891.json,custom
43.112633,12.789249,ov_bar_redi_43.1126_12.7892,Bar Redi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/bar_redi_43.1126_12.7892.json,custom
43.097771,12.767389,ov_caffe_leonardi_43.0978_12.7674,Caffe Leonardi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/caffe_leonardi_43.0978_12.7674.json,custom
43.118487,12.793005,ov_pian_delle_stelle_43.1185_12.7930,Pian delle Stelle,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/pian_delle_stelle_43.1185_12.7930.json,custom
43.138031,12.790742,ov_bar_on_the_road_43.1380_12.7907,Bar On The Road,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/bar_on_the_road_43.1380_12.7907.json,custom
43.154988,12.728689,ov_birra_san_biagio_43.1550_12.7287,Birra San Biagio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/birra_san_biagio_43.1550_12.7287.json,custom
43.149998,12.794585,ov_la_costa_43.1500_12.7946,La Costa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/la_costa_43.1500_12.7946.json,custom
43.110185,12.787496,ov_stadio_comunale_angelo_marinangeli_43.1102_12.7875,Stadio comunale Angelo Marinangeli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/stadio_comunale_angelo_marinangeli_43.1102_12.7875.json,custom
43.135581,12.778213,ov_alpa_circolo_ippico_a_s_d_43.1356_12.7782,ALPA circolo ippico A.S.D,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/alpa_circolo_ippico_asd_43.1356_12.7782.json,custom
43.137307,12.788536,ov_we_fit_43.1373_12.7885,We Fit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/we_fit_43.1373_12.7885.json,custom
43.157110,12.729300,ov_ananda_yoga_school_of_europe_43.1571_12.7293,Ananda Yoga School of Europe,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/ananda_yoga_school_of_europe_43.1571_12.7293.json,custom
43.111160,12.789753,ov_pinacoteca_civica_san_francesco_43.1112_12.7898,Pinacoteca Civica San Francesco,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/pinacoteca_civica_san_francesco_43.1112_12.7898.json,custom
43.114901,12.788199,ov_musei_nocera_umbra_43.1149_12.7882,Musei Nocera Umbra,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/musei_nocera_umbra_43.1149_12.7882.json,custom
43.175186,12.785504,osm_poste_italiane_43.1752_12.7855,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/poste_italiane_43.1752_12.7855.json,custom
43.116837,12.790973,osm_poste_italiane_43.1168_12.7910,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/poste_italiane_43.1168_12.7910.json,custom
43.114151,12.790458,ov_biblioteca_verde_nocera_umbra_43.1142_12.7905,Biblioteca Verde Nocera Umbra,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/nocera_umbra/pages/biblioteca_verde_nocera_umbra_43.1142_12.7905.json,custom
