# lat,lng,id,name,building_type,type,url,page_type
# Mileto -- Tutti
38.609393,16.068943,ov_studio_medico_grillo_38.6094_16.0689,Studio Medico Grillo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/studio_medico_grillo_38.6094_16.0689.json,custom
38.571910,16.039570,ov_ristorante_pizzeria_b_b_san_pietro_38.5719_16.0396,Ristorante Pizzeria B&B San Pietro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/ristorante_pizzeria_bb_san_pietro_38.5719_16.0396.json,custom
38.591434,16.056563,ov_bar_pizzeria__rosticceria_paninoteca_pep_38.5914_16.0566,Bar Pizzeria  Rosticceria Paninoteca Pepe Nero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/bar_pizzeria_rosticceria_paninoteca_pepe_38.5914_16.0566.json,custom
38.592974,16.056787,ov_new_paradise_38.5930_16.0568,New Paradise,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/new_paradise_38.5930_16.0568.json,custom
38.597452,16.055734,ov_call__ristorante_alla_brace_38.5975_16.0557,Callà ristorante alla brace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/call_ristorante_alla_brace_38.5975_16.0557.json,custom
38.596823,16.055502,ov_pipercafe____38.5968_16.0555,Pipercafe''',RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/pipercafe_38.5968_16.0555.json,custom
38.622495,16.168132,ov_zavaglia_pizza_lab_38.6225_16.1681,Zavaglia Pizza Lab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/zavaglia_pizza_lab_38.6225_16.1681.json,custom
38.613096,16.071470,ov_cocis_mileto_38.6131_16.0715,Cocis Mileto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/cocis_mileto_38.6131_16.0715.json,custom
38.613240,16.071360,ov_kociss_pizzeria___polleria_38.6132_16.0714,Kociss Pizzeria & Polleria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/kociss_pizzeria_polleria_38.6132_16.0714.json,custom
38.613033,16.071433,ov_da_kociss___pizzeria_forno_a_legna___mil_38.6130_16.0714,Da Kociss | Pizzeria forno a legna | Mileto ~ Vibo Valentia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/da_kociss_pizzeria_forno_a_legna_mileto__38.6130_16.0714.json,custom
38.608420,16.067158,ov_blue_moon_38.6084_16.0672,Blue Moon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/blue_moon_38.6084_16.0672.json,custom
38.607492,16.067237,ov_il_normanno_38.6075_16.0672,Il Normanno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/il_normanno_38.6075_16.0672.json,custom
38.606533,16.064357,ov_wine_bar_bistrot_38.6065_16.0644,Wine bar bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/wine_bar_bistrot_38.6065_16.0644.json,custom
38.606121,16.064150,ov________________38.6061_16.0641,江戸前がってん寿司 一番町店,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/__38.6061_16.0641.json,custom
38.606274,16.064300,ov_bistrot_duomo_38.6063_16.0643,Bistrot Duomo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/bistrot_duomo_38.6063_16.0643.json,custom
38.607026,16.066470,ov_la_bottega_della_contadina_38.6070_16.0665,La Bottega Della Contadina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/la_bottega_della_contadina_38.6070_16.0665.json,custom
38.605196,16.060664,ov_braceria_steak_co_38.6052_16.0607,Braceria Steak&Co,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/braceria_steakco_38.6052_16.0607.json,custom
38.591131,16.059916,ov_sole_e_luna_38.5911_16.0599,Sole e Luna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/sole_e_luna_38.5911_16.0599.json,custom
38.592958,16.056044,ov_bar_celeste_38.5930_16.0560,Bar Celeste,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/bar_celeste_38.5930_16.0560.json,custom
38.610439,16.066420,ov_foro_boario_38.6104_16.0664,Foro Boario,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/foro_boario_38.6104_16.0664.json,custom
38.610328,16.068989,ov_bar_tabacchi_day_and_night_38.6103_16.0690,Bar tabacchi day and night,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/bar_tabacchi_day_and_night_38.6103_16.0690.json,custom
38.607829,16.068352,ov_bar_paninoteca___las_vegas___38.6078_16.0684,Bar paninoteca ''las vegas'',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/bar_paninoteca_las_vegas_38.6078_16.0684.json,custom
38.607038,16.067509,ov_pub_real_badia_38.6070_16.0675,Pub Real Badia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/pub_real_badia_38.6070_16.0675.json,custom
38.605306,16.060668,ov_ristorante_pizzeria_arcobaleno_38.6053_16.0607,Ristorante Pizzeria Arcobaleno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/mileto/pages/ristorante_pizzeria_arcobaleno_38.6053_16.0607.json,custom
