# lat,lng,id,name,building_type,type,url,page_type
# Ischia -- Tutti
40.734819,13.952318,ov_nursing_home_st__john_joseph_40.7348_13.9523,Nursing Home St. John Joseph,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/nursing_home_st_john_joseph_40.7348_13.9523.json,custom
40.697562,13.892297,ov_casa_celestino_40.6976_13.8923,Casa Celestino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/casa_celestino_40.6976_13.8923.json,custom
40.735018,13.936399,ov_il_giardino_mediterraneo_40.7350_13.9364,Il Giardino Mediterraneo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/il_giardino_mediterraneo_40.7350_13.9364.json,custom
40.733825,13.937416,ov_ristorante_u__campagnuolo_40.7338_13.9374,Ristorante U' Campagnuolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_u_campagnuolo_40.7338_13.9374.json,custom
40.743335,13.939226,ov_pizza_village_40.7433_13.9392,Pizza Village,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/pizza_village_40.7433_13.9392.json,custom
40.742836,13.938045,ov_antico_girarrosto_ischitano_40.7428_13.9380,Antico Girarrosto Ischitano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/antico_girarrosto_ischitano_40.7428_13.9380.json,custom
40.746631,13.938697,ov_al_faro_40.7466_13.9387,Al Faro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/al_faro_40.7466_13.9387.json,custom
40.743827,13.938462,ov_la_pagoda_40.7438_13.9385,La Pagoda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/la_pagoda_40.7438_13.9385.json,custom
40.743893,13.938547,ov_dal_calabrese_40.7439_13.9385,dal Calabrese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/dal_calabrese_40.7439_13.9385.json,custom
40.743489,13.938935,ov_ristorante_pizzeria_il_giardino_di_enzo_40.7435_13.9389,Ristorante Pizzeria IL Giardino di Enzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_pizzeria_il_giardino_di_enzo_40.7435_13.9389.json,custom
40.743509,13.939096,ov_fratelli_la_bufala_40.7435_13.9391,Fratelli La Bufala,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/fratelli_la_bufala_40.7435_13.9391.json,custom
40.746146,13.942995,ov_trattoria___o_marenariello_40.7461_13.9430,Trattoria ' O Marenariello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/trattoria_o_marenariello_40.7461_13.9430.json,custom
40.745411,13.942756,ov_i_ricci_officina_del_gusto_40.7454_13.9428,I Ricci officina del gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/i_ricci_officina_del_gusto_40.7454_13.9428.json,custom
40.745574,13.942990,ov_anc_ra_mare___champagne_40.7456_13.9430,Ancóra Mare & Champagne,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ancra_mare_champagne_40.7456_13.9430.json,custom
40.745259,13.942799,ov_osteria_del_porco_40.7453_13.9428,Osteria del porco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/osteria_del_porco_40.7453_13.9428.json,custom
40.745347,13.942765,ov_ristorante_la_terrazza_di_mimi_40.7453_13.9428,Ristorante La Terrazza di Mimi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_la_terrazza_di_mimi_40.7453_13.9428.json,custom
40.743535,13.942046,ov_ristorante_al_faretto__le_prelibatezze_d_40.7435_13.9420,"Ristorante Al Faretto, le prelibatezze della riva destra",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_al_faretto_le_prelibatezze_de_40.7435_13.9420.json,custom
40.743773,13.942288,ov_ristorante_riva_destra_40.7438_13.9423,Ristorante Riva Destra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_riva_destra_40.7438_13.9423.json,custom
40.743628,13.942407,ov_il_pinterre_40.7436_13.9424,Il Pinterre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/il_pinterre_40.7436_13.9424.json,custom
40.743570,13.942420,ov_ristorante_emiddio_dal_1950_40.7436_13.9424,Ristorante Emiddio dal 1950,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_emiddio_dal_1950_40.7436_13.9424.json,custom
40.743512,13.942442,ov_le_canzoni_del_mare_40.7435_13.9424,Le Canzoni Del Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/le_canzoni_del_mare_40.7435_13.9424.json,custom
40.743775,13.942483,ov_o_purticciull_40.7438_13.9425,O Purticciull,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/o_purticciull_40.7438_13.9425.json,custom
40.743977,13.942508,ov_ristorante_pub_o_cocc_40.7440_13.9425,Ristorante Pub O'Cocc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_pub_ococc_40.7440_13.9425.json,custom
40.744036,13.942549,ov_la_pantera_rosa_40.7440_13.9425,La Pantera Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/la_pantera_rosa_40.7440_13.9425.json,custom
40.743918,13.942450,ov_portobello_restaurant_40.7439_13.9425,Portobello Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/portobello_restaurant_40.7439_13.9425.json,custom
40.744178,13.942452,ov_trattoriva_40.7442_13.9425,Trattoriva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/trattoriva_40.7442_13.9425.json,custom
40.744348,13.942570,ov_ristorante___la_locanda_del_mare_40.7443_13.9426,Ristorante - La Locanda del Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_-_la_locanda_del_mare_40.7443_13.9426.json,custom
40.744328,13.942554,ov_quagliari__trattoria_pizzeria_40.7443_13.9426,Quagliariè Trattoria Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/quagliari_trattoria_pizzeria_40.7443_13.9426.json,custom
40.744289,13.942479,ov_taverna_antonio_40.7443_13.9425,Taverna Antonio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/taverna_antonio_40.7443_13.9425.json,custom
40.744625,13.942600,ov_l_altra_mezzanotte_40.7446_13.9426,L'Altra Mezzanotte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/laltra_mezzanotte_40.7446_13.9426.json,custom
40.744665,13.942701,ov_pescaderia_40.7447_13.9427,Pescaderia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/pescaderia_40.7447_13.9427.json,custom
40.742804,13.943236,ov_ristorante_da_coc__40.7428_13.9432,Ristorante da Cocò,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/ristorante_da_coc_40.7428_13.9432.json,custom
40.742820,13.943020,ov_______40.7428_13.9430,世华肉骨茶,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ischia/pages/_40.7428_13.9430.json,custom
