# lat,lng,id,name,building_type,type,url,page_type
# Negrar -- Tutti
45.529756,10.936997,ov_ospedale_sacro_cuore_don_calabria_45.5298_10.9370,Ospedale Sacro Cuore Don Calabria,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/negrar/pages/ospedale_sacro_cuore_don_calabria_45.5298_10.9370.json,custom
45.523615,10.943181,ov_ristorante_pizzeria_alla_vecchia_rama_45.5236_10.9432,Ristorante Pizzeria alla Vecchia Rama,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/negrar/pages/ristorante_pizzeria_alla_vecchia_rama_45.5236_10.9432.json,custom
45.504560,10.933910,ov_osteria_del_bugiardo_45.5046_10.9339,Osteria del Bugiardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/negrar/pages/osteria_del_bugiardo_45.5046_10.9339.json,custom
45.530665,10.939348,ov_caff__perla_45.5307_10.9393,Caffè Perla,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/negrar/pages/caff_perla_45.5307_10.9393.json,custom
45.503056,10.933673,osm_happy_days_45.5031_10.9337,Happy Days,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/negrar/pages/happy_days_45.5031_10.9337.json,custom
45.530640,10.938799,osm_pasticceria_perla_45.5306_10.9388,Pasticceria Perla,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/negrar/pages/pasticceria_perla_45.5306_10.9388.json,custom
