# lat,lng,id,name,building_type,type,url,page_type
# Domagnano -- Tutti
43.957414,12.476344,ov_centro_medico_smes_43.9574_12.4763,Centro Medico SMES,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/centro_medico_smes_43.9574_12.4763.json,custom
43.959772,12.474189,ov_rainbow_sushi_43.9598_12.4742,Rainbow Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/rainbow_sushi_43.9598_12.4742.json,custom
43.959623,12.473753,ov_mythai_asian_contemporary_food_43.9596_12.4738,MyThai asian contemporary food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/mythai_asian_contemporary_food_43.9596_12.4738.json,custom
43.959482,12.475182,ov_innesto_bistrot_43.9595_12.4752,Innesto Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/innesto_bistrot_43.9595_12.4752.json,custom
43.957733,12.476271,ov_draft_american_slow_diner_43.9577_12.4763,Draft American Slow Diner,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/draft_american_slow_diner_43.9577_12.4763.json,custom
43.955830,12.466692,ov_la_clessidra_43.9558_12.4667,La Clessidra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/la_clessidra_43.9558_12.4667.json,custom
43.952768,12.469265,ov_bar_trattoria_testacl__43.9528_12.4693,Bar Trattoria Testaclà,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/bar_trattoria_testacl_43.9528_12.4693.json,custom
43.948056,12.463899,ov_buonissimopernatura_san_marino_43.9481_12.4639,BuonissimoPerNatura San Marino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/buonissimopernatura_san_marino_43.9481_12.4639.json,custom
43.948840,12.464987,ov_cacao_il_ristorantino_43.9488_12.4650,Cacao Il Ristorantino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/cacao_il_ristorantino_43.9488_12.4650.json,custom
43.948988,12.461346,ov_daifuku_ristorante_giapponese_43.9490_12.4613,Daifuku Ristorante Giapponese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/daifuku_ristorante_giapponese_43.9490_12.4613.json,custom
43.948883,12.462439,ov_raschi_ristorante_pizzeria_43.9489_12.4624,Raschi Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/raschi_ristorante_pizzeria_43.9489_12.4624.json,custom
43.949566,12.465185,ov_porky_s_house_43.9496_12.4652,Porky's House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/porkys_house_43.9496_12.4652.json,custom
43.956010,12.467910,ov_bar_giardino_43.9560_12.4679,Bar Giardino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/bar_giardino_43.9560_12.4679.json,custom
43.955840,12.466600,ov_confederazione_sammarinese_del_lavoro____43.9558_12.4666,Confederazione Sammarinese del Lavoro - CSdL,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/confederazione_sammarinese_del_lavoro_-__43.9558_12.4666.json,custom
43.950638,12.466025,ov_green_clover_irishpub_43.9506_12.4660,Green Clover IrishPub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/green_clover_irishpub_43.9506_12.4660.json,custom
43.950327,12.465404,ov_birrificio_abusivo_43.9503_12.4654,Birrificio Abusivo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/birrificio_abusivo_43.9503_12.4654.json,custom
43.959575,12.495978,ov_centro_equestre_valgiurata_43.9596_12.4960,Centro Equestre Valgiurata,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/centro_equestre_valgiurata_43.9596_12.4960.json,custom
43.957933,12.478430,ov_acqua_fitness_marima_san_marino___idrofi_43.9579_12.4784,Acqua Fitness Marima San Marino - Idrofit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/acqua_fitness_marima_san_marino_-_idrofi_43.9579_12.4784.json,custom
43.959918,12.474945,ov_pratico_yoga___centro_di_yoga___pilates__43.9599_12.4749,Pratico Yoga - Centro di Yoga & Pilates San Marino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/pratico_yoga_-_centro_di_yoga_pilates_sa_43.9599_12.4749.json,custom
43.959000,12.474920,ov_sivayoga_sm_43.9590_12.4749,Sivayoga.sm,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/sivayogasm_43.9590_12.4749.json,custom
43.956262,12.466089,ov_charme_personal_trainer_43.9563_12.4661,Charme Personal Trainer,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/charme_personal_trainer_43.9563_12.4661.json,custom
43.953748,12.467374,ov_san_marino_academy_ballet_43.9537_12.4674,San Marino Academy Ballet,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/domagnano/pages/san_marino_academy_ballet_43.9537_12.4674.json,custom
