# lat,lng,id,name,building_type,type,url,page_type
# Villa Santina -- Tutti
46.414345,12.925621,ov_centro_laser_46.4143_12.9256,Centro LASER,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villa_santina/pages/centro_laser_46.4143_12.9256.json,custom
46.413418,12.913125,ov_pizzeria_luna_rossa_carnia_46.4134_12.9131,Pizzeria Luna Rossa-Carnia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villa_santina/pages/pizzeria_luna_rossa-carnia_46.4134_12.9131.json,custom
46.415575,12.924200,ov_la_teglia_dai_ma_ca_chi_46.4156_12.9242,La Teglia dai Ma.Ca.Chi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villa_santina/pages/la_teglia_dai_macachi_46.4156_12.9242.json,custom
46.416246,12.923580,ov_vecchia_osteria_cimenti_46.4162_12.9236,Vecchia Osteria Cimenti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villa_santina/pages/vecchia_osteria_cimenti_46.4162_12.9236.json,custom
46.415052,12.920366,ov_cucina_di_carnia_46.4151_12.9204,Cucina di Carnia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villa_santina/pages/cucina_di_carnia_46.4151_12.9204.json,custom
46.416848,12.921328,ov_pizzeria_da_giannino_46.4168_12.9213,Pizzeria da Giannino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villa_santina/pages/pizzeria_da_giannino_46.4168_12.9213.json,custom
46.416637,12.922620,ov_ristorante_pizzeria_grizzly_46.4166_12.9226,Ristorante Pizzeria Grizzly,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villa_santina/pages/ristorante_pizzeria_grizzly_46.4166_12.9226.json,custom
46.417948,12.916157,ov_ristorante_donada_46.4179_12.9162,Ristorante Donada,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villa_santina/pages/ristorante_donada_46.4179_12.9162.json,custom
46.415872,12.925088,ov_da_gioconda___bar___pasticceria_46.4159_12.9251,Da Gioconda - bar & pasticceria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villa_santina/pages/da_gioconda_-_bar_pasticceria_46.4159_12.9251.json,custom
46.416129,12.923960,ov_moderno_46.4161_12.9240,Moderno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villa_santina/pages/moderno_46.4161_12.9240.json,custom
46.415550,12.923894,ov_bar_caff__nuovo_da_marika_46.4156_12.9239,Bar Caffè Nuovo da Marika,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villa_santina/pages/bar_caff_nuovo_da_marika_46.4156_12.9239.json,custom
46.416088,12.923986,osm_caff__moderno_46.4161_12.9240,Caffè Moderno,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villa_santina/pages/caff_moderno_46.4161_12.9240.json,custom
