# lat,lng,id,name,building_type,type,url,page_type
# Casal Cermelli -- Tutti
44.837334,8.621633,osm_casa_di_riposo__villa_san_fortunato_44.8373_8.6216,Casa di riposo  Villa San Fortunato,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/casal_cermelli/pages/casa_di_riposo_villa_san_fortunato_44.8373_8.6216.json,custom
44.835453,8.623301,ov_la_rosa_del_bar_roma_44.8355_8.6233,La Rosa del bar Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/casal_cermelli/pages/la_rosa_del_bar_roma_44.8355_8.6233.json,custom
44.835430,8.623350,ov_anyway_caf__44.8354_8.6234,Anyway Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/casal_cermelli/pages/anyway_caf_44.8354_8.6234.json,custom
