# lat,lng,id,name,building_type,type,url,page_type
# Velden am Wörther See -- Tutti
46.605945,13.999229,ov_landgasthaus_falle_46.6059_13.9992,Landgasthaus Falle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/velden_am_wrther_see/pages/landgasthaus_falle_46.6059_13.9992.json,custom
46.651010,13.980830,ov_team_rjk_46.6510_13.9808,Team RJK,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/velden_am_wrther_see/pages/team_rjk_46.6510_13.9808.json,custom
46.650519,13.998781,ov_velden_golf_academy_46.6505_13.9988,Velden Golf Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/velden_am_wrther_see/pages/velden_golf_academy_46.6505_13.9988.json,custom
46.650460,13.999440,ov_golfanlage_velden_k_stenberg_46.6505_13.9994,Golfanlage Velden-Köstenberg,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/velden_am_wrther_see/pages/golfanlage_velden-kstenberg_46.6505_13.9994.json,custom
46.606187,13.992537,ov_bodym_alexandra_moswitzer_46.6062_13.9925,BodyM Alexandra Moswitzer,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/velden_am_wrther_see/pages/bodym_alexandra_moswitzer_46.6062_13.9925.json,custom
46.638111,13.995659,ov_burgruine_hohenwart_46.6381_13.9957,Burgruine Hohenwart,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/velden_am_wrther_see/pages/burgruine_hohenwart_46.6381_13.9957.json,custom
