# lat,lng,id,name,building_type,type,url,page_type
# inzago -- Tutti
45.538797,9.480457,ov_hospital_luigi_marchesi_45.5388_9.4805,Hospital Luigi Marchesi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/hospital_luigi_marchesi_45.5388_9.4805.json,custom
45.553056,9.376913,ov_pizzeria_simpaty_45.5531_9.3769,Pizzeria Simpaty,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/pizzeria_simpaty_45.5531_9.3769.json,custom
45.534160,9.495550,ov_teodoro_chiancone_45.5342_9.4955,Teodoro Chiancone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/teodoro_chiancone_45.5342_9.4955.json,custom
45.540069,9.481166,ov_il_chiosco_delle_delizie_45.5401_9.4812,Il Chiosco delle delizie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/il_chiosco_delle_delizie_45.5401_9.4812.json,custom
45.539877,9.481433,ov_pizzeria_simpaty_di_manicone_fabio_45.5399_9.4814,Pizzeria simpaty di manicone fabio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/pizzeria_simpaty_di_manicone_fabio_45.5399_9.4814.json,custom
45.539446,9.481051,ov_taverna_dei_sapori_antichi_45.5394_9.4811,Taverna Dei Sapori Antichi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/taverna_dei_sapori_antichi_45.5394_9.4811.json,custom
45.538654,9.487042,ov_taverna_dei_sapori_antichi_45.5387_9.4870,Taverna dei Sapori Antichi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/taverna_dei_sapori_antichi_45.5387_9.4870.json,custom
45.537120,9.478900,ov_ristorante_dolcevita_usmate_45.5371_9.4789,Ristorante Dolcevita Usmate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/ristorante_dolcevita_usmate_45.5371_9.4789.json,custom
45.537275,9.479574,ov_ristorante_pechino_45.5373_9.4796,Ristorante Pechino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/ristorante_pechino_45.5373_9.4796.json,custom
45.537475,9.479150,ov_mulino_gabello_45.5375_9.4791,Mulino Gabello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/mulino_gabello_45.5375_9.4791.json,custom
45.537518,9.479654,ov_rian_restaurant_cafe_45.5375_9.4797,Rian Restaurant Cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/rian_restaurant_cafe_45.5375_9.4797.json,custom
45.538319,9.483831,ov_butcher_motta_sergio_45.5383_9.4838,Butcher Motta Sergio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/butcher_motta_sergio_45.5383_9.4838.json,custom
45.537580,9.478540,ov_la_dolce_vita_45.5376_9.4785,La Dolce Vita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/la_dolce_vita_45.5376_9.4785.json,custom
45.537532,9.478641,ov_ristorante_il_capriccio_2_inzago_45.5375_9.4786,Ristorante Il Capriccio 2 Inzago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/ristorante_il_capriccio_2_inzago_45.5375_9.4786.json,custom
45.535230,9.486125,ov_on_the_road_cafe_45.5352_9.4861,On The Road Cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/on_the_road_cafe_45.5352_9.4861.json,custom
45.540695,9.479061,ov_pizzeria_le_conchiglie_45.5407_9.4791,Pizzeria Le Conchiglie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/inzago/pages/pizzeria_le_conchiglie_45.5407_9.4791.json,custom
