# lat,lng,id,name,building_type,type,url,page_type
# largentire-la-besse -- Tutti
44.796925,6.558732,ov_maison_de_sant__de_la_durance_44.7969_6.5587,Maison De SantÉ De La Durance,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/largentire-la-besse/pages/maison_de_sant_de_la_durance_44.7969_6.5587.json,custom
44.777400,6.555920,ov_au_bistrot_44.7774_6.5559,Au Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/largentire-la-besse/pages/au_bistrot_44.7774_6.5559.json,custom
44.790265,6.558067,ov_au_petit_plat_44.7903_6.5581,Au Petit Plat,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/largentire-la-besse/pages/au_petit_plat_44.7903_6.5581.json,custom
44.784229,6.548521,ov_autour_du_four_44.7842_6.5485,Autour du Four,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/largentire-la-besse/pages/autour_du_four_44.7842_6.5485.json,custom
44.794406,6.559234,ov_le_kiosque_44.7944_6.5592,Le Kiosque,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/largentire-la-besse/pages/le_kiosque_44.7944_6.5592.json,custom
44.795881,6.558990,ov_pizzasonny_sonny_44.7959_6.5590,Pizzasonny Sonny,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/largentire-la-besse/pages/pizzasonny_sonny_44.7959_6.5590.json,custom
44.796664,6.559052,ov_l_abc_pizza_44.7967_6.5591,L'ABC Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/largentire-la-besse/pages/labc_pizza_44.7967_6.5591.json,custom
44.792402,6.558408,ov_caf__de_la_mairie_44.7924_6.5584,Café de la mairie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/largentire-la-besse/pages/caf_de_la_mairie_44.7924_6.5584.json,custom
44.794078,6.559412,ov_le_monde_d_apres_44.7941_6.5594,Le Monde d'Apres,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/largentire-la-besse/pages/le_monde_dapres_44.7941_6.5594.json,custom
44.794030,6.559553,osm_le_monde_d_apr_s_44.7940_6.5596,Le monde d'après,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/largentire-la-besse/pages/le_monde_daprs_44.7940_6.5596.json,custom
44.777179,6.555939,osm_60_40_le_v_lo_easy___bike_caf____shop_44.7772_6.5559,60-40 Le vélo Easy - Bike café - Shop,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/largentire-la-besse/pages/60-40_le_vlo_easy_-_bike_caf_-_shop_44.7772_6.5559.json,custom
44.793237,6.562262,ov_sport_sant__ecrins_44.7932_6.5623,Sport Santé Ecrins,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/largentire-la-besse/pages/sport_sant_ecrins_44.7932_6.5623.json,custom
44.782303,6.556779,ov_plong_e_club_des_ecrins_44.7823_6.5568,Plongée club des Ecrins,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/largentire-la-besse/pages/plonge_club_des_ecrins_44.7823_6.5568.json,custom
44.798157,6.556755,ov_l__le_aux_pirates_44.7982_6.5568,L'île aux pirates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/largentire-la-besse/pages/lle_aux_pirates_44.7982_6.5568.json,custom
44.784956,6.553722,ov_musee_des_mines_d_argent_44.7850_6.5537,Musee des Mines d'Argent,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/largentire-la-besse/pages/musee_des_mines_dargent_44.7850_6.5537.json,custom
44.785472,6.553591,ov_biblioth_que_municipale_de_l_argenti_re__44.7855_6.5536,Bibliothèque municipale de l'Argentière-la-Bessée,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/largentire-la-besse/pages/bibliothque_municipale_de_largentire-la-_44.7855_6.5536.json,custom
