# lat,lng,id,name,building_type,type,url,page_type
# Vanzago -- Tutti
45.526571,8.987465,ov_la_katchanga_tribe_45.5266_8.9875,La Katchanga Tribe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vanzago/pages/la_katchanga_tribe_45.5266_8.9875.json,custom
45.526488,8.994715,ov_caffe_del_centro_45.5265_8.9947,Caffe del Centro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vanzago/pages/caffe_del_centro_45.5265_8.9947.json,custom
45.526094,8.996217,ov_shining_bar_45.5261_8.9962,Shining Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vanzago/pages/shining_bar_45.5261_8.9962.json,custom
45.525934,8.995379,ov_bar_face_to_face_45.5259_8.9954,Bar Face To Face,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vanzago/pages/bar_face_to_face_45.5259_8.9954.json,custom
45.526697,8.997525,ov_caffe_letterario_45.5267_8.9975,Caffe Letterario,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vanzago/pages/caffe_letterario_45.5267_8.9975.json,custom
45.526030,8.996354,osm_bar_shining_45.5260_8.9964,Bar Shining,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vanzago/pages/bar_shining_45.5260_8.9964.json,custom
45.526863,8.990353,osm_unic_bikers_bar_45.5269_8.9904,Unic Bikers Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vanzago/pages/unic_bikers_bar_45.5269_8.9904.json,custom
45.507232,8.974293,ov_fit_performance_45.5072_8.9743,Fit Performance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vanzago/pages/fit_performance_45.5072_8.9743.json,custom
45.526657,8.990350,ov_palestra_olimpia_new_gym_45.5267_8.9903,Palestra Olimpia new gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vanzago/pages/palestra_olimpia_new_gym_45.5267_8.9903.json,custom
45.526270,8.994430,ov_carpe_diem_wellness_club_45.5263_8.9944,Carpe Diem Wellness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vanzago/pages/carpe_diem_wellness_club_45.5263_8.9944.json,custom
45.523910,9.005192,ov_mm_circus_45.5239_9.0052,MM Circus,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vanzago/pages/mm_circus_45.5239_9.0052.json,custom
45.520658,8.983969,ov_balla_snella_vanzago_45.5207_8.9840,Balla&Snella Vanzago,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vanzago/pages/ballasnella_vanzago_45.5207_8.9840.json,custom
45.520569,8.983835,ov_boxingteam_gladiators_45.5206_8.9838,BoxingTeam Gladiators,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vanzago/pages/boxingteam_gladiators_45.5206_8.9838.json,custom
45.520143,8.983309,ov_fantasy_dance_ssd_a_rl_45.5201_8.9833,Fantasy Dance ssd a rl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vanzago/pages/fantasy_dance_ssd_a_rl_45.5201_8.9833.json,custom
45.512040,8.988378,ov_asd_centro_ippico_valdarenne_45.5120_8.9884,Asd Centro Ippico Valdarenne,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vanzago/pages/asd_centro_ippico_valdarenne_45.5120_8.9884.json,custom
45.525538,9.007317,ov_milano_fashion_library_45.5255_9.0073,Milano Fashion Library,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vanzago/pages/milano_fashion_library_45.5255_9.0073.json,custom
45.526709,8.997854,ov_biblioteca_comunale_45.5267_8.9979,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/vanzago/pages/biblioteca_comunale_45.5267_8.9979.json,custom
