# lat,lng,id,name,building_type,type,url,page_type
# Grumello del Monte -- Tutti
45.633782,9.884164,ov_signori_e_grano_45.6338_9.8842,Signori e grano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/signori_e_grano_45.6338_9.8842.json,custom
45.633283,9.880134,ov_cascina_dei_filagni_45.6333_9.8801,Cascina dei Filagni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/cascina_dei_filagni_45.6333_9.8801.json,custom
45.634285,9.865512,ov_pizzeria_da_sando_45.6343_9.8655,Pizzeria da sando,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/pizzeria_da_sando_45.6343_9.8655.json,custom
45.633790,9.861260,ov_myshibuya_sushi_point_45.6338_9.8613,MyShibuya Sushi Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/myshibuya_sushi_point_45.6338_9.8613.json,custom
45.633296,9.861912,ov_ristobio_45.6333_9.8619,Ristobio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/ristobio_45.6333_9.8619.json,custom
45.633264,9.861664,ov_zer09_bar_hamburgeria_45.6333_9.8617,Zer09 Bar Hamburgeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/zer09_bar_hamburgeria_45.6333_9.8617.json,custom
45.632456,9.860755,ov_mcdonald_s_45.6325_9.8608,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/mcdonalds_45.6325_9.8608.json,custom
45.632566,9.860430,ov_la_piadineria_45.6326_9.8604,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/la_piadineria_45.6326_9.8604.json,custom
45.622556,9.880509,ov_cascina_dei_filagni_45.6226_9.8805,Cascina dei Filagni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/cascina_dei_filagni_45.6226_9.8805.json,custom
45.633528,9.861704,osm_ristobio_45.6335_9.8617,Ristobio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/ristobio_45.6335_9.8617.json,custom
45.633446,9.861378,osm_zero9_hamburgeria_45.6334_9.8614,Zero9 Hamburgeria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/zero9_hamburgeria_45.6334_9.8614.json,custom
45.639944,9.863356,osm_ubaldo_45.6399_9.8634,Ubaldo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/ubaldo_45.6399_9.8634.json,custom
45.632562,9.860888,osm_mcdonald_s_45.6326_9.8609,McDonald's,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/mcdonalds_45.6326_9.8609.json,custom
45.645207,9.884288,ov_bar_boldesico_45.6452_9.8843,Bar Boldesico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/bar_boldesico_45.6452_9.8843.json,custom
45.645912,9.855028,ov_barmusicmovida_45.6459_9.8550,Barmusicmovida,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/barmusicmovida_45.6459_9.8550.json,custom
45.635390,9.873690,ov_l_angolo_del_caff__45.6354_9.8737,L'angolo del caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/langolo_del_caff_45.6354_9.8737.json,custom
45.636322,9.871572,ov_caffe_della_piazzetta_45.6363_9.8716,Caffe Della Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/caffe_della_piazzetta_45.6363_9.8716.json,custom
45.636106,9.871070,ov_the_hangover_bar_45.6361_9.8711,The Hangover Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/the_hangover_bar_45.6361_9.8711.json,custom
45.635886,9.872008,ov_nuovo_bar_roma_45.6359_9.8720,Nuovo Bar Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/nuovo_bar_roma_45.6359_9.8720.json,custom
45.635698,9.871748,ov_caffetteria_camozzi_45.6357_9.8717,Caffetteria Camozzi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/caffetteria_camozzi_45.6357_9.8717.json,custom
45.635804,9.872009,ov_liberty_cafe_45.6358_9.8720,Liberty Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/liberty_cafe_45.6358_9.8720.json,custom
45.636490,9.879426,ov_blue_bar_45.6365_9.8794,Blue bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/blue_bar_45.6365_9.8794.json,custom
45.638763,9.872392,ov_il_barettino_45.6388_9.8724,Il Barettino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/il_barettino_45.6388_9.8724.json,custom
45.633597,9.864034,ov_happy_family_bar_45.6336_9.8640,Happy Family Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/happy_family_bar_45.6336_9.8640.json,custom
45.633186,9.861334,ov_caff__del_parco_45.6332_9.8613,Caffè del Parco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/caff_del_parco_45.6332_9.8613.json,custom
45.729586,9.716894,ov_the_new_sputnik_525_nuova_gestione_45.7296_9.7169,The new sputnik 525 nuova gestione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/the_new_sputnik_525_nuova_gestione_45.7296_9.7169.json,custom
45.645599,9.885610,ov_palestra_free_45.6456_9.8856,Palestra Free,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/palestra_free_45.6456_9.8856.json,custom
45.648607,9.870597,ov_stargate_yoga_asd_45.6486_9.8706,Stargate yoga asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/stargate_yoga_asd_45.6486_9.8706.json,custom
45.634743,9.875593,ov_indiemama_45.6347_9.8756,Indiemama,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/indiemama_45.6347_9.8756.json,custom
45.635867,9.869794,ov_oratorio_grumello_45.6359_9.8698,Oratorio Grumello,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/oratorio_grumello_45.6359_9.8698.json,custom
45.639780,9.871623,ov_sogno_danza_45.6398_9.8716,Sogno Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/sogno_danza_45.6398_9.8716.json,custom
45.642762,9.880463,ov_centro_sportivo_grumello_45.6428_9.8805,Centro Sportivo Grumello,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/centro_sportivo_grumello_45.6428_9.8805.json,custom
45.633036,9.870811,ov_italia_krav_maga___grumello_del_monte____45.6330_9.8708,Italia Krav Maga - Grumello del Monte - Bg,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/italia_krav_maga_-_grumello_del_monte_-__45.6330_9.8708.json,custom
45.633555,9.861378,ov_valore_donna_fitness_boutique_45.6336_9.8614,Valore Donna Fitness Boutique,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/valore_donna_fitness_boutique_45.6336_9.8614.json,custom
45.622980,9.856530,ov_gdm_italiana_grumello_telgate_45.6230_9.8565,GDM Italiana Grumello/Telgate,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/gdm_italiana_grumellotelgate_45.6230_9.8565.json,custom
45.637423,9.870447,ov_castello_di_grumello_45.6374_9.8704,Castello di Grumello,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/castello_di_grumello_45.6374_9.8704.json,custom
45.636861,9.872172,ov_biblioteca_di_grumello_del_monte_45.6369_9.8722,Biblioteca di Grumello Del Monte,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/biblioteca_di_grumello_del_monte_45.6369_9.8722.json,custom
45.636836,9.871834,osm_biblioteca_comunale_di_grumello_del_mont_45.6368_9.8718,Biblioteca Comunale di Grumello del Monte,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/grumello_del_monte/pages/biblioteca_comunale_di_grumello_del_mont_45.6368_9.8718.json,custom
