# lat,lng,id,name,building_type,type,url,page_type
# azzano_decimo -- Tutti
45.879071,12.707648,ov_usl_azzano_x_45.8791_12.7076,Usl Azzano X,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/usl_azzano_x_45.8791_12.7076.json,custom
45.868561,12.737853,ov_alla_frasca_45.8686_12.7379,Alla frasca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/alla_frasca_45.8686_12.7379.json,custom
45.868570,12.737620,ov_frasca_azzano_decimo_45.8686_12.7376,Frasca Azzano Decimo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/frasca_azzano_decimo_45.8686_12.7376.json,custom
45.881825,12.737635,ov_hostaria_alla_curva_45.8818_12.7376,Hostaria alla Curva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/hostaria_alla_curva_45.8818_12.7376.json,custom
45.880379,12.715862,ov_tandoori_spice_45.8804_12.7159,Tandoori Spice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/tandoori_spice_45.8804_12.7159.json,custom
45.880313,12.716417,ov_jenny_doppia_o_45.8803_12.7164,Jenny Doppia O,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/jenny_doppia_o_45.8803_12.7164.json,custom
45.881090,12.715540,ov_saim_pizza_via_trieste_29__azzano_decimo_45.8811_12.7155,Saim Pizza Via Trieste 29 -Azzano Decimo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/saim_pizza_via_trieste_29_-azzano_decimo_45.8811_12.7155.json,custom
45.882173,12.715874,ov_pizzeria_aladino_45.8822_12.7159,Pizzeria Aladino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/pizzeria_aladino_45.8822_12.7159.json,custom
45.881850,12.712770,ov_pizzalonga_away_azzano_decimo_45.8819_12.7128,Pizzalonga Away Azzano Decimo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/pizzalonga_away_azzano_decimo_45.8819_12.7128.json,custom
45.884243,12.713469,ov_kebab_azzano_decimo_45.8842_12.7135,Kebab Azzano decimo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/kebab_azzano_decimo_45.8842_12.7135.json,custom
45.883375,12.714702,ov_pizza_al_baffo_45.8834_12.7147,Pizza al Baffo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/pizza_al_baffo_45.8834_12.7147.json,custom
45.883002,12.714370,ov_bottega_del_pesce_45.8830_12.7144,Bottega del Pesce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/azzano_decimo/pages/bottega_del_pesce_45.8830_12.7144.json,custom
