# lat,lng,id,name,building_type,type,url,page_type
# Azzate -- Tutti
45.778818,8.798405,ov_asl___distretto_di_azzate_45.7788_8.7984,Asl - Distretto di Azzate,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/asl_-_distretto_di_azzate_45.7788_8.7984.json,custom
45.814227,8.831693,ov_polimpianti_srl_45.8142_8.8317,Polimpianti SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/polimpianti_srl_45.8142_8.8317.json,custom
45.777109,8.795654,ov_dream_pizza_45.7771_8.7957,Dream Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/dream_pizza_45.7771_8.7957.json,custom
45.776224,8.793871,ov_pizzamore_45.7762_8.7939,Pizzamore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/pizzamore_45.7762_8.7939.json,custom
45.777012,8.794740,ov_hosteria_da_bruno_45.7770_8.7947,Hosteria Da Bruno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/hosteria_da_bruno_45.7770_8.7947.json,custom
45.775249,8.790990,ov_la_voce_del_mare_45.7752_8.7910,La Voce del Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/la_voce_del_mare_45.7752_8.7910.json,custom
45.779535,8.791900,ov_bar_trattoria_l_amico_fritz_45.7795_8.7919,Bar Trattoria L'Amico Fritz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/bar_trattoria_lamico_fritz_45.7795_8.7919.json,custom
45.777659,8.798548,ov_duepuntozero_45.7777_8.7985,Duepuntozero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/duepuntozero_45.7777_8.7985.json,custom
45.777367,8.799179,ov_trattoria_del_monte_allegro_45.7774_8.7992,Trattoria del monte allegro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/trattoria_del_monte_allegro_45.7774_8.7992.json,custom
45.777658,8.798021,ov_torretta_pizza_45.7777_8.7980,Torretta Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/torretta_pizza_45.7777_8.7980.json,custom
45.778099,8.798071,ov_pizza_top_45.7781_8.7981,Pizza Top,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/pizza_top_45.7781_8.7981.json,custom
45.778656,8.797683,ov_panbreak_rabuffetti_45.7787_8.7977,PanBreak Rabuffetti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/panbreak_rabuffetti_45.7787_8.7977.json,custom
45.788560,8.783780,ov_i_sette_laghi_45.7886_8.7838,I sette laghi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/i_sette_laghi_45.7886_8.7838.json,custom
45.781488,8.794996,ov_l_apetit_45.7815_8.7950,L'Apetit,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/lapetit_45.7815_8.7950.json,custom
45.776970,8.795384,ov_bar_della_pesa_45.7770_8.7954,Bar della Pesa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/bar_della_pesa_45.7770_8.7954.json,custom
45.776943,8.794661,ov_bar_pasticceria_albini_45.7769_8.7947,BAR Pasticceria Albini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/bar_pasticceria_albini_45.7769_8.7947.json,custom
45.774535,8.790015,ov_pasticceria_camili_45.7745_8.7900,Pasticceria Camili,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/azzate/pages/pasticceria_camili_45.7745_8.7900.json,custom
