# lat,lng,citta,slug,ospedali,ristoranti,bar_cafe,palestre,monumenti
45.749271,12.278981,31050 Villorba (TV),31050_villorba_tv,0,1,0,0,0
45.316669,11.825665,35020 Carrara S. Giorgio (PD),35020_carrara_s_giorgio_pd,0,1,0,0,0
45.448874,11.845137,35100 Padova,35100_padova,0,3,0,0,0
45.289799,11.181076,37050 Isola Rizza (VR),37050_isola_rizza_vr,0,1,0,0,0
45.370134,11.790409,Abano,abano,0,1,0,0,0
45.355478,11.785110,Abano Terme,abano_terme,4,70,45,24,2
46.754604,12.524049,Abfaltersbach,abfaltersbach,0,3,1,0,0
45.050791,12.058249,Adria,adria,5,42,37,16,4
45.552702,10.783164,Affi,affi,0,24,24,3,0
45.170640,11.959903,Agna,agna,0,3,7,1,0
45.192679,11.954680,AGNA (PD),agna_pd,0,0,0,1,0
46.284330,12.033102,Agordo,agordo,2,9,17,6,0
45.328365,11.579332,Agugliaro,agugliaro,0,8,1,0,0
46.877547,12.684327,Ainet,ainet,0,8,1,0,0
45.666980,12.011944,Albaredo,albaredo,0,1,0,0,0
45.312311,11.277314,Albaredo d'Adige,albaredo_dadige,0,9,11,4,0
45.346949,12.326329,Alberoni,alberoni,0,1,0,0,0
45.361776,11.593924,Albettone,albettone,0,7,2,1,0
45.356484,11.862310,Albignasego,albignasego,3,55,37,19,0
46.413132,12.020600,Alleghe,alleghe,0,12,12,3,0
45.338521,11.403256,Alonte,alonte,1,4,0,1,1
46.123280,12.357635,Alpago,alpago,0,29,18,5,0
45.373795,10.921114,Alpo,alpo,0,3,2,0,0
45.513542,11.471362,Altavilla Vicentina,altavilla_vicentina,0,50,19,9,0
45.605169,11.248207,Altissimo,altissimo,0,9,4,0,0
45.751725,11.938953,Altivole,altivole,0,16,9,3,1
45.140360,11.889620,Anguillara Veneta,anguillara_veneta,0,7,6,0,0
45.784042,12.690914,Annone Veneto,annone_veneto,0,8,9,0,0
46.771749,12.577126,Anras,anras,0,0,0,0,1
46.498468,11.877457,Arabba,arabba,0,3,1,0,0
45.492525,10.940866,Arbizzano,arbizzano,0,2,1,0,0
45.785908,12.220931,Arcade,arcade,0,8,5,1,0
45.385182,11.319688,Arcole,arcole,0,12,4,3,1
