# lat,lng,id,name,building_type,type,url,page_type
# ventotene -- Tutti
40.795295,13.427803,ov_poliambulatorio_ventotene_40.7953_13.4278,Poliambulatorio Ventotene,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/poliambulatorio_ventotene_40.7953_13.4278.json,custom
40.795562,13.431472,ov_mast_aniello_40.7956_13.4315,Mast'Aniello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/mastaniello_40.7956_13.4315.json,custom
40.796192,13.432785,ov_ristorante_l_aragosta_40.7962_13.4328,Ristorante L'Aragosta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/ristorante_laragosta_40.7962_13.4328.json,custom
40.796738,13.431343,ov_ristorante_il_giardino_40.7967_13.4313,Ristorante Il Giardino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/ristorante_il_giardino_40.7967_13.4313.json,custom
40.796224,13.432017,ov_da_verde_40.7962_13.4320,Da Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/da_verde_40.7962_13.4320.json,custom
40.796127,13.432489,ov_la_terrazza_di_mimi_40.7961_13.4325,La Terrazza di Mimi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/la_terrazza_di_mimi_40.7961_13.4325.json,custom
40.796951,13.427658,ov_agriturismo_parata_grande_40.7970_13.4277,Agriturismo Parata Grande,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/agriturismo_parata_grande_40.7970_13.4277.json,custom
40.797611,13.432346,ov_boh_ventotene_40.7976_13.4323,Boh.Ventotene,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/bohventotene_40.7976_13.4323.json,custom
40.797750,13.432375,ov_muraglione_44_40.7978_13.4324,Muraglione 44,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/muraglione_44_40.7978_13.4324.json,custom
40.798814,13.430282,ov_marisqueria___ristorante__pizzeria_40.7988_13.4303,"Marisqueria - Ristorante, Pizzeria",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/marisqueria_-_ristorante_pizzeria_40.7988_13.4303.json,custom
40.798133,13.433208,ov_la_lampara_40.7981_13.4332,La lampara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ventotene/pages/la_lampara_40.7981_13.4332.json,custom
