# lat,lng,id,name,building_type,type,url,page_type
# mondragone -- Tutti
41.126592,13.867269,ov_messieurs_trinchetto_41.1266_13.8673,Messieurs Trinchetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/messieurs_trinchetto_41.1266_13.8673.json,custom
41.125899,13.867442,ov_lido_blu_box_41.1259_13.8674,Lido Blu Box,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/lido_blu_box_41.1259_13.8674.json,custom
41.121664,13.871952,ov_ristorante_vico_dei_miracoli_41.1217_13.8720,Ristorante Vico dei Miracoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/ristorante_vico_dei_miracoli_41.1217_13.8720.json,custom
41.120920,13.873170,ov_club_insieme_41.1209_13.8732,Club Insieme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/club_insieme_41.1209_13.8732.json,custom
41.120071,13.874003,ov_l_angolo_del_pollo_girarrosto_41.1201_13.8740,L'Angolo Del Pollo Girarrosto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/langolo_del_pollo_girarrosto_41.1201_13.8740.json,custom
41.117224,13.877539,ov_mr__chicken_41.1172_13.8775,Mr. Chicken,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/mr_chicken_41.1172_13.8775.json,custom
41.117919,13.876713,ov_92_grammi_di_alfiero_francesco_41.1179_13.8767,92 Grammi di Alfiero Francesco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/92_grammi_di_alfiero_francesco_41.1179_13.8767.json,custom
41.118314,13.875704,ov_cucina_casareccia_a_modo_mio_41.1183_13.8757,Cucina Casareccia A Modo Mio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/cucina_casareccia_a_modo_mio_41.1183_13.8757.json,custom
41.115757,13.879323,ov_splendid_park_41.1158_13.8793,Splendid Park,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/splendid_park_41.1158_13.8793.json,custom
41.115727,13.879652,ov_pizza_express_41.1157_13.8797,Pizza Express,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/pizza_express_41.1157_13.8797.json,custom
41.115691,13.879814,ov_d_autore_41.1157_13.8798,D'Autore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/dautore_41.1157_13.8798.json,custom
41.115421,13.879785,ov_zi_mariuccia_41.1154_13.8798,Zi Mariuccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/zi_mariuccia_41.1154_13.8798.json,custom
41.114478,13.879697,ov_miniciottolo_a_mare_41.1145_13.8797,Miniciottolo a Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/miniciottolo_a_mare_41.1145_13.8797.json,custom
41.114241,13.879489,ov_hamburgeria_92_grammi_41.1142_13.8795,Hamburgeria 92 grammi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/hamburgeria_92_grammi_41.1142_13.8795.json,custom
41.114382,13.877397,ov_pizzeria_green_garden_by_capone_41.1144_13.8774,Pizzeria Green Garden by Capone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/pizzeria_green_garden_by_capone_41.1144_13.8774.json,custom
