# lat,lng,id,name,building_type,type
# Tramutola -- Tutti
40.349802,15.809984,ov_centro_tavolaro_s_r_l__40.3498_15.8100,Centro Tavolaro S.R.L.,HOSPITAL,hospital
40.316822,15.788672,ov_levat__o_sfizio_40.3168_15.7887,Levat' o sfizio,RESTAURANT,ristorante
40.356603,15.827008,ov_mangiamivilladagri_40.3566_15.8270,mangiamivilladagri,RESTAURANT,ristorante
40.316659,15.788866,ov_bar_arturo_di_todisco_elena_40.3167_15.7889,Bar Arturo Di Todisco Elena,RESTAURANT,bar_cafe
40.542010,15.564320,ov_bar_san_vito_40.5420_15.5643,Bar San Vito,RESTAURANT,bar_cafe
