# lat,lng,id,name,building_type,type,url,page_type
# atena_lucana -- Tutti
40.454393,15.552024,ov_studi_medici_odontoiatrici_associati_di__40.4544_15.5520,Studi Medici Odontoiatrici Associati Di Santi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/studi_medici_odontoiatrici_associati_di__40.4544_15.5520.json,custom
40.434742,15.549247,ov_ristorante_kashima_40.4347_15.5492,Ristorante Kashima,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/ristorante_kashima_40.4347_15.5492.json,custom
40.435878,15.552802,ov_distributore_di_materiale_elettrico___so_40.4359_15.5528,Distributore di materiale elettrico - Sonepar - Atena Lucana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/distributore_di_materiale_elettrico_-_so_40.4359_15.5528.json,custom
40.449441,15.544285,ov_il_ritrovo_40.4494_15.5443,Il Ritrovo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/il_ritrovo_40.4494_15.5443.json,custom
40.448351,15.548851,ov_la_locanda_degli_apolidi_40.4484_15.5489,La Locanda Degli Apolidi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/la_locanda_degli_apolidi_40.4484_15.5489.json,custom
40.449303,15.549834,ov_locanda_san_cipriano_40.4493_15.5498,Locanda San Cipriano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/locanda_san_cipriano_40.4493_15.5498.json,custom
40.449370,15.549858,ov__________40.4494_15.5499,アテナ・ルカーナ,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/_40.4494_15.5499.json,custom
40.481101,15.530650,ov_borgo_lucano_40.4811_15.5307,Borgo Lucano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/borgo_lucano_40.4811_15.5307.json,custom
40.469296,15.536598,ov_jamm_a_do_cono_40.4693_15.5366,Jamm'a do Cono,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/jamma_do_cono_40.4693_15.5366.json,custom
40.467452,15.537206,ov_bar_monique_40.4675_15.5372,Bar Monique,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/bar_monique_40.4675_15.5372.json,custom
40.467010,15.537000,ov_corraro_s_family_wine_bar_pizzeria_risto_40.4670_15.5370,Corraro’s family wine bar pizzeria ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/corraros_family_wine_bar_pizzeria_ristor_40.4670_15.5370.json,custom
40.471340,15.562965,ov_domus_otium_40.4713_15.5630,Domus Otium,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/domus_otium_40.4713_15.5630.json,custom
40.465165,15.538352,ov_pastamania_40.4652_15.5384,Pastamania,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/pastamania_40.4652_15.5384.json,custom
40.458334,15.541827,ov_la_casetta_40.4583_15.5418,La Casetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/la_casetta_40.4583_15.5418.json,custom
40.454303,15.552857,ov_da_luciano_40.4543_15.5529,Da Luciano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/da_luciano_40.4543_15.5529.json,custom
40.454128,15.555651,ov_caffe_del_viale_40.4541_15.5557,Caffe del Viale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/caffe_del_viale_40.4541_15.5557.json,custom
40.434531,15.549175,ov_caff__85_40.4345_15.5492,Caffè 85,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/caff_85_40.4345_15.5492.json,custom
40.437783,15.551604,ov_cat_s_eye_caf__40.4378_15.5516,Cat's Eye Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/cats_eye_caf_40.4378_15.5516.json,custom
40.436324,15.552506,ov_green_bar_atena_lucana_scalo_40.4363_15.5525,green bar atena lucana scalo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/green_bar_atena_lucana_scalo_40.4363_15.5525.json,custom
40.444867,15.547655,ov_iqos_partner___cafe__victor_di_gentile_r_40.4449_15.5477,IQOS PARTNER - Cafe' Victor di Gentile Renzo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/iqos_partner_-_cafe_victor_di_gentile_re_40.4449_15.5477.json,custom
40.441775,15.550037,ov_bar_ricevitoria_la_moneta_40.4418_15.5500,Bar Ricevitoria La Moneta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/bar_ricevitoria_la_moneta_40.4418_15.5500.json,custom
40.449230,15.544619,ov_bar_accaventiquattro__atena__40.4492_15.5446,Bar AccaventiQuattro. Atena.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/bar_accaventiquattro_atena_40.4492_15.5446.json,custom
40.455775,15.528375,ov_m_bar_amodio_official_40.4558_15.5284,M BAR Amodio Official,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/m_bar_amodio_official_40.4558_15.5284.json,custom
40.543207,15.642451,ov_caf__victor_40.5432_15.6425,Cafè Victor,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/caf_victor_40.5432_15.6425.json,custom
40.456950,15.542381,ov_green_bar_tavola_calda_40.4569_15.5424,Green Bar Tavola Calda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/green_bar_tavola_calda_40.4569_15.5424.json,custom
40.455626,15.538868,ov_caf__new_age_40.4556_15.5389,Cafè New Age,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/caf_new_age_40.4556_15.5389.json,custom
40.454779,15.537665,ov_giu_co_s_bar___atena_lucana_40.4548_15.5377,Giu.Co's BAR - Atena Lucana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/giucos_bar_-_atena_lucana_40.4548_15.5377.json,custom
40.454281,15.553568,ov_ciorciari_michele_bar_memis_40.4543_15.5536,Ciorciari Michele bar Memis,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/ciorciari_michele_bar_memis_40.4543_15.5536.json,custom
40.454218,15.554433,ov_albergo_bar_tabacchi_trieste_1963_40.4542_15.5544,Albergo Bar Tabacchi Trieste 1963,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/albergo_bar_tabacchi_trieste_1963_40.4542_15.5544.json,custom
40.454200,15.555060,ov_caffelle_40.4542_15.5551,Caffelle,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/caffelle_40.4542_15.5551.json,custom
40.446977,15.541865,ov_kodokan_40.4470_15.5419,Kodokan,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/kodokan_40.4470_15.5419.json,custom
40.460002,15.549699,ov_falesia_atena_lucana_40.4600_15.5497,Falesia Atena Lucana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/falesia_atena_lucana_40.4600_15.5497.json,custom
40.460104,15.535268,ov_bowling_athena_40.4601_15.5353,Bowling Athena,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/bowling_athena_40.4601_15.5353.json,custom
40.454577,15.551339,ov_museo_comunale_40.4546_15.5513,Museo Comunale,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/museo_comunale_40.4546_15.5513.json,custom
40.433781,15.486775,ov_blue_planet_40.4338_15.4868,Blue Planet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/blue_planet_40.4338_15.4868.json,custom
40.470864,15.482941,ov_pizza_pazza_in_piazza_40.4709_15.4829,Pizza Pazza in Piazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atena_lucana/pages/pizza_pazza_in_piazza_40.4709_15.4829.json,custom
