# lat,lng,id,name,building_type,type,url,page_type
# castenedolo -- Tutti
45.478642,10.282071,ov_vitasol_45.4786_10.2821,Vitasol,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/vitasol_45.4786_10.2821.json,custom
45.420828,10.281917,ov_ok_pizza_castenedolo_45.4208_10.2819,Ok pizza Castenedolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/ok_pizza_castenedolo_45.4208_10.2819.json,custom
45.456068,10.322904,ov_burger_king_45.4561_10.3229,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/burger_king_45.4561_10.3229.json,custom
45.461313,10.298096,ov_bar_trattoria_ai_tre_castagni_45.4613_10.2981,Bar Trattoria Ai Tre Castagni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/bar_trattoria_ai_tre_castagni_45.4613_10.2981.json,custom
45.464302,10.301534,ov_bar_bocciodromo_45.4643_10.3015,Bar Bocciodromo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/bar_bocciodromo_45.4643_10.3015.json,custom
45.469239,10.301291,ov_ristorante_matteotti_45.4692_10.3013,Ristorante Matteotti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/ristorante_matteotti_45.4692_10.3013.json,custom
45.470532,10.315719,ov_la_palazzina_45.4705_10.3157,La Palazzina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/la_palazzina_45.4705_10.3157.json,custom
45.471439,10.297892,ov_ok_pizza_di_tahoun_nader_45.4714_10.2979,Ok Pizza Di Tahoun Nader,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/ok_pizza_di_tahoun_nader_45.4714_10.2979.json,custom
45.470076,10.299781,ov_la_rustica_45.4701_10.2998,La Rustica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/la_rustica_45.4701_10.2998.json,custom
45.467486,10.276414,ov_agriturismo_antico_querceto_45.4675_10.2764,Agriturismo Antico Querceto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/agriturismo_antico_querceto_45.4675_10.2764.json,custom
45.469745,10.287759,ov_il_giardino_45.4697_10.2878,Il Giardino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/il_giardino_45.4697_10.2878.json,custom
45.478752,10.286686,ov_ristorazione_costanzi_45.4788_10.2867,Ristorazione Costanzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/ristorazione_costanzi_45.4788_10.2867.json,custom
45.481246,10.284721,ov_over__pizzaioli_musicanti_45.4812_10.2847,Overè Pizzaioli Musicanti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/over_pizzaioli_musicanti_45.4812_10.2847.json,custom
45.476456,10.308502,ov_la_dispensa_di_giorgio_45.4765_10.3085,La Dispensa di Giorgio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castenedolo/pages/la_dispensa_di_giorgio_45.4765_10.3085.json,custom
