# lat,lng,id,name,building_type,type,url,page_type
# Sansepolcro -- Tutti
43.573011,12.138122,ov_orsoghiotto_piadineria_43.5730_12.1381,Orsoghiotto Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/orsoghiotto_piadineria_43.5730_12.1381.json,custom
43.573415,12.139098,ov_da_quei_citti_sansepolcro_43.5734_12.1391,Da Quei Citti Sansepolcro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/da_quei_citti_sansepolcro_43.5734_12.1391.json,custom
43.573121,12.134480,ov_diciannove_di_luca_gasparri_43.5731_12.1345,Diciannove di Luca Gasparri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/diciannove_di_luca_gasparri_43.5731_12.1345.json,custom
43.572897,12.136885,ov_misericordia_sansepolcro_onoranze_funebr_43.5729_12.1369,Misericordia Sansepolcro Onoranze Funebri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/misericordia_sansepolcro_onoranze_funebr_43.5729_12.1369.json,custom
43.572763,12.137050,ov_ristorante_da_beppino_43.5728_12.1371,Ristorante da Beppino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/ristorante_da_beppino_43.5728_12.1371.json,custom
43.572448,12.135244,ov_alimentari_il_portico_43.5724_12.1352,Alimentari Il Portico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/alimentari_il_portico_43.5724_12.1352.json,custom
43.571580,12.130293,ov_acqua___sapone_43.5716_12.1303,Acqua & Sapone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/acqua_sapone_43.5716_12.1303.json,custom
43.570653,12.126400,ov_ristorante_il_borghetto_43.5707_12.1264,Ristorante Il Borghetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/ristorante_il_borghetto_43.5707_12.1264.json,custom
43.570663,12.136225,ov_il_segreto_di_pulcinella_43.5707_12.1362,Il Segreto di Pulcinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/il_segreto_di_pulcinella_43.5707_12.1362.json,custom
43.570713,12.140582,ov_kcafe__43.5707_12.1406,Kcafe',RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/kcafe_43.5707_12.1406.json,custom
43.570448,12.142339,ov_le_capre_matte_43.5704_12.1423,Le Capre Matte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/le_capre_matte_43.5704_12.1423.json,custom
43.570350,12.144039,ov_ristorante_al_coccio_43.5704_12.1440,Ristorante Al Coccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/ristorante_al_coccio_43.5704_12.1440.json,custom
43.570786,12.142568,ov_ristorantino_mad__43.5708_12.1426,Ristorantino Madú,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/ristorantino_mad_43.5708_12.1426.json,custom
43.570808,12.142786,ov_osteria_dei_poeti_43.5708_12.1428,Osteria Dei Poeti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/osteria_dei_poeti_43.5708_12.1428.json,custom
43.570879,12.143304,ov_osteria_il_giardino_di_piero_43.5709_12.1433,Osteria Il Giardino di Piero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/osteria_il_giardino_di_piero_43.5709_12.1433.json,custom
43.571151,12.139522,ov_enoteca___locanda_guidi_43.5712_12.1395,Enoteca & Locanda Guidi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/enoteca_locanda_guidi_43.5712_12.1395.json,custom
43.571266,12.139669,ov_trattoria_dai_brinzelloni_43.5713_12.1397,Trattoria dai Brinzelloni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sansepolcro/pages/trattoria_dai_brinzelloni_43.5713_12.1397.json,custom
