# lat,lng,id,name,building_type,type,url,page_type
# trevi -- Tutti
42.878398,12.749311,ov_centro_di_riabilitazione_trevi_42.8784_12.7493,Centro di Riabilitazione Trevi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/centro_di_riabilitazione_trevi_42.8784_12.7493.json,custom
42.866980,12.714530,ov_home_restaurant_marina_42.8670_12.7145,Home Restaurant Marina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/home_restaurant_marina_42.8670_12.7145.json,custom
42.903011,12.706698,ov_villa_ica_42.9030_12.7067,Villa Ica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/villa_ica_42.9030_12.7067.json,custom
42.907088,12.700675,ov_casale_sul_clitunno___agriturismo_42.9071_12.7007,Casale Sul Clitunno - Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/casale_sul_clitunno_-_agriturismo_42.9071_12.7007.json,custom
42.910276,12.731016,ov_trevi_bastia_42.9103_12.7310,TREVI BASTIA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/trevi_bastia_42.9103_12.7310.json,custom
42.910150,12.731612,ov_con_sapore_cucina___caffetteria_42.9101_12.7316,Con Sapore Cucina & Caffetteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/con_sapore_cucina_caffetteria_42.9101_12.7316.json,custom
42.904869,12.729693,ov_publito_42.9049_12.7297,Publito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/publito_42.9049_12.7297.json,custom
42.897978,12.742984,ov_albergo_il_borgo_dell_ulivo_42.8980_12.7430,Albergo Il Borgo Dell'Ulivo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/albergo_il_borgo_dellulivo_42.8980_12.7430.json,custom
42.895976,12.734423,ov_la_lumacheria_42.8960_12.7344,La Lumacheria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/la_lumacheria_42.8960_12.7344.json,custom
42.892293,12.727678,ov_scacco_matto_2_0_42.8923_12.7277,Scacco Matto 2.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/scacco_matto_20_42.8923_12.7277.json,custom
42.888916,12.729296,ov_pizzeria_pietrarossa_42.8889_12.7293,Pizzeria Pietrarossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/pizzeria_pietrarossa_42.8889_12.7293.json,custom
42.886778,12.744238,ov_la_cucina_di_san_pietro_a_pettine_42.8868_12.7442,La Cucina di San Pietro a Pettine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/la_cucina_di_san_pietro_a_pettine_42.8868_12.7442.json,custom
42.884340,12.734156,ov_pizzeria_la_cerquetta_42.8843_12.7342,Pizzeria La Cerquetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/pizzeria_la_cerquetta_42.8843_12.7342.json,custom
42.880584,12.730135,ov_ploom_store_sedano_nero_ristorante_42.8806_12.7301,Ploom store-Sedano Nero Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/ploom_store-sedano_nero_ristorante_42.8806_12.7301.json,custom
42.877663,12.737567,ov_da_pippo_pizzeria_42.8777_12.7376,Da Pippo Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/da_pippo_pizzeria_42.8777_12.7376.json,custom
42.874551,12.737824,ov_bar_ristorante_albania_42.8746_12.7378,Bar-Ristorante Albania,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/bar-ristorante_albania_42.8746_12.7378.json,custom
42.877820,12.748078,ov_pizzeria_la_casareccia_42.8778_12.7481,Pizzeria La Casareccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/pizzeria_la_casareccia_42.8778_12.7481.json,custom
42.878104,12.747304,ov_ristorante_maggiolini_42.8781_12.7473,Ristorante Maggiolini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/trevi/pages/ristorante_maggiolini_42.8781_12.7473.json,custom
