# lat,lng,id,name,building_type,type,url,page_type
# Sogliano al Rubicone -- Tutti
43.994461,12.290505,ov_santa_caterina_poliambulatorio_di_soglia_43.9945_12.2905,Santa Caterina Poliambulatorio di Sogliano al Rubicone,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sogliano_al_rubicone/pages/santa_caterina_poliambulatorio_di_soglia_43.9945_12.2905.json,custom
43.925573,12.192922,ov_cerro_di_montepetra_agriturismo_43.9256_12.1929,Cerro di Montepetra Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sogliano_al_rubicone/pages/cerro_di_montepetra_agriturismo_43.9256_12.1929.json,custom
43.928525,12.173841,ov_i_trabocchi_43.9285_12.1738,I Trabocchi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sogliano_al_rubicone/pages/i_trabocchi_43.9285_12.1738.json,custom
43.933359,12.177616,ov_ristorante_pizzeria_la_pieda_43.9334_12.1776,Ristorante Pizzeria La Pieda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sogliano_al_rubicone/pages/ristorante_pizzeria_la_pieda_43.9334_12.1776.json,custom
43.934499,12.178951,ov_la_pieda_43.9345_12.1790,La Pieda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sogliano_al_rubicone/pages/la_pieda_43.9345_12.1790.json,custom
43.938668,12.183967,ov_piadine_pundor_e_giuly_43.9387_12.1840,Piadine Pundor e Giuly,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sogliano_al_rubicone/pages/piadine_pundor_e_giuly_43.9387_12.1840.json,custom
43.997829,12.296530,ov_gastronomia_da_cristina_di_bertozzi_eleo_43.9978_12.2965,Gastronomia da Cristina di Bertozzi Eleonora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sogliano_al_rubicone/pages/gastronomia_da_cristina_di_bertozzi_eleo_43.9978_12.2965.json,custom
43.993086,12.274136,ov_ristorante_la_gallia_43.9931_12.2741,Ristorante La Gallia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sogliano_al_rubicone/pages/ristorante_la_gallia_43.9931_12.2741.json,custom
43.964637,12.263534,ov_agriturismo_le_querce_antiche_43.9646_12.2635,Agriturismo Le Querce Antiche,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sogliano_al_rubicone/pages/agriturismo_le_querce_antiche_43.9646_12.2635.json,custom
43.964469,12.284808,ov_farmhouse_la_rocca_43.9645_12.2848,Farmhouse La Rocca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sogliano_al_rubicone/pages/farmhouse_la_rocca_43.9645_12.2848.json,custom
43.933382,12.177449,osm_ristorante_pizzeria_la_pieda_43.9334_12.1774,Ristorante Pizzeria La Pieda,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sogliano_al_rubicone/pages/ristorante_pizzeria_la_pieda_43.9334_12.1774.json,custom
43.954540,12.230235,ov_bar_trattoria_dalla_naty_43.9545_12.2302,Bar Trattoria dalla Naty,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sogliano_al_rubicone/pages/bar_trattoria_dalla_naty_43.9545_12.2302.json,custom
43.978338,12.244891,ov_trail_rubicone___montegelli_43.9783_12.2449,Trail Rubicone - Montegelli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sogliano_al_rubicone/pages/trail_rubicone_-_montegelli_43.9783_12.2449.json,custom
43.996380,12.300520,ov_osservatorio_astronomico_ca__poggio_43.9964_12.3005,Osservatorio Astronomico Ca' Poggio,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/sogliano_al_rubicone/pages/osservatorio_astronomico_ca_poggio_43.9964_12.3005.json,custom
