# lat,lng,id,name,building_type,type,url,page_type
# Brucei/Burcei -- Tutti
39.346596,9.385428,ov_sa_dom_e_malloru_39.3466_9.3854,Sa Dom'e Malloru,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/bruceiburcei/pages/sa_dome_malloru_39.3466_9.3854.json,custom
39.345656,9.360851,osm_il_nostro_bar_39.3457_9.3609,IL NOSTRO BAR,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/bruceiburcei/pages/il_nostro_bar_39.3457_9.3609.json,custom
39.343675,9.360297,osm_caffe__burcei_39.3437_9.3603,Caffe' Burcei,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/bruceiburcei/pages/caffe_burcei_39.3437_9.3603.json,custom
