# lat,lng,id,name,building_type,type,url,page_type
# Longare -- Tutti
45.481355,11.605088,ov_progetto_salute_45.4814_11.6051,Progetto Salute,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longare/pages/progetto_salute_45.4814_11.6051.json,custom
45.460009,11.586948,ov_ai_lumi_hosteria_ristorante_45.4600_11.5869,Ai Lumi Hosteria Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longare/pages/ai_lumi_hosteria_ristorante_45.4600_11.5869.json,custom
45.470728,11.601855,ov_al_volto_45.4707_11.6019,Al Volto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longare/pages/al_volto_45.4707_11.6019.json,custom
45.471649,11.603227,ov_la_botte_del_covolo_45.4716_11.6032,La Botte del Covolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longare/pages/la_botte_del_covolo_45.4716_11.6032.json,custom
45.482285,11.614438,ov_la_corte_dei_ciliegi_45.4823_11.6144,La Corte dei Ciliegi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longare/pages/la_corte_dei_ciliegi_45.4823_11.6144.json,custom
45.487172,11.600491,ov_locanda_penaceto_45.4872_11.6005,Locanda Penaceto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longare/pages/locanda_penaceto_45.4872_11.6005.json,custom
45.478595,11.609284,ov_le_4_stagioni_45.4786_11.6093,Le 4 Stagioni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longare/pages/le_4_stagioni_45.4786_11.6093.json,custom
45.481378,11.613923,ov_trattoria_al_pergolino_45.4814_11.6139,Trattoria al Pergolino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longare/pages/trattoria_al_pergolino_45.4814_11.6139.json,custom
45.477775,11.609689,ov_vicentina_45.4778_11.6097,Vicentina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longare/pages/vicentina_45.4778_11.6097.json,custom
45.493342,11.631765,ov_trattoria_tonello_45.4933_11.6318,Trattoria Tonello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longare/pages/trattoria_tonello_45.4933_11.6318.json,custom
45.454820,11.603738,ov_albachiara_gasoline_45.4548_11.6037,Albachiara Gasoline,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longare/pages/albachiara_gasoline_45.4548_11.6037.json,custom
45.457368,11.604200,ov_giornale_e_caff__45.4574_11.6042,Giornale e Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longare/pages/giornale_e_caff_45.4574_11.6042.json,custom
45.457545,11.603991,ov_sophie_bar_45.4575_11.6040,Sophie Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longare/pages/sophie_bar_45.4575_11.6040.json,custom
45.460179,11.589091,ov_barcollando_rock_45.4602_11.5891,Barcollando Rock,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longare/pages/barcollando_rock_45.4602_11.5891.json,custom
45.461413,11.589070,ov_bar_fantasj_45.4614_11.5891,Bar Fantasj,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longare/pages/bar_fantasj_45.4614_11.5891.json,custom
45.471176,11.610282,ov_qub__caf____bistrot_45.4712_11.6103,Qubì Café & Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longare/pages/qub_caf_bistrot_45.4712_11.6103.json,custom
45.471125,11.602540,ov_bar_enoteca_ca__d_oro_45.4711_11.6025,Bar Enoteca Ca' d'Oro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longare/pages/bar_enoteca_ca_doro_45.4711_11.6025.json,custom
45.483394,11.619278,ov_patapuffete__nido_in_famiglia_longare_45.4834_11.6193,Patapuffete- Nido in Famiglia Longare,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longare/pages/patapuffete-_nido_in_famiglia_longare_45.4834_11.6193.json,custom
45.482143,11.615147,ov_pasticceria_orchidea_45.4821_11.6151,Pasticceria Orchidea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longare/pages/pasticceria_orchidea_45.4821_11.6151.json,custom
45.480167,11.606969,ov_bar_luna_45.4802_11.6070,Bar luna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longare/pages/bar_luna_45.4802_11.6070.json,custom
