# lat,lng,id,name,building_type,type,url,page_type
# acquaviva -- Tutti
43.945809,12.428343,ov_domus_medica_43.9458_12.4283,Domus Medica,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/acquaviva/pages/domus_medica_43.9458_12.4283.json,custom
43.956776,12.405206,ov_la_piada_dell_angela_43.9568_12.4052,La Piada dell'Angela,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/acquaviva/pages/la_piada_dellangela_43.9568_12.4052.json,custom
43.955003,12.404495,ov_rue_de_l_op_ra_43.9550_12.4045,Rue de l'Opéra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/acquaviva/pages/rue_de_lopra_43.9550_12.4045.json,custom
43.954890,12.404614,ov_visionbar_43.9549_12.4046,VisionBar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/acquaviva/pages/visionbar_43.9549_12.4046.json,custom
43.954069,12.405544,ov_bar_ristorante_marico_43.9541_12.4055,Bar Ristorante Marico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/acquaviva/pages/bar_ristorante_marico_43.9541_12.4055.json,custom
43.953125,12.406566,ov_hotel_rio_re_43.9531_12.4066,Hotel Rio Re,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/acquaviva/pages/hotel_rio_re_43.9531_12.4066.json,custom
43.952162,12.404457,ov_bar_restaurant_italo_43.9522_12.4045,Bar Restaurant Italo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/acquaviva/pages/bar_restaurant_italo_43.9522_12.4045.json,custom
43.944020,12.406010,ov_bar_ristorante_da_ital_43.9440_12.4060,Bar Ristorante da Ital,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/acquaviva/pages/bar_ristorante_da_ital_43.9440_12.4060.json,custom
43.941352,12.429628,ov_ristorante_parco_verde_43.9414_12.4296,Ristorante Parco Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/acquaviva/pages/ristorante_parco_verde_43.9414_12.4296.json,custom
43.945878,12.420354,ov_bar_edicola_tabacchi_pizzeria_montecerre_43.9459_12.4204,Bar Edicola Tabacchi Pizzeria Montecerreto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/acquaviva/pages/bar_edicola_tabacchi_pizzeria_montecerre_43.9459_12.4204.json,custom
43.946880,12.426452,ov_fabrika_136_43.9469_12.4265,Fabrika 136,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/acquaviva/pages/fabrika_136_43.9469_12.4265.json,custom
43.930740,12.417510,ov_leagel_ingredienti_per_gelateria_e_pasti_43.9307_12.4175,Leagel Ingredienti per Gelateria e Pasticceria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/acquaviva/pages/leagel_ingredienti_per_gelateria_e_pasti_43.9307_12.4175.json,custom
43.946291,12.455108,ov_associazione_yoga_sun_43.9463_12.4551,Associazione Yoga Sun,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/acquaviva/pages/associazione_yoga_sun_43.9463_12.4551.json,custom
43.946785,12.424891,ov_federazione_sammarinese_tiro_a_segno_43.9468_12.4249,Federazione Sammarinese Tiro a Segno,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/acquaviva/pages/federazione_sammarinese_tiro_a_segno_43.9468_12.4249.json,custom
43.946654,12.424829,ov_poligono_san_marino_43.9467_12.4248,Poligono San Marino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/acquaviva/pages/poligono_san_marino_43.9467_12.4248.json,custom
43.945966,12.409947,ov_palestra_di_acquaviva_43.9460_12.4099,Palestra di Acquaviva,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/acquaviva/pages/palestra_di_acquaviva_43.9460_12.4099.json,custom
43.950830,12.407215,ov_associazione_yoga_e_zen_43.9508_12.4072,Associazione Yoga e Zen,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/acquaviva/pages/associazione_yoga_e_zen_43.9508_12.4072.json,custom
43.952200,12.405129,osm_ufficio_postale_acquaviva_43.9522_12.4051,Ufficio Postale Acquaviva,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/acquaviva/pages/ufficio_postale_acquaviva_43.9522_12.4051.json,custom
42.163817,12.742959,osm_il_giardino_42.1638_12.7430,Il Giardino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/acquaviva/pages/il_giardino_42.1638_12.7430.json,custom
