# lat,lng,id,name,building_type,type
# Huntix Restaurants Database - Ristoranti e pizzerie
# Formato: lat,lng,id,name,building_type,type
41.8930,12.4830,poi_roma_rest_armando,Armando al Pantheon,restaurant,ristorante
41.9020,12.4750,poi_roma_rest_rossi,Rossi Ristorante,restaurant,ristorante
41.8970,12.4900,poi_roma_pizz_da_michele,Da Michele Pizzeria,pizzeria,pizzeria
41.8800,12.5000,poi_roma_rest_testaccio,Trattoria Testaccio,restaurant,ristorante
41.9150,12.4680,poi_roma_rest_prati,Osteria del Prati,restaurant,ristorante
45.4670,9.1890,poi_milano_rest_brera,Ristorante Brera,restaurant,ristorante
45.4600,9.1800,poi_milano_pizz_margherita,Pizzeria Margherita,pizzeria,pizzeria
45.4530,9.1950,poi_milano_rest_navigli,Trattoria Navigli,restaurant,ristorante
40.8500,14.2560,poi_napoli_pizz_sorbillo,Sorbillo,pizzeria,pizzeria
40.8450,14.2510,poi_napoli_rest_mimì,Trattoria da Mimì,restaurant,ristorante
45.0700,7.6850,poi_torino_rest_san_salvario,Locanda San Salvario,restaurant,ristorante
43.7740,11.2530,poi_firenze_rest_trattoria,Trattoria Mario,restaurant,ristorante
44.4955,11.3435,poi_bologna_rest_osteria,Osteria dell'Orsa,restaurant,ristorante
38.1140,13.3590,poi_palermo_rest_casalino,Casalino,restaurant,ristorante
37.5070,15.0840,poi_catania_pizz_ferrara,Ferrara Pizzeria,pizzeria,pizzeria
