# lat,lng,id,name,building_type,type
# Huntix Gyms Database - Palestre e strutture sportive
# Formato: lat,lng,id,name,building_type,type
41.9045,12.4883,poi_roma_gym_colosseo,Colosseo Fitness,gym,palestra
41.9210,12.4730,poi_roma_gym_parioli,Palestra Parioli,gym,palestra
41.8850,12.4970,poi_roma_gym_san_giovanni,Gym San Giovanni,gym,palestra
41.9350,12.4610,poi_roma_gym_monteverde,Fitness Monteverde,gym,palestra
41.8760,12.5100,poi_roma_gym_appio,Arena Appio,gym,palestra
45.4700,9.1950,poi_milano_gym_duomo,CrossFit Duomo,gym,palestra
45.4600,9.1780,poi_milano_gym_navigli,Power Box Navigli,gym,palestra
45.4820,9.2100,poi_milano_gym_lambrate,FitCenter Lambrate,gym,palestra
45.4550,9.1650,poi_milano_gym_brera,Brera Training,gym,palestra
40.8520,14.2600,poi_napoli_gym_chiaia,Chiaia Fitness,gym,palestra
40.8400,14.2500,poi_napoli_gym_posillipo,Posillipo Gym,gym,palestra
45.0650,7.6900,poi_torino_gym_centro,Centro Sportivo Torino,gym,palestra
43.7710,11.2580,poi_firenze_gym_santa_croce,Fitness Santa Croce,gym,palestra
44.4960,11.3390,poi_bologna_gym_porta_san_donato,Porta San Donato Gym,gym,palestra
