# lat,lng,id,name,building_type,type
# Huntix Hospitals Database - Ospedali e strutture sanitarie
# Formato: lat,lng,id,name,building_type,type
41.9070,12.5100,poi_roma_hosp_policlinico,Policlinico Umberto I,hospital,ospedale
41.8830,12.4680,poi_roma_hosp_gemelli,Gemelli,hospital,ospedale
41.9300,12.4900,poi_roma_hosp_sandro_ritratto,Ospedale Sandro Ritratto,hospital,ospedale
41.8650,12.5300,poi_roma_hosp_san_giovanni,Ospedale San Giovanni,hospital,ospedale
41.9450,12.4500,poi_roma_hosp_sacro_cuore,Sacro Cuore,hospital,ospedale
45.4800,9.2100,poi_milano_hosp_maggiore,Padiglione Maggiore,hospital,ospedale
45.4600,9.1700,poi_milano_hosp_niguarda,Ospedale Niguarda,hospital,ospedale
45.4500,9.2000,poi_milano_hosp_san_raffaele,San Raffaele,hospital,ospedale
40.8550,14.2700,poi_napoli_hosp_locales,Ospedale Locale Napoli,hospital,ospedale
40.8400,14.2400,poi_napoli_hosp_monaldi,Ospedale Monaldi,hospital,ospedale
45.0600,7.6800,poi_torino_hosp_molinette,Ospedale Molinette,hospital,ospedale
43.7800,11.2500,poi_firenze_hosp_careggi,Ospedale Careggi,hospital,ospedale
44.5000,11.3500,poi_bologna_hosp_malpighi,Ospedale Malpighi,hospital,ospedale
38.1200,13.3650,poi_palermo_hosp_civico,Ospedale Civico,hospital,ospedale
37.5100,15.0900,poi_catania_hosp_vittorio,Ospedale Vittorio Emanuele,hospital,ospedale
41.4577,15.5281,poi_foggia_hosp_riuniti,Ospedali Riuniti di Foggia,hospital,ospedale
