# lat,lng,id,name,building_type,type,url,page_type
# quarona -- Tutti
45.749830,8.264036,ov_centro_medico_san_michele_45.7498_8.2640,Centro Medico San Michele,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/quarona/pages/centro_medico_san_michele_45.7498_8.2640.json,custom
45.763272,8.268676,ov_peccati_di_gola_45.7633_8.2687,Peccati di Gola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/quarona/pages/peccati_di_gola_45.7633_8.2687.json,custom
45.759918,8.269162,ov_ristomacelleria_debernardi_45.7599_8.2692,Ristomacelleria Debernardi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/quarona/pages/ristomacelleria_debernardi_45.7599_8.2692.json,custom
45.759855,8.268576,ov_pizzeria_cavour_45.7599_8.2686,Pizzeria Cavour,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/quarona/pages/pizzeria_cavour_45.7599_8.2686.json,custom
45.763835,8.258249,ov_korean_bistrot_pali_pali_45.7638_8.2582,Korean Bistrot Pali Pali,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/quarona/pages/korean_bistrot_pali_pali_45.7638_8.2582.json,custom
45.762706,8.268767,ov_bar_loopy_s_lupetto_45.7627_8.2688,Bar Loopy's Lupetto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/quarona/pages/bar_loopys_lupetto_45.7627_8.2688.json,custom
45.748597,8.263819,ov_sweet___sour_cafe_45.7486_8.2638,Sweet & Sour Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/quarona/pages/sweet_sour_cafe_45.7486_8.2638.json,custom
45.748262,8.263356,ov_bar_tabaccheria_charleston_45.7483_8.2634,Bar Tabaccheria Charleston,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/quarona/pages/bar_tabaccheria_charleston_45.7483_8.2634.json,custom
45.768038,8.260099,ov_bar_tabacchi_teresa_45.7680_8.2601,Bar Tabacchi Teresa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/quarona/pages/bar_tabacchi_teresa_45.7680_8.2601.json,custom
45.765151,8.260103,ov_al_distri_caff__45.7652_8.2601,Al Distri Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/quarona/pages/al_distri_caff_45.7652_8.2601.json,custom
45.760137,8.270836,ov_tabaccheria_del_duomo_45.7601_8.2708,Tabaccheria del Duomo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/quarona/pages/tabaccheria_del_duomo_45.7601_8.2708.json,custom
45.762700,8.268792,osm_bar_loopy_s_45.7627_8.2688,Bar Loopy s,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/quarona/pages/bar_loopy_s_45.7627_8.2688.json,custom
45.766015,8.266287,ov_volere_danzare_45.7660_8.2663,Volere Danzare,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/quarona/pages/volere_danzare_45.7660_8.2663.json,custom
45.762491,8.270106,osm_ufficio_postale_di_quarona_45.7625_8.2701,Ufficio postale di Quarona,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/quarona/pages/ufficio_postale_di_quarona_45.7625_8.2701.json,custom
