# lat,lng,id,name,building_type,type,url,page_type
# Serra Riccò -- Tutti
44.507439,8.933617,ov_ambulatorio_catania_44.5074_8.9336,Ambulatorio Catania,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/ambulatorio_catania_44.5074_8.9336.json,custom
44.519669,8.986896,ov_ristorante_morando_44.5197_8.9869,Ristorante Morando,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/ristorante_morando_44.5197_8.9869.json,custom
44.515201,8.987335,ov_agriturismo_vegia_roe_44.5152_8.9873,Agriturismo Vegia Roe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/agriturismo_vegia_roe_44.5152_8.9873.json,custom
44.524754,8.923415,ov_agriturismo_terra_e_cielo_44.5248_8.9234,Agriturismo Terra e Cielo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/agriturismo_terra_e_cielo_44.5248_8.9234.json,custom
44.532669,8.941043,ov_trattoria_la_campora_44.5327_8.9410,Trattoria la Campora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/trattoria_la_campora_44.5327_8.9410.json,custom
44.531179,8.936351,ov_ristorante_il_rifugio___cucina_tipica_ge_44.5312_8.9364,Ristorante Il Rifugio - Cucina Tipica Genovese Di Laruina An,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/ristorante_il_rifugio_-_cucina_tipica_ge_44.5312_8.9364.json,custom
44.531107,8.936316,ov_il_rifugio_nei_borghi_sparsi_44.5311_8.9363,Il Rifugio nei borghi sparsi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/il_rifugio_nei_borghi_sparsi_44.5311_8.9363.json,custom
44.529415,8.940761,ov_autogrill_44.5294_8.9408,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/autogrill_44.5294_8.9408.json,custom
44.530094,8.954284,ov_cascina_castello_44.5301_8.9543,Cascina Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/cascina_castello_44.5301_8.9543.json,custom
44.522861,8.913139,ov_autogrill_44.5229_8.9131,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/autogrill_44.5229_8.9131.json,custom
44.505290,8.908323,ov_albergo_ristorante_nazionale_44.5053_8.9083,Albergo ristorante Nazionale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/albergo_ristorante_nazionale_44.5053_8.9083.json,custom
44.497317,8.921214,ov_la_soffitta_44.4973_8.9212,La Soffitta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/la_soffitta_44.4973_8.9212.json,custom
44.497182,8.912602,ov_aromi_ristorante_44.4972_8.9126,Aromi Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/aromi_ristorante_44.4972_8.9126.json,custom
44.489996,8.921661,ov_l_ostaia_du_chixou_44.4900_8.9217,L'Ostaia du Chixou,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/lostaia_du_chixou_44.4900_8.9217.json,custom
44.508672,8.939416,ov_dog___roll_genova_44.5087_8.9394,Dog & Roll Genova,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/dog_roll_genova_44.5087_8.9394.json,custom
