# lat,lng,id,name,building_type,type,url,page_type
# Cattolica Eraclea -- Tutti
37.440523,13.395494,ov_centro_provinciale_di_recupero_fauna_sel_37.4405_13.3955,Centro Provinciale di Recupero Fauna Selvatica di Agrigento,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/centro_provinciale_di_recupero_fauna_sel_37.4405_13.3955.json,custom
37.413320,13.303535,ov_ristorante_baglio_sicilia_antica_37.4133_13.3035,Ristorante Baglio Sicilia Antica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/ristorante_baglio_sicilia_antica_37.4133_13.3035.json,custom
37.391132,13.289795,ov_lido_garibaldi_di_ragusa_romina_37.3911_13.2898,Lido Garibaldi di Ragusa Romina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/lido_garibaldi_di_ragusa_romina_37.3911_13.2898.json,custom
37.391883,13.287361,ov_lido_bellevue_37.3919_13.2874,Lido Bellevue,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/lido_bellevue_37.3919_13.2874.json,custom
37.391985,13.287489,ov_mithos_beach_37.3920_13.2875,Mithos Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/mithos_beach_37.3920_13.2875.json,custom
37.425370,13.328200,ov_sabbia_d_oro_2_37.4254_13.3282,Sabbia D'oro 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/sabbia_doro_2_37.4254_13.3282.json,custom
37.441046,13.393046,ov_ristorante_pizzeria_o_bagliu_37.4410_13.3930,Ristorante Pizzeria O Bagliu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/ristorante_pizzeria_o_bagliu_37.4410_13.3930.json,custom
37.440771,13.393871,ov_ristorante_baglio_sicilia_antica_37.4408_13.3939,Ristorante Baglio Sicilia Antica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/ristorante_baglio_sicilia_antica_37.4408_13.3939.json,custom
37.440523,13.395496,ov_marea_minoa_37.4405_13.3955,Marea Minoa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/marea_minoa_37.4405_13.3955.json,custom
37.438912,13.395905,ov_cento_passi_37.4389_13.3959,Cento Passi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/cento_passi_37.4389_13.3959.json,custom
37.438808,13.398309,ov_pizzeria_da_nino_37.4388_13.3983,Pizzeria da Nino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/pizzeria_da_nino_37.4388_13.3983.json,custom
