# lat,lng,id,name,building_type,type,url,page_type
# San Venanzo -- Tutti
42.823717,12.168509,ov_ospedaletto_pg_42.8237_12.1685,Ospedaletto Pg,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/san_venanzo/pages/ospedaletto_pg_42.8237_12.1685.json,custom
42.844326,12.223596,ov_ristorante_pizzeria_tulliola_42.8443_12.2236,Ristorante pizzeria Tulliola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/san_venanzo/pages/ristorante_pizzeria_tulliola_42.8443_12.2236.json,custom
42.829328,12.230673,ov_degosteria_42.8293_12.2307,Degosteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/san_venanzo/pages/degosteria_42.8293_12.2307.json,custom
42.905814,12.297796,ov_il_vecchio_braciere_42.9058_12.2978,Il Vecchio Braciere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/san_venanzo/pages/il_vecchio_braciere_42.9058_12.2978.json,custom
42.864140,12.318280,ov_agriturismo_biologico_i_larghi_42.8641_12.3183,Agriturismo Biologico I Larghi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/san_venanzo/pages/agriturismo_biologico_i_larghi_42.8641_12.3183.json,custom
42.868347,12.265886,ov_relais_villa_valentini_42.8683_12.2659,Relais Villa Valentini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/san_venanzo/pages/relais_villa_valentini_42.8683_12.2659.json,custom
42.867857,12.266337,ov_caffe_corretto_42.8679_12.2663,Caffe Corretto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/san_venanzo/pages/caffe_corretto_42.8679_12.2663.json,custom
42.869020,12.272590,ov_bivio_del_moro_42.8690_12.2726,Bivio del Moro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/san_venanzo/pages/bivio_del_moro_42.8690_12.2726.json,custom
42.899500,12.294030,ov_il_posto_delle_more_42.8995_12.2940,Il Posto delle More,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/san_venanzo/pages/il_posto_delle_more_42.8995_12.2940.json,custom
42.867889,12.264799,ov_bimbumbar_42.8679_12.2648,BimBumBar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/san_venanzo/pages/bimbumbar_42.8679_12.2648.json,custom
42.871329,12.270429,ov_circolo_arci_la_volpe_42.8713_12.2704,Circolo Arci La Volpe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/san_venanzo/pages/circolo_arci_la_volpe_42.8713_12.2704.json,custom
42.901233,12.294650,ov_castello_di_civitella_dei_conti_42.9012_12.2947,Castello di Civitella dei Conti,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/san_venanzo/pages/castello_di_civitella_dei_conti_42.9012_12.2947.json,custom
42.869248,12.265938,ov_museo_vulcanologico_di_san_venanzo_42.8692_12.2659,Museo Vulcanologico di San Venanzo,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/san_venanzo/pages/museo_vulcanologico_di_san_venanzo_42.8692_12.2659.json,custom
