# lat,lng,id,name,building_type,type,url,page_type
# Veggiano -- Tutti
45.446926,11.709624,ov_poliambulatorio___centro_medico__un_nuov_45.4469_11.7096,Poliambulatorio - centro medico: Un nuovo sorriso,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/veggiano/pages/poliambulatorio_-_centro_medico_un_nuovo_45.4469_11.7096.json,custom
45.447984,11.712541,ov_lady_pizza_45.4480_11.7125,Lady Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/veggiano/pages/lady_pizza_45.4480_11.7125.json,custom
45.452287,11.726426,ov_ae_bronse_querte_45.4523_11.7264,Ae Bronse Querte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/veggiano/pages/ae_bronse_querte_45.4523_11.7264.json,custom
45.447768,11.715475,ov_osteria_numero_5_45.4478_11.7155,Osteria Numero 5,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/veggiano/pages/osteria_numero_5_45.4478_11.7155.json,custom
45.446208,11.716335,ov_al_quadrifoglio_45.4462_11.7163,Al Quadrifoglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/veggiano/pages/al_quadrifoglio_45.4462_11.7163.json,custom
45.446213,11.717247,ov_prestige_gomiero_di_giulio_45.4462_11.7172,Prestige Gomiero Di Giulio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/veggiano/pages/prestige_gomiero_di_giulio_45.4462_11.7172.json,custom
45.430312,11.693654,ov_morley_beer_and_food_45.4303_11.6937,Morley Beer and Food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/veggiano/pages/morley_beer_and_food_45.4303_11.6937.json,custom
45.411648,11.715504,ov_bar_zelig_45.4116_11.7155,Bar Zelig,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/veggiano/pages/bar_zelig_45.4116_11.7155.json,custom
45.411426,11.721852,ov_bar_la_torre_45.4114_11.7219,Bar La Torre,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/veggiano/pages/bar_la_torre_45.4114_11.7219.json,custom
45.449633,11.732103,osm_bar_la_baita_45.4496_11.7321,Bar La Baita,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/veggiano/pages/bar_la_baita_45.4496_11.7321.json,custom
45.455499,11.702800,ov_baupark_45.4555_11.7028,Baupark,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/veggiano/pages/baupark_45.4555_11.7028.json,custom
45.447758,11.713178,ov_refit_45.4478_11.7132,Refit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/veggiano/pages/refit_45.4478_11.7132.json,custom
45.447694,11.716635,ov_palestra_comunale_di_veggiano_45.4477_11.7166,Palestra Comunale di Veggiano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/veggiano/pages/palestra_comunale_di_veggiano_45.4477_11.7166.json,custom
45.445511,11.718657,ov_biblioo_veggiano_45.4455_11.7187,Biblioo Veggiano,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/veggiano/pages/biblioo_veggiano_45.4455_11.7187.json,custom
