# lat,lng,id,name,building_type,type
# Corigliano-Rossano -- Tutti
39.630156,16.519356,ov_il_cenacolo_39.6302_16.5194,Il Cenacolo,RESTAURANT,ristorante
39.629982,16.520290,ov_castel_d_or_39.6300_16.5203,Castel D'or,RESTAURANT,ristorante
39.630276,16.520593,ov_ristorante_pizzeria_tavola_calda_pizza_s_39.6303_16.5206,Ristorante Pizzeria Tavola Calda Pizza Star,RESTAURANT,ristorante
39.630952,16.517508,ov_rosti_pizza_chef_39.6310_16.5175,Rosti pizza chef,RESTAURANT,ristorante
39.631258,16.511933,ov_pizzeria_trattoria_gnam_gnam_39.6313_16.5119,Pizzeria Trattoria Gnam Gnam,RESTAURANT,ristorante
39.629225,16.514945,ov_propriet__faraco_39.6292_16.5149,Proprietà Faraco,RESTAURANT,ristorante
39.629225,16.514945,ov_bar_l_edera_39.6292_16.5149,Bar l'Edera,RESTAURANT,ristorante
39.628887,16.513334,ov_trecentogradi_39.6289_16.5133,Trecentogradi,RESTAURANT,ristorante
39.629310,16.512540,ov_ella_minimarket_39.6293_16.5125,Ella Minimarket,RESTAURANT,ristorante
39.628067,16.512980,ov_lievita72_39.6281_16.5130,Lievita72,RESTAURANT,ristorante
39.627589,16.512913,ov_luly_kebab_39.6276_16.5129,Luly kebab,RESTAURANT,ristorante
39.627855,16.513959,ov_waapa_pok__corigliano_39.6279_16.5140,WAAPA Pokè Corigliano,RESTAURANT,ristorante
39.627871,16.513880,ov_campana_pizza_in_teglia_39.6279_16.5139,Campana Pizza in Teglia,RESTAURANT,ristorante
39.628048,16.513665,ov_ali_doner_kebab_39.6280_16.5137,Ali Doner Kebab,RESTAURANT,ristorante
39.627610,16.514484,ov_peterland_corigliano_rossano_39.6276_16.5145,Peterland Corigliano Rossano,RESTAURANT,ristorante
39.627735,16.517971,ov_cucina_d_amare_39.6277_16.5180,Cucina d'Amare,RESTAURANT,ristorante
39.626464,16.517036,ov_pizzeria_tavola_calda_sapore_39.6265_16.5170,Pizzeria Tavola Calda Sapore,RESTAURANT,ristorante
39.626140,16.517970,ov_ke_tokyo_sushi_corigliano_39.6261_16.5180,Ke tokyo sushi corigliano,RESTAURANT,ristorante
39.625990,16.517081,ov_my_sushi_39.6260_16.5171,My Sushi,RESTAURANT,ristorante
39.626144,16.515443,ov_kaliva_pizzeria_grill_cucina_tipica_39.6261_16.5154,KALIVA Pizzeria Grill Cucina Tipica,RESTAURANT,ristorante
39.627129,16.515755,ov_trattoria_del_mare_da_roberto_39.6271_16.5158,Trattoria del Mare da Roberto,RESTAURANT,ristorante
39.627172,16.514915,ov_profumo_di_pizza_39.6272_16.5149,Profumo di pizza,RESTAURANT,ristorante
39.626694,16.513960,ov_ristorante_ilbelvedere_39.6267_16.5140,Ristorante IlBelvedere,RESTAURANT,ristorante
39.626590,16.513864,ov_pasta_amore_e_fantasia_39.6266_16.5139,Pasta Amore E Fantasia,RESTAURANT,ristorante
39.627263,16.512713,ov_la_bodeguita_corigliano_39.6273_16.5127,La Bodeguita Corigliano,RESTAURANT,ristorante
39.626131,16.514841,ov_cuor_di_pizza_39.6261_16.5148,Cuor di Pizza,RESTAURANT,ristorante
39.624836,16.512794,ov_la_corte_trattoria_39.6248_16.5128,La Corte Trattoria,RESTAURANT,ristorante
39.623925,16.515267,ov_na_pizza_39.6239_16.5153,Na Pizza,RESTAURANT,ristorante
39.624714,16.516460,ov_sant_emilia_ristorante_pizzeria_39.6247_16.5165,Sant'Emilia Ristorante Pizzeria,RESTAURANT,ristorante
39.624832,16.516043,ov_dante_ristorante_osteria_calabrese_39.6248_16.5160,Dante Ristorante osteria calabrese,RESTAURANT,ristorante
39.616487,16.518481,ov_il_mandrone_agriturismo_39.6165_16.5185,Il Mandrone Agriturismo,RESTAURANT,ristorante
39.616621,16.519212,ov_pizzeria_bella_italia_39.6166_16.5192,Pizzeria Bella Italia,RESTAURANT,ristorante
39.618801,16.592329,ov_ursogrill_39.6188_16.5923,Ursogrill,RESTAURANT,ristorante
39.631414,16.568333,ov_atypico_restaurant_39.6314_16.5683,Atypico Restaurant,RESTAURANT,ristorante
39.633340,16.573860,ov_san_francesco_39.6333_16.5739,San Francesco,RESTAURANT,ristorante
39.642429,16.562812,ov_goccia_visionnaire_39.6424_16.5628,Goccia Visionnaire,RESTAURANT,ristorante
