# lat,lng,id,name,building_type,type,url,page_type
# fiumara -- Tutti
41.341558,16.217709,ov_batfly_golf_barletta_____________________41.3416_16.2177,Batfly Golf Barletta                             -Bat- Itali,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/fiumara/pages/batfly_golf_barletta_-bat-_itali_41.3416_16.2177.json,custom
38.213538,15.698008,ov_borgo_croce_38.2135_15.6980,Borgo Croce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/fiumara/pages/borgo_croce_38.2135_15.6980.json,custom
38.154585,14.876493,ov_ristorante_pizzeria_la_pineta_38.1546_14.8765,Ristorante Pizzeria La Pineta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/fiumara/pages/ristorante_pizzeria_la_pineta_38.1546_14.8765.json,custom
