# lat,lng,id,name,building_type,type,url,page_type
# pessano_con_bornago -- Tutti
45.551241,9.384861,ov_fondazione_don_carlo_gnocchi___onlus_45.5512_9.3849,Fondazione Don Carlo Gnocchi - Onlus,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/fondazione_don_carlo_gnocchi_-_onlus_45.5512_9.3849.json,custom
45.549859,9.357167,ov_trattoria_della_valera_45.5499_9.3572,Trattoria della Valera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/trattoria_della_valera_45.5499_9.3572.json,custom
45.547580,9.384580,ov_rainbow_bar_birerria_pizzeria_45.5476_9.3846,Rainbow Bar Birerria Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/rainbow_bar_birerria_pizzeria_45.5476_9.3846.json,custom
45.547580,9.384580,ov_amo_blu_45.5476_9.3846,Amo Blu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/amo_blu_45.5476_9.3846.json,custom
45.547656,9.384061,ov_la_barrique_45.5477_9.3841,La Barrique,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/la_barrique_45.5477_9.3841.json,custom
45.549835,9.387133,ov_voglia_di_pizza_45.5498_9.3871,Voglia Di Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/voglia_di_pizza_45.5498_9.3871.json,custom
45.549530,9.389324,ov_pessano_45.5495_9.3893,PESSANO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/pessano_45.5495_9.3893.json,custom
45.549246,9.392088,ov_garage_75_45.5492_9.3921,Garage 75,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/garage_75_45.5492_9.3921.json,custom
45.549369,9.391657,ov_roadhouse_grill_pessano_45.5494_9.3917,Roadhouse Grill Pessano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/roadhouse_grill_pessano_45.5494_9.3917.json,custom
45.545191,9.389622,ov_pizza_in_piazza_pessano_con_bornago_45.5452_9.3896,Pizza in piazza Pessano con Bornago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/pizza_in_piazza_pessano_con_bornago_45.5452_9.3896.json,custom
45.578790,9.329854,ov_roadhouse_restaurant_45.5788_9.3299,Roadhouse Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/roadhouse_restaurant_45.5788_9.3299.json,custom
45.550470,9.358930,ov_agriturismo_le_giuggiole_45.5505_9.3589,Agriturismo Le Giuggiole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/agriturismo_le_giuggiole_45.5505_9.3589.json,custom
45.551330,9.381100,ov_pizzeria_tocky___d_45.5513_9.3811,Pizzeria Tocky - D,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/pizzeria_tocky_-_d_45.5513_9.3811.json,custom
45.551581,9.381245,ov_trattoria_dal_pich_45.5516_9.3812,Trattoria Dal Pich,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/trattoria_dal_pich_45.5516_9.3812.json,custom
45.550753,9.386658,ov_rustic_45.5508_9.3867,Rustic,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/rustic_45.5508_9.3867.json,custom
