# lat,lng,id,name,building_type,type,url,page_type
# lomazzo -- Tutti
45.698123,9.042302,ov_poliambulatorio_lomazzo_45.6981_9.0423,Poliambulatorio Lomazzo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/poliambulatorio_lomazzo_45.6981_9.0423.json,custom
45.672744,9.039549,ov_la_corte_del_fornaio_45.6727_9.0395,La Corte Del Fornaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/la_corte_del_fornaio_45.6727_9.0395.json,custom
45.690969,9.040623,ov_pizzeria_da_aldo_45.6910_9.0406,Pizzeria da Aldo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/pizzeria_da_aldo_45.6910_9.0406.json,custom
45.693440,9.030210,ov_agriturismo_la_vigna_45.6934_9.0302,Agriturismo La Vigna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/agriturismo_la_vigna_45.6934_9.0302.json,custom
45.693687,9.029220,ov_burmet_45.6937_9.0292,Burmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/burmet_45.6937_9.0292.json,custom
45.696792,9.034103,ov_trattoria_contemporanea_45.6968_9.0341,Trattoria contemporanea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/trattoria_contemporanea_45.6968_9.0341.json,custom
45.697762,9.038101,ov_ristorante_divino_45.6978_9.0381,Ristorante Divino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/ristorante_divino_45.6978_9.0381.json,custom
45.696640,9.042794,ov_los_cataplines_de_picasso_45.6966_9.0428,Los Cataplines de Picasso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/los_cataplines_de_picasso_45.6966_9.0428.json,custom
45.696690,9.042290,ov_ducato_di_milano_srl_45.6967_9.0423,Ducato di Milano Srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/ducato_di_milano_srl_45.6967_9.0423.json,custom
45.695999,9.041475,ov_trani_1899___antica_osteria_di_alberto_i_45.6960_9.0415,Trani 1899 - Antica Osteria di Alberto Isi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/trani_1899_-_antica_osteria_di_alberto_i_45.6960_9.0415.json,custom
45.709998,9.024526,ov_la_rotonda_di_lomazzo_45.7100_9.0245,La Rotonda di Lomazzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/la_rotonda_di_lomazzo_45.7100_9.0245.json,custom
45.699418,9.023094,ov_ristorante_il_fiordo_45.6994_9.0231,Ristorante Il Fiordo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/ristorante_il_fiordo_45.6994_9.0231.json,custom
45.698139,9.035769,ov_beef_caf__45.6981_9.0358,Beef Cafè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/beef_caf_45.6981_9.0358.json,custom
45.696933,9.040726,osm_pizza_doc_45.6969_9.0407,Pizza Doc,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/pizza_doc_45.6969_9.0407.json,custom
45.697736,9.038619,osm_ristorante_divino_45.6977_9.0386,Ristorante DiVino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/ristorante_divino_45.6977_9.0386.json,custom
45.698451,9.037960,osm_bella_colomba_45.6985_9.0380,Bella Colomba,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/bella_colomba_45.6985_9.0380.json,custom
45.698833,9.033128,osm_caff__del_parco_45.6988_9.0331,Caffè del Parco,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/caff_del_parco_45.6988_9.0331.json,custom
45.673454,9.039707,ov_manera_caf__45.6735_9.0397,Manera Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/manera_caf_45.6735_9.0397.json,custom
