# lat,lng,id,name,building_type,type,url,page_type
# Bagno di Romagna -- Tutti
43.858059,11.978371,ov_ospedale_angioloni_43.8581_11.9784,Ospedale Angioloni,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/ospedale_angioloni_43.8581_11.9784.json,custom
43.832739,11.958273,ov_ristorante_paolo_teverini_43.8327_11.9583,Ristorante Paolo Teverini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/ristorante_paolo_teverini_43.8327_11.9583.json,custom
43.833058,11.958051,ov_pr_t___porter_43.8331_11.9581,Prêt à Porter,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/prt_porter_43.8331_11.9581.json,custom
43.833921,11.960265,ov_hosteria_volante_43.8339_11.9603,Hosteria Volante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/hosteria_volante_43.8339_11.9603.json,custom
43.833855,11.958271,ov_cantina_diva_43.8339_11.9583,Cantina Diva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/cantina_diva_43.8339_11.9583.json,custom
43.834109,11.959127,ov_ristorante_roma_43.8341_11.9591,Ristorante Roma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/ristorante_roma_43.8341_11.9591.json,custom
43.834619,11.959257,ov_trattoria_giovanna_43.8346_11.9593,Trattoria Giovanna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/trattoria_giovanna_43.8346_11.9593.json,custom
43.835581,11.961086,ov_chiosco_da_rudi_43.8356_11.9611,Chiosco Da Rudi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/chiosco_da_rudi_43.8356_11.9611.json,custom
43.835071,11.959871,ov_ristorante_cenacolo_s__lucia_43.8351_11.9599,Ristorante Cenacolo S. Lucia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/ristorante_cenacolo_s_lucia_43.8351_11.9599.json,custom
43.832669,11.956817,ov_pizzeria_prendi_al_volo_43.8327_11.9568,Pizzeria Prendi al Volo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/pizzeria_prendi_al_volo_43.8327_11.9568.json,custom
43.831569,11.956977,ov_la_taverna_di_euroterme_43.8316_11.9570,La Taverna di Euroterme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/la_taverna_di_euroterme_43.8316_11.9570.json,custom
43.830802,11.955293,ov_al_posto_giusto_43.8308_11.9553,Al Posto Giusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/al_posto_giusto_43.8308_11.9553.json,custom
43.836950,11.959950,ov_pizzeria_ristorante_invito_43.8370_11.9600,Pizzeria Ristorante Invito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/pizzeria_ristorante_invito_43.8370_11.9600.json,custom
43.844098,11.990321,ov_la_banditina_43.8441_11.9903,La Banditina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/la_banditina_43.8441_11.9903.json,custom
43.853113,11.988305,ov_fattoria_ca__di_gianni_43.8531_11.9883,Fattoria Ca' di Gianni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/fattoria_ca_di_gianni_43.8531_11.9883.json,custom
