# lat,lng,id,name,building_type,type,url,page_type
# Bisceglie -- Tutti
41.242282,16.497484,ov_casa_della_divina_provvidenza_41.2423_16.4975,Casa della Divina Provvidenza,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/casa_della_divina_provvidenza_41.2423_16.4975.json,custom
41.255544,16.479188,ov_toma_la_luna_41.2555_16.4792,Toma La Luna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/toma_la_luna_41.2555_16.4792.json,custom
41.255240,16.477080,ov_l_essenziale___sea_food_relax_41.2552_16.4771,L'Essenziale - Sea Food Relax,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/lessenziale_-_sea_food_relax_41.2552_16.4771.json,custom
41.255150,16.477496,ov_la_baguetterie_summer_bisceglie_41.2552_16.4775,La Baguetterie Summer bisceglie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/la_baguetterie_summer_bisceglie_41.2552_16.4775.json,custom
41.255144,16.477378,ov_ristorante_pizzeria_da__sergio_e_davide__41.2551_16.4774,Ristorante Pizzeria da “Sergio e Davide”,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/ristorante_pizzeria_da_sergio_e_davide_41.2551_16.4774.json,custom
41.252809,16.470200,ov_pizzeria_a_casa_mia___bisceglie_41.2528_16.4702,Pizzeria A Casa Mia - Bisceglie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/pizzeria_a_casa_mia_-_bisceglie_41.2528_16.4702.json,custom
41.252532,16.470035,ov_antico_granaio_41.2525_16.4700,Antico Granaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/antico_granaio_41.2525_16.4700.json,custom
41.254348,16.482516,ov_golden_cliff_41.2543_16.4825,Golden Cliff,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/golden_cliff_41.2543_16.4825.json,custom
41.254664,16.481514,ov_la_campana_41.2547_16.4815,La Campana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/la_campana_41.2547_16.4815.json,custom
41.250565,16.485461,ov_pizzeria_beverly_41.2506_16.4855,Pizzeria Beverly,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/pizzeria_beverly_41.2506_16.4855.json,custom
41.249183,16.487219,ov_villa_torre_rossa___ricevimenti_41.2492_16.4872,Villa Torre Rossa - Ricevimenti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/villa_torre_rossa_-_ricevimenti_41.2492_16.4872.json,custom
41.249459,16.496494,ov_tuka_beach___lido_a_bisceglie_41.2495_16.4965,Tuka Beach - Lido a Bisceglie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/tuka_beach_-_lido_a_bisceglie_41.2495_16.4965.json,custom
41.248506,16.480923,ov_fermata_facoltativa_41.2485_16.4809,Fermata Facoltativa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/fermata_facoltativa_41.2485_16.4809.json,custom
