# lat,lng,id,name,building_type,type,url,page_type
# isola_della_scala -- Tutti
45.268683,11.007379,ov_ospedale_45.2687_11.0074,Ospedale,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/ospedale_45.2687_11.0074.json,custom
45.230218,11.015026,ov_hotel_ristorante_pizzeria_da_moratti_45.2302_11.0150,Hotel Ristorante Pizzeria Da Moratti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/hotel_ristorante_pizzeria_da_moratti_45.2302_11.0150.json,custom
45.227301,11.017675,ov_nuovo_camino_45.2273_11.0177,Nuovo Camino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/nuovo_camino_45.2273_11.0177.json,custom
45.239798,11.006227,ov_agriturismo_corte_seleson_45.2398_11.0062,Agriturismo Corte Seleson,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/agriturismo_corte_seleson_45.2398_11.0062.json,custom
45.259393,11.004381,ov_the_dorian_gray_gourmet_pizza_and_burger_45.2594_11.0044,The Dorian Gray-Gourmet Pizza And Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/the_dorian_gray-gourmet_pizza_and_burger_45.2594_11.0044.json,custom
45.259699,10.995872,ov_farmhouse_la_palazzina_45.2597_10.9959,Farmhouse La Palazzina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/farmhouse_la_palazzina_45.2597_10.9959.json,custom
45.269928,11.005150,ov_pizzeria_piccola_napoli_45.2699_11.0052,Pizzeria Piccola Napoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/pizzeria_piccola_napoli_45.2699_11.0052.json,custom
45.269840,11.012680,ov_sushipoke___isola_della_scala_45.2698_11.0127,SushiPoke - Isola della Scala,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/sushipoke_-_isola_della_scala_45.2698_11.0127.json,custom
45.269692,11.057462,ov_trattoria_pizzeria_mamo_45.2697_11.0575,Trattoria Pizzeria Mamo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/trattoria_pizzeria_mamo_45.2697_11.0575.json,custom
45.243747,11.051893,ov_lumicino_45.2437_11.0519,Lumicino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/lumicino_45.2437_11.0519.json,custom
45.287249,11.031075,ov_trattoria_dai_zemei_45.2872_11.0311,Trattoria Dai Zemei,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/trattoria_dai_zemei_45.2872_11.0311.json,custom
45.280320,11.009700,ov_mister_pomodoro_45.2803_11.0097,Mister Pomodoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/mister_pomodoro_45.2803_11.0097.json,custom
45.270809,11.011000,ov_osteria_stazione_45.2708_11.0110,Osteria Stazione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/osteria_stazione_45.2708_11.0110.json,custom
45.271466,11.007325,ov_spizzati_45.2715_11.0073,Spizzati,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/spizzati_45.2715_11.0073.json,custom
45.272793,11.006291,ov_risotteria_melotti_45.2728_11.0063,Risotteria Melotti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/risotteria_melotti_45.2728_11.0063.json,custom
45.273554,11.005686,ov_osteria_le_scolette_45.2736_11.0057,Osteria le Scolette,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/osteria_le_scolette_45.2736_11.0057.json,custom
45.273464,11.006112,ov_tre_fratelli_kebap_45.2735_11.0061,Tre Fratelli Kebap,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/tre_fratelli_kebap_45.2735_11.0061.json,custom
45.273520,11.007330,ov_ostaria_al_canton_45.2735_11.0073,Ostaria Al Canton,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/ostaria_al_canton_45.2735_11.0073.json,custom
45.273625,11.007319,ov_trattoria_pizzeria_il_nuovo_canton_45.2736_11.0073,Trattoria Pizzeria Il Nuovo Canton,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/trattoria_pizzeria_il_nuovo_canton_45.2736_11.0073.json,custom
