# lat,lng,id,name,building_type,type,url,page_type
# tito -- Tutti
40.582900,15.677100,ov_centro_medico_lucano_40.5829_15.6771,Centro Medico Lucano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/centro_medico_lucano_40.5829_15.6771.json,custom
40.572221,15.681826,ov_ristorante_hotel_mephitis_40.5722_15.6818,Ristorante Hotel Mephitis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/ristorante_hotel_mephitis_40.5722_15.6818.json,custom
40.581310,15.675400,ov_peccato_divino_di_pirrone_rocco___c__40.5813_15.6754,Peccato Divino Di Pirrone Rocco & C.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/peccato_divino_di_pirrone_rocco_c_40.5813_15.6754.json,custom
40.581241,15.675813,ov_pizzeria_del_corso_40.5812_15.6758,Pizzeria Del Corso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/pizzeria_del_corso_40.5812_15.6758.json,custom
40.581722,15.677120,ov_non_solo_crepes_40.5817_15.6771,Non Solo Crepes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/non_solo_crepes_40.5817_15.6771.json,custom
40.583010,15.672310,ov_scuola_nazionale_di_pizza_potenza_40.5830_15.6723,Scuola Nazionale di Pizza Potenza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/scuola_nazionale_di_pizza_potenza_40.5830_15.6723.json,custom
40.584723,15.676662,ov_bar_pizzeria_asceneda_40.5847_15.6767,Bar Pizzeria Asceneda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/bar_pizzeria_asceneda_40.5847_15.6767.json,custom
40.586427,15.677005,ov_latteria_tripaldi_40.5864_15.6770,Latteria Tripaldi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/latteria_tripaldi_40.5864_15.6770.json,custom
40.587500,15.677376,ov_terrazza_le_mimose_40.5875_15.6774,Terrazza Le Mimose,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/terrazza_le_mimose_40.5875_15.6774.json,custom
40.587846,15.685946,ov_az_agrituristica_santa_venere_40.5878_15.6859,Az Agrituristica Santa Venere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/az_agrituristica_santa_venere_40.5878_15.6859.json,custom
40.604716,15.697610,ov_burger_grill_40.6047_15.6976,Burger Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/burger_grill_40.6047_15.6976.json,custom
40.605303,15.691100,ov_hotel_cargallo_40.6053_15.6911,Hotel Cargallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/hotel_cargallo_40.6053_15.6911.json,custom
40.602048,15.690206,ov_osteria_dell_arrosticino_40.6020_15.6902,Osteria dell'Arrosticino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/osteria_dellarrosticino_40.6020_15.6902.json,custom
40.625198,15.714689,ov_la_pannocchia_40.6252_15.7147,La Pannocchia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/la_pannocchia_40.6252_15.7147.json,custom
40.606400,15.697945,ov_sole_e_luna_40.6064_15.6979,Sole e Luna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/sole_e_luna_40.6064_15.6979.json,custom
40.610854,15.696634,ov_miseria_e_nobil__40.6109_15.6966,Miseria e Nobilà,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/miseria_e_nobil_40.6109_15.6966.json,custom
40.607274,15.711050,ov_le_giuggiole_40.6073_15.7111,Le Giuggiole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/le_giuggiole_40.6073_15.7111.json,custom
40.581424,15.676811,osm_be_happy_social_pub_40.5814_15.6768,Be happy social pub,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/be_happy_social_pub_40.5814_15.6768.json,custom
40.585074,15.675522,osm_pizzeria_ascenedda_40.5851_15.6755,Pizzeria Ascenedda,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/pizzeria_ascenedda_40.5851_15.6755.json,custom
40.583300,15.666700,ov_area_di_servizio_citta__di_tito_40.5833_15.6667,Area Di Servizio Citta' di Tito,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/area_di_servizio_citta_di_tito_40.5833_15.6667.json,custom
40.581272,15.676313,ov_enjoy_cafe_40.5813_15.6763,Enjoy Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/enjoy_cafe_40.5813_15.6763.json,custom
40.581741,15.677744,ov_friend_s_cafe_40.5817_15.6777,Friend's Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/friends_cafe_40.5817_15.6777.json,custom
40.582900,15.677100,ov_rifugio_randagio_40.5829_15.6771,Rifugio Randagio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/rifugio_randagio_40.5829_15.6771.json,custom
40.582480,15.676180,ov_la_piana_bistrot___lounge_bar_40.5825_15.6762,La Piana Bistrot - Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/la_piana_bistrot_-_lounge_bar_40.5825_15.6762.json,custom
40.587055,15.677783,ov_be_happy_2_0_by_cardillo_brothers_40.5871_15.6778,Be happy 2.0 by Cardillo brothers,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/be_happy_20_by_cardillo_brothers_40.5871_15.6778.json,custom
40.587096,15.677469,ov_new_nuvolese_40.5871_15.6775,New Nuvolese,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/new_nuvolese_40.5871_15.6775.json,custom
40.604819,15.690684,ov_bar_la_bussola_40.6048_15.6907,Bar La Bussola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/bar_la_bussola_40.6048_15.6907.json,custom
40.602950,15.709290,ov_barromiria_40.6029_15.7093,BarRomiria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/barromiria_40.6029_15.7093.json,custom
40.611827,15.724073,ov_bar_romiria_40.6118_15.7241,Bar Romiria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/bar_romiria_40.6118_15.7241.json,custom
40.615322,15.737015,ov_lottino_spirits_40.6153_15.7370,Lottino Spirits,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/lottino_spirits_40.6153_15.7370.json,custom
40.583961,15.674016,ov_asd_i_sentieri_dei_gatti_mtb_40.5840_15.6740,ASD I Sentieri dei Gatti MTB,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/asd_i_sentieri_dei_gatti_mtb_40.5840_15.6740.json,custom
40.582480,15.676180,ov_slalom_coppa_citt__di_tito_40.5825_15.6762,Slalom Coppa Città di Tito,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/slalom_coppa_citt_di_tito_40.5825_15.6762.json,custom
40.602917,15.695436,ov_my_shape_40.6029_15.6954,MY SHAPE,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/my_shape_40.6029_15.6954.json,custom
40.607020,15.725675,ov_asd_la_stecca_sala_biliardi_40.6070_15.7257,ASD La Stecca sala biliardi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/asd_la_stecca_sala_biliardi_40.6070_15.7257.json,custom
40.337380,15.899464,ov_museo_delle_tradizioni_locali_40.3374_15.8995,Museo Delle Tradizioni Locali,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/tito/pages/museo_delle_tradizioni_locali_40.3374_15.8995.json,custom
