# lat,lng,id,name,building_type,type,url,page_type
# frontone -- Tutti
43.514127,12.739024,ov_ospedale_di_urbino_43.5141_12.7390,Ospedale Di Urbino,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/ospedale_di_urbino_43.5141_12.7390.json,custom
43.509780,12.711230,ov_il_mandrale_43.5098_12.7112,Il Mandrale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/il_mandrale_43.5098_12.7112.json,custom
43.514666,12.717356,ov_il_mandrale_43.5147_12.7174,Il Mandrale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/il_mandrale_43.5147_12.7174.json,custom
43.513628,12.737112,ov_pizzeria_rosticceria_mangia_e_gusta_43.5136_12.7371,Pizzeria Rosticceria Mangia e Gusta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/pizzeria_rosticceria_mangia_e_gusta_43.5136_12.7371.json,custom
43.517040,12.744649,ov_pizzeria_ristorante_da_la_socera_43.5170_12.7446,Pizzeria Ristorante Da La Socera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/pizzeria_ristorante_da_la_socera_43.5170_12.7446.json,custom
43.519427,12.748006,ov_pizzeria_duegi_43.5194_12.7480,Pizzeria Duegi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/pizzeria_duegi_43.5194_12.7480.json,custom
43.520234,12.724244,ov_alla_locanda_di_fontebella_43.5202_12.7242,Alla Locanda Di Fontebella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/alla_locanda_di_fontebella_43.5202_12.7242.json,custom
43.517377,12.727545,ov_ristorante_amabile_43.5174_12.7275,Ristorante Amabile,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/ristorante_amabile_43.5174_12.7275.json,custom
43.517258,12.727977,ov_taverna_della_rocca_43.5173_12.7280,Taverna della Rocca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/taverna_della_rocca_43.5173_12.7280.json,custom
43.517296,12.728615,ov_locanda_del_castello_43.5173_12.7286,Locanda del Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/locanda_del_castello_43.5173_12.7286.json,custom
43.517359,12.727465,osm_ristorante_amabile_43.5174_12.7275,Ristorante Amabile,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/ristorante_amabile_43.5174_12.7275.json,custom
